Data;Nome_Horus;Visto_Horus;id
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;70
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;71
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;72
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;73
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;74
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;75
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;76
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;77
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;78
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;79
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;80
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;81
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;82
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;83
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;84
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;85
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;86
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;87
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;88
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;89
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;90
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;91
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;92
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;93
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;94
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;95
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;96
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;97
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;98
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;99
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;100
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;101
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;102
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;103
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;104
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;105
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;106
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;107
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;108
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;109
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;110
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;111
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;112
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;113
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;114
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;115
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;116
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;117
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;118
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;119
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;120
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;121
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;122
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;123
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;124
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;125
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;126
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;127
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;128
20/abr;ÁCIDO IBANDRÔNICO (IBANDRONATO DE SÓDIO) 150 MG COMPRIMIDO;SIM;129
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;130
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;131
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;132
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;133
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;134
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;135
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;136
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;137
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;138
20/abr;ÁCIDO MEFENÂMICO 500 MG COMPRIMIDO;SIM;139
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 3 MG/G GEL 20 G;SIM;140
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 3 MG/G GEL 40 G;SIM;141
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 3 MG/G GEL 40 G;SIM;142
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 5 MG/G GEL 20 G;SIM;143
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 5 MG/G GEL 20 G;SIM;144
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 5 MG/G GEL 40 G;SIM;145
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 5 MG/G POMADA 20 G;SIM;146
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 5 MG/G POMADA 40 G;SIM;147
20/abr;ÁCIDO MUCOPOLISSACARÍDEO POLISSULFÚRICO 5 MG/G POMADA 40 G;SIM;148
24/04/23;ÁCIDO NALIDÍXICO 50 MG/ML SUSPENSÃO ORAL  60 ML;;149
24/abr;ÁCIDO NALIDÍXICO 500 MG COMPRIMIDO;;150
20/abr;ÁCIDO NICOTÍNICO 1000 MG COMPRIMIDO DE LIBERAÇÃO PROLONGADA;SIM;151
24/abr;ÁCIDO NICOTÍNICO 250 MG COMP DE LIB PROL GRUPO 2 ;;152
24/abr;ÁCIDO NICOTÍNICO 250 MG COMPRIMIDO DE LIBERAÇÃO PROLONGADA;;153
20/abr;ÁCIDO NICOTÍNICO 500 MG COMP DE LIB PROLONGADA;SIM;154
20/abr;ÁCIDO NICOTÍNICO 750 MG COMP DE LIB PROLONGADA;SIM;155
24/abr;ACIDO PARA-AMINOSALICILICO 4G GRANULADO 4 G;;156
20/abr;ÁCIDO POLIACRÍLICO 2 MG/G OFTALMICO GEL 10 G;SIM;157
24/abr;ÁCIDO POLIACRÍLICO 2 MG/G OFTALMICO GEL 5 G;;158
24/abr;ÁCIDO POLIACRÍLICO 3 MG/G OFTALMICO GEL 10 G;;159
24/abr;ÁCIDO POLIACRÍLICO 3 MG/G OFTALMICO GEL 5 G;;160
24/abr;ÁCIDO SALICÍLICO + ÁCIDO LÁTICO 170 MG + 150 MG/ML SOLUÇÃO TÓPICA 15 ML;;161
24/abr;ÁCIDO SALICÍLICO 20 MG/G POMADA 30 G;;162
20/abr;ÁCIDO SALICÍLICO 270 MG/G GEL 20 G;SIM;163
24/abr;ÁCIDO SALICÍLICO 5 % POMADA;;164
20/abr;ÁCIDO TIÓCTICO 600 MG COMPRIMIDO;SIM;165
20/abr;ÁCIDO TIÓCTICO 600 MG COMPRIMIDO;SIM;166
20/abr;ÁCIDO TIÓCTICO 600 MG COMPRIMIDO;SIM;167
20/abr;ÁCIDO TIÓCTICO 600 MG COMPRIMIDO;SIM;168
20/abr;ÁCIDO TIÓCTICO 600 MG COMPRIMIDO;SIM;169
20/abr;ÁCIDO TRANEXÂMICO 250 MG COMPRIMIDO;SIM;170
20/abr;ÁCIDO TRANEXÂMICO 250 MG COMPRIMIDO;SIM;171
20/abr;ÁCIDO TRANEXÂMICO 250 MG COMPRIMIDO;SIM;172
20/abr;ÁCIDO TRANEXÂMICO 250 MG COMPRIMIDO;SIM;173
20/abr;ÁCIDO TRANEXÂMICO 250 MG COMPRIMIDO;SIM;174
20/abr;ÁCIDO TRANEXÂMICO 250 MG COMPRIMIDO;SIM;175
20/abr;ÁCIDO TRANEXÂMICO 50 MG/ML SOLUÇÃO INJETÁVEL 5 ML;SIM;176
20/abr;ÁCIDO TRANEXÂMICO 50 MG/ML SOLUÇÃO INJETÁVEL 5 ML;SIM;177
20/abr;ÁCIDO TRANEXÂMICO 50 MG/ML SOLUÇÃO INJETÁVEL 5 ML;SIM;178
20/abr;ÁCIDO TRANEXÂMICO 50 MG/ML SOLUÇÃO INJETÁVEL 5 ML;SIM;179
20/abr;ÁCIDO TRANEXÂMICO 50 MG/ML SOLUÇÃO INJETÁVEL 5 ML;SIM;180
20/abr;ÁCIDO TRANEXÂMICO 500 MG COMPRIMIDO;SIM;181
24/abr;ÁCIDO TRICLOROACÉTICO  80% SOLUÇÃO 1L;;182
24/abr;ÁCIDO TRICLOROACÉTICO 30 % SOLUÇÃO 20 ML;;183
24/abr;ÁCIDO TRICLOROACÉTICO 30 % SOLUÇÃO 3 ML;;184
24/abr;ÁCIDO TRICLOROACÉTICO 30% SOLUÇÃO TÓPICA 10 ML;;185
24/abr;ÁCIDO TRICLOROACÉTICO 50 % SOLUÇÃO 10 ML;;186
24/abr;ÁCIDO TRICLOROACÉTICO 50 % SOLUÇÃO 15  ML;;187
24/abr;ÁCIDO TRICLOROACÉTICO 50 % SOLUÇÃO 20 ML;;188
24/abr;ÁCIDO TRICLOROACÉTICO 50 % SOLUÇÃO 5 ML;;189
24/abr;ÁCIDO TRICLOROACÉTICO 60 % SOLUÇÃO 20 ML;;190
24/abr;ÁCIDO TRICLOROACÉTICO 70% SOLUÇÃO 20ML;;191
24/abr;ÁCIDO TRICLOROACÉTICO 75 % SOLUÇÃO 100 ML;;192
24/abr;ÁCIDO TRICLOROACÉTICO 75 % SOLUÇÃO 20  ML;;193
24/abr;ÁCIDO TRICLOROACÉTICO 80 % SOLUÇÃO 100 ML;;194
24/abr;ÁCIDO TRICLOROACÉTICO 80 % SOLUÇÃO 15 ML;;195
24/abr;ÁCIDO TRICLOROACÉTICO 80 % SOLUÇÃO 20 ML;;196
24/abr;ÁCIDO TRICLOROACÉTICO 80 % SOLUÇÃO 5 ML;;197
24/abr;ÁCIDO TRICLOROACÉTICO 80% SOLUÇÃO 10ML;;198
24/abr;ÁCIDO TRICLOROACÉTICO 90 % SOLUÇÃO 10 ML;;199
24/abr;ÁCIDO TRICLOROACÉTICO 90 % SOLUÇÃO 20 ML;;200
24/abr;ÁCIDO TRICLOROACÉTICO 90 % SOLUÇÃO 30 ML;;201
24/abr;ÁCIDO TRICLOROACÉTICO 90 % SOLUÇÃO 5 ML;;202
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;203
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;204
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;205
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;206
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;207
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;208
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;209
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;210
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;211
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;212
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;213
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;214
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;215
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;216
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;217
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;218
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;219
24/abr;ÁCIDO URSODESOXICÓLICO 150 MG COMP ;SIM;220
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;221
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;222
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;223
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;224
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;225
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;226
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;227
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;228
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;229
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;230
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;231
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;232
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;233
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;234
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;235
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;236
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;237
24/abr;ÁCIDO URSODESOXICÓLICO 300 MG COMP ;SIM;238
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;239
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;240
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;241
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;242
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;243
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;244
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;245
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;246
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;247
24/abr;ÁCIDO URSODESOXICÓLICO 50 MG COMP ;SIM;248
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  100 MG/ML SOLUÇÃO INJETÁVEL 10 ML;SIM;249
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  100 MG/ML SOLUÇÃO INJETÁVEL 2 ML;;250
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  100 MG/ML SOLUÇÃO INJETÁVEL 5 ML;;251
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  200 MG/ML GOTAS SOLUÇÃO ORAL 40 ML;;252
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  250 MG CÁPSULA ;SIM;253
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  250 MG CÁPSULA ;SIM;254
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  250 MG CÁPSULA ;SIM;255
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  250 MG COMPRIMIDO ELENCO ESTADUAL ;;256
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO RETARD;SIM;257
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO RETARD;SIM;258
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO RETARD;SIM;259
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO REVESTIDO;SIM;260
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO REVESTIDO;SIM;261
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO REVESTIDO DE LIBERAÇÃO PROLONGADA;SIM;262
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO REVESTIDO;SIM;263
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO REVESTIDO;SIM;264
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  300 MG COMPRIMIDO REVESTIDO;SIM;265
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  50 MG/ML XAROPE  100 ML ;SIM;266
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  50 MG/ML XAROPE  100 ML ;SIM;267
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  50 MG/ML XAROPE  100 ML ;SIM;268
24/abr;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO)  50 MG/ML XAROPE  100 ML ;SIM;269
