"id_vmpp";"codigo_obm";"nome_vmp";"vmp_nome";"qtd_vmp";"un_qtd_vmp";"catmats"
"538905";"@brasil20624411982";"Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme x 30 g";"Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme";"30,000";"g (Grama)";
"538904";"@brasil59265951639";"Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme x 40 g";"Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme";"40,000";"g (Grama)";
"557736";"@brasil79494277060";"Acetato de Dexametasona 16 mg/2 mL suspensão para injeção; frasco-ampola x 1 frasco-ampola";"Acetato de Dexametasona 16 mg/2 mL suspensão para injeção; frasco-ampola";"1,000";"frasco-ampola";
"557737";"@brasil27948097237";"Acetato de Glatirâmer 20 mg/1 mL solução para injeção; seringa preenchida x 28 seringas";"Acetato de Glatirâmer 20 mg/1 mL solução para injeção; seringa preenchida";"28,000";"seringa";
"557748";"@brasil40683224686";"Acetato de Metilprednisolona 80 mg/2 mL suspensão para injeção; frasco-ampola x 1 frasco-ampola";"Acetato de Metilprednisolona 80 mg/2 mL suspensão para injeção; frasco-ampola";"1,000";"frasco-ampola";
"538906";"@brasil47777074398";"Acetato de Noretisterona 10 mg comprimido x 30 comprimidos";"Acetato de Noretisterona 10 mg comprimido";"30,000";"comprimido";
"538912";"@brasil49519225286";"Acetato de Racealfatocoferol 1.000 unidades internacionais cápsula x 30 cápsulas";"Acetato de Racealfatocoferol 1.000 unidades internacionais cápsula";"30,000";"cápsula";
"538907";"@brasil40884456106";"Acetato de Racealfatocoferol 400 mg cápsula x 30 cápsulas";"Acetato de Racealfatocoferol 400 mg cápsula";"30,000";"cápsula";
"538908";"@brasil28851783570";"Acetato de Racealfatocoferol 400 unidades internacionais cápsula x 30 cápsulas";"Acetato de Racealfatocoferol 400 unidades internacionais cápsula";"30,000";"cápsula";
"538909";"@brasil93808628973";"Acetato de Retinol 10.000 unidades internacionais/g + Aminoácidos 25 mg/g + Metionina 5 mg/g + Cloranfenicol 5 mg/g pomada oftálmica x 3,5 g";"Retinol 10.000 unidades internacionais/g + Aminoácidos 25 mg/g + Metionina 5 mg/g + Cloranfenicol 5 mg/g pomada oftálmica";"3,000";"g (Grama)";
"557738";"@brasil68655509897";"Acetato de Sódio 20 mEq/10 mL solução para injeção; ampola x 50 ampolas";"Acetato de Sódio 20 mEq/10 mL solução para injeção; ampola";"50,000";"ampola";
"557739";"@brasil80818012360";"Acetato de Triptorrelina 0,1 mg/1 mL solução para injeção; seringa preenchida x 7 seringas";"Acetato de Triptorrelina 0,1 mg/1 mL solução para injeção; seringa preenchida";"7,000";"seringa";
"570042";"@brasil36179508725";"Acetato de Triptorrelina 3,75 mg pó e diluente para suspensão para injeção; seringa preenchida x 1 seringa";"Acetato de Triptorrelina 3,75 mg pó e diluente para suspensão para injeção; seringa preenchida";"1,000";"seringa";
"557740";"@brasil96628410360";"Acetato de Zuclopentixol 50 mg/1 mL solução para injeção; ampola x 1 ampola";"Acetato de Zuclopentixol 50 mg/1 mL solução para injeção; ampola";"1,000";"ampola";
"538910";"@brasil48072449086";"Acetazolamida 250 mg comprimido x 25 comprimidos";"Acetazolamida 250 mg comprimido";"25,000";"comprimido";
"557741";"@brasil45841434201";"Acetilcisteína 10 mg/mL + Tuaminoeptano 5 mg/mL solução nasal x 12 mL";"Acetilcisteína 10 mg/mL + Tuaminoeptano 5 mg/mL solução nasal";"12,000";"mL (Mililitro)";
"557742";"@brasil48945774387";"Acetilcisteína 100 mg granulado x 10 envelopes";"Acetilcisteína 100 mg granulado";"10,000";"envelope";
"557743";"@brasil29284331476";"Acetilcisteína 100 mg granulado x 16 envelopes";"Acetilcisteína 100 mg granulado";"16,000";"envelope";
"557744";"@brasil73708678552";"Acetilcisteína 100 mg granulado x 200 envelopes";"Acetilcisteína 100 mg granulado";"200,000";"envelope";
"557745";"@brasil46008741286";"Acetilcisteína 100 mg granulado x 30 envelopes";"Acetilcisteína 100 mg granulado";"30,000";"envelope";
"557746";"@brasil66403079627";"Acetilcisteína 100 mg granulado x 50 envelopes";"Acetilcisteína 100 mg granulado";"50,000";"envelope";
"557747";"@brasil81623740579";"Acetilcisteína 100 mg granulado x 500 envelopes";"Acetilcisteína 100 mg granulado";"500,000";"envelope";
"557750";"@brasil79348130334";"Acetilcisteína 100 mg granulado x 60 envelopes";"Acetilcisteína 100 mg granulado";"60,000";"envelope";
"557749";"@brasil74966719534";"Acetilcisteína 11,5 mg/mL solução spray x 20 mL";"Acetilcisteína 11,5 mg/mL solução spray";"20,000";"mL (Mililitro)";
"538911";"@brasil24586225522";"Acetilcisteína 20 mg/mL xarope x 100 mL";"Acetilcisteína 20 mg/mL xarope";"100,000";"mL (Mililitro)";
"538913";"@brasil15509779738";"Acetilcisteína 20 mg/mL xarope x 120 mL";"Acetilcisteína 20 mg/mL xarope";"120,000";"mL (Mililitro)";
"538915";"@brasil15287637780";"Acetilcisteína 20 mg/mL xarope x 150 mL";"Acetilcisteína 20 mg/mL xarope";"150,000";"mL (Mililitro)";
"538914";"@brasil32994378599";"Acetilcisteína 20 mg/mL xarope x 4 L";"Acetilcisteína 20 mg/mL xarope";"4,000";"L (Litro)";
"538916";"@brasil81121305160";"Acetilcisteína 200 mg comprimido efervescente x 16 comprimidos";"Acetilcisteína 200 mg comprimido efervescente";"16,000";"comprimido";
"557751";"@brasil42166385384";"Acetilcisteína 200 mg granulado x 10 envelopes";"Acetilcisteína 200 mg granulado";"10,000";"envelope";
"557752";"@brasil93856481439";"Acetilcisteína 200 mg granulado x 15 envelopes";"Acetilcisteína 200 mg granulado";"15,000";"envelope";
"557753";"@brasil72125602206";"Acetilcisteína 200 mg granulado x 16 envelopes";"Acetilcisteína 200 mg granulado";"16,000";"envelope";
"557754";"@brasil72231811872";"Acetilcisteína 200 mg granulado x 200 envelopes";"Acetilcisteína 200 mg granulado";"200,000";"envelope";
"557755";"@brasil90664794754";"Acetilcisteína 200 mg granulado x 30 envelopes";"Acetilcisteína 200 mg granulado";"30,000";"envelope";
"557756";"@brasil10836268344";"Acetilcisteína 200 mg granulado x 50 envelopes";"Acetilcisteína 200 mg granulado";"50,000";"envelope";
"557757";"@brasil22929269629";"Acetilcisteína 200 mg granulado x 500 envelopes";"Acetilcisteína 200 mg granulado";"500,000";"envelope";
"557764";"@brasil86303047507";"Acetilcisteína 200 mg granulado x 6 envelopes";"Acetilcisteína 200 mg granulado";"6,000";"envelope";
"557759";"@brasil17563261333";"Acetilcisteína 200 mg granulado x 60 envelopes";"Acetilcisteína 200 mg granulado";"60,000";"envelope";
"557758";"@brasil19257656422";"Acetilcisteína 300 mg/3 mL solução para injeção; ampola x 100 ampolas";"Acetilcisteína 300 mg/3 mL solução para injeção; ampola";"100,000";"ampola";
"557760";"@brasil65573879132";"Acetilcisteína 300 mg/3 mL solução para injeção; ampola x 5 ampolas";"Acetilcisteína 300 mg/3 mL solução para injeção; ampola";"5,000";"ampola";
"538921";"@brasil67664268847";"Acetilcisteína 40 mg/mL xarope x 120 mL";"Acetilcisteína 40 mg/mL xarope";"120,000";"mL (Mililitro)";
"538917";"@brasil60972323667";"Acetilcisteína 40 mg/mL xarope x 150 mL";"Acetilcisteína 40 mg/mL xarope";"150,000";"mL (Mililitro)";
"538918";"@brasil64166510524";"Acetilcisteína 600 mg comprimido efervescente x 16 comprimidos";"Acetilcisteína 600 mg comprimido efervescente";"16,000";"comprimido";
"557761";"@brasil15893826780";"Acetilcisteína 600 mg granulado x 10 envelopes";"Acetilcisteína 600 mg granulado";"10,000";"envelope";
"557762";"@brasil54234663121";"Acetilcisteína 600 mg granulado x 16 envelopes";"Acetilcisteína 600 mg granulado";"16,000";"envelope";
"557763";"@brasil38602016083";"Acetilcisteína 600 mg granulado x 200 envelopes";"Acetilcisteína 600 mg granulado";"200,000";"envelope";
"557766";"@brasil51309665682";"Acetilcisteína 600 mg granulado x 30 envelopes";"Acetilcisteína 600 mg granulado";"30,000";"envelope";
"557765";"@brasil87172895300";"Acetilcisteína 600 mg granulado x 50 envelopes";"Acetilcisteína 600 mg granulado";"50,000";"envelope";
"557767";"@brasil21632257908";"Acetilcisteína 600 mg granulado x 500 envelopes";"Acetilcisteína 600 mg granulado";"500,000";"envelope";
"557768";"@brasil26663173402";"Acetilcisteína 600 mg granulado x 60 envelopes";"Acetilcisteína 600 mg granulado";"60,000";"envelope";
"538919";"@brasil23940503356";"Aciclovir 200 mg comprimido x 10 comprimidos";"Aciclovir 200 mg comprimido";"10,000";"comprimido";
"538920";"@brasil86565788638";"Aciclovir 200 mg comprimido x 200 comprimidos";"Aciclovir 200 mg comprimido";"200,000";"comprimido";
"538922";"@brasil66251499916";"Aciclovir 200 mg comprimido x 25 comprimidos";"Aciclovir 200 mg comprimido";"25,000";"comprimido";
"538925";"@brasil69697076689";"Aciclovir 200 mg comprimido x 250 comprimidos";"Aciclovir 200 mg comprimido";"250,000";"comprimido";
"538923";"@brasil24227730239";"Aciclovir 200 mg comprimido x 280 comprimidos";"Aciclovir 200 mg comprimido";"280,000";"comprimido";
"538924";"@brasil38209456114";"Aciclovir 200 mg comprimido x 30 comprimidos";"Aciclovir 200 mg comprimido";"30,000";"comprimido";
"538926";"@brasil74186585211";"Aciclovir 200 mg comprimido x 450 comprimidos";"Aciclovir 200 mg comprimido";"450,000";"comprimido";
"538927";"@brasil87813924531";"Aciclovir 200 mg comprimido x 500 comprimidos";"Aciclovir 200 mg comprimido";"500,000";"comprimido";
"557771";"@brasil46677079922";"Aciclovir 250 mg pó e diluente para solução para injeção; frasco-ampola x 5 frascos-ampola";"Aciclovir 250 mg pó e diluente para solução para injeção; frasco-ampola";"5,000";"frasco-ampola";
"557769";"@brasil14820862344";"Aciclovir 250 mg pó para solução para injeção; frasco-ampola x 5 frascos-ampola";"Aciclovir 250 mg pó para solução para injeção; frasco-ampola";"5,000";"frasco-ampola";
"557770";"@brasil91589499167";"Aciclovir 250 mg pó para solução para injeção; frasco-ampola x 50 frascos-ampola";"Aciclovir 250 mg pó para solução para injeção; frasco-ampola";"50,000";"frasco-ampola";
"538929";"@brasil11740029755";"Aciclovir 30 mg/g pomada oftálmica x 4,5 g";"Aciclovir 30 mg/g pomada oftálmica";"4,000";"g (Grama)";
"538933";"@brasil28737823452";"Aciclovir 400 mg comprimido x 10 comprimidos";"Aciclovir 400 mg comprimido";"10,000";"comprimido";
"538928";"@brasil34085985056";"Aciclovir 400 mg comprimido x 25 comprimidos";"Aciclovir 400 mg comprimido";"25,000";"comprimido";
"538930";"@brasil26972911761";"Aciclovir 400 mg comprimido x 30 comprimidos";"Aciclovir 400 mg comprimido";"30,000";"comprimido";
"538931";"@brasil63842701909";"Aciclovir 50 mg/g (5%) creme x 1.000 g";"Aciclovir 50 mg/g (5%) creme";"1000,000";"g (Grama)";
"538932";"@brasil78350844551";"Aciclovir 50 mg/g (5%) creme x 10 g";"Aciclovir 50 mg/g (5%) creme";"10,000";"g (Grama)";
"538935";"@brasil27277360718";"Aciclovir 50 mg/g (5%) creme x 250 g";"Aciclovir 50 mg/g (5%) creme";"250,000";"g (Grama)";
"538934";"@brasil70189866518";"Aciclovir 50 mg/g (5%) creme x 500 g";"Aciclovir 50 mg/g (5%) creme";"500,000";"g (Grama)";
"576215";"@brasil49982818205";"Ácido Acetilsalicílico 100 mg + Carbonato de Magnésio 30 mg + Glicinato de Alumínio 15 mg comprimido x 60 comprimidos";"Ácido Acetilsalicílico 100 mg + Carbonato de Magnésio 30 mg + Glicinato de Alumínio 15 mg comprimido";"60,000";"comprimido";
"576216";"@brasil35933016898";"Ácido Acetilsalicílico 100 mg comprimido + Clopidogrel 75 mg comprimido x 28 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido e Clopidogrel 75 mg comprimido";"28,000";"comprimido";
"576217";"@brasil45880565174";"Ácido Acetilsalicílico 100 mg comprimido + Clopidogrel 75 mg comprimido x 56 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido e Clopidogrel 75 mg comprimido";"56,000";"comprimido";
"576218";"@brasil45874494711";"Ácido Acetilsalicílico 100 mg comprimido gastrorresistente x 10 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido gastrorresistente";"10,000";"comprimido";
"576230";"@brasil69415074275";"Ácido Acetilsalicílico 100 mg comprimido gastrorresistente x 30 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido gastrorresistente";"30,000";"comprimido";
"576231";"@brasil58371993303";"Ácido Acetilsalicílico 100 mg comprimido gastrorresistente x 90 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido gastrorresistente";"90,000";"comprimido";
"576232";"@brasil77707582643";"Ácido Acetilsalicílico 100 mg comprimido mastigável x 200 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido mastigável";"200,000";"comprimido";
"576233";"@brasil88732062454";"Ácido Acetilsalicílico 100 mg comprimido x 1.000 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido";"1000,000";"comprimido";
"576234";"@brasil70666819661";"Ácido Acetilsalicílico 100 mg comprimido x 100 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido";"100,000";"comprimido";
"576235";"@brasil34631948486";"Ácido Acetilsalicílico 100 mg comprimido x 120 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido";"120,000";"comprimido";
"576236";"@brasil22801532060";"Ácido Acetilsalicílico 100 mg comprimido x 200 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido";"200,000";"comprimido";
"576237";"@brasil61243836560";"Ácido Acetilsalicílico 100 mg comprimido x 30 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido";"30,000";"comprimido";
"576238";"@brasil57981959731";"Ácido Acetilsalicílico 100 mg comprimido x 500 comprimidos";"Ácido Acetilsalicílico 100 mg comprimido";"500,000";"comprimido";
"576239";"@brasil63013971742";"Ácido Acetilsalicílico 200 mg + Carbonato de Magnésio 60 mg + Glicinato de Alumínio 30 mg comprimido x 32 comprimidos";"Ácido Acetilsalicílico 200 mg + Carbonato de Magnésio 60 mg + Glicinato de Alumínio 30 mg comprimido";"32,000";"comprimido";
"576240";"@brasil12814745765";"Ácido Acetilsalicílico 250 mg + Paracetamol 200 mg + Cafeína 50 mg comprimido x 20 comprimidos";"Ácido Acetilsalicílico 250 mg + Paracetamol 200 mg + Cafeína 50 mg comprimido";"20,000";"comprimido";
"576241";"@brasil78909284702";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido x 100 comprimidos";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido";"100,000";"comprimido";
"576242";"@brasil41113466241";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido x 18 comprimidos";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido";"18,000";"comprimido";
"576243";"@brasil81311537704";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido x 20 comprimidos";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido";"20,000";"comprimido";
"576244";"@brasil63974248109";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido x 4 comprimidos";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido";"4,000";"comprimido";
"576245";"@brasil15211483802";"Ácido Acetilsalicílico 300 mg comprimido gastrorresistente x 30 comprimidos";"Ácido Acetilsalicílico 300 mg comprimido gastrorresistente";"30,000";"comprimido";
"576267";"@brasil29393002123";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 200 mg comprimido x 100 comprimidos";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 200 mg comprimido";"100,000";"comprimido";
"576268";"@brasil23831211318";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente x 10 comprimidos";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente";"10,000";"comprimido";
"576275";"@brasil93254133425";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente x 100 comprimidos";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente";"100,000";"comprimido";
"576276";"@brasil83996372832";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente x 50 comprimidos";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente";"50,000";"comprimido";
"576277";"@brasil94370664860";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente x 60 comprimidos";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente";"60,000";"comprimido";
"576263";"@brasil15246941989";"Ácido Acetilsalicílico 400 mg + Cafeína 50 mg comprimido x 200 comprimidos";"Ácido Acetilsalicílico 400 mg + Cafeína 50 mg comprimido";"200,000";"comprimido";
"576262";"@brasil58718922643";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido x 16 comprimidos";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido";"16,000";"comprimido";
"576264";"@brasil41114590804";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido x 200 comprimidos";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido";"200,000";"comprimido";
"576265";"@brasil57197492176";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido x 4 comprimidos";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido";"4,000";"comprimido";
"576266";"@brasil26035985393";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido x 8 comprimidos";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido";"8,000";"comprimido";
"576278";"@brasil67047468312";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido x 100 comprimidos";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido";"100,000";"comprimido";
"576279";"@brasil23439039181";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido x 150 comprimidos";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido";"150,000";"comprimido";
"576280";"@brasil50750238628";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido x 20 comprimidos";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido";"20,000";"comprimido";
"576281";"@brasil61699222337";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido x 200 comprimidos";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido";"200,000";"comprimido";
"576288";"@brasil50522754670";"Ácido Acetilsalicílico 500 mg comprimido de liberação modificada x 100 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido de liberação modificada";"100,000";"comprimido";
"576295";"@brasil90232724289";"Ácido Acetilsalicílico 500 mg comprimido de liberação modificada x 20 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido de liberação modificada";"20,000";"comprimido";
"576296";"@brasil87367826688";"Ácido Acetilsalicílico 500 mg comprimido efervescente x 100 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido efervescente";"100,000";"comprimido";
"576297";"@brasil31028813178";"Ácido Acetilsalicílico 500 mg comprimido x 100 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido";"100,000";"comprimido";
"576304";"@brasil24797819968";"Ácido Acetilsalicílico 500 mg comprimido x 1000 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido";"1000,000";"comprimido";
"576311";"@brasil65436277773";"Ácido Acetilsalicílico 500 mg comprimido x 20 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido";"20,000";"comprimido";
"576313";"@brasil82925346594";"Ácido Acetilsalicílico 500 mg comprimido x 200 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido";"200,000";"comprimido";
"576312";"@brasil37432090415";"Ácido Acetilsalicílico 500 mg comprimido x 30 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido";"30,000";"comprimido";
"576314";"@brasil64111898728";"Ácido Acetilsalicílico 500 mg comprimido x 4 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido";"4,000";"comprimido";
"576315";"@brasil91025486978";"Ácido Acetilsalicílico 500 mg comprimido x 500 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido";"500,000";"comprimido";
"576316";"@brasil96411452934";"Ácido Acetilsalicílico 500 mg comprimido x 96 comprimidos";"Ácido Acetilsalicílico 500 mg comprimido";"96,000";"comprimido";
"576317";"@brasil63984413609";"Ácido Acetilsalicílico 650 mg + Cafeína 65 mg comprimido x 100 comprimidos";"Ácido Acetilsalicílico 650 mg + Cafeína 65 mg comprimido";"100,000";"comprimido";
"576318";"@brasil48683507687";"Ácido Acetilsalicílico 650 mg + Cafeína 65 mg comprimido x 20 comprimidos";"Ácido Acetilsalicílico 650 mg + Cafeína 65 mg comprimido";"20,000";"comprimido";
"576319";"@brasil49294224240";"Ácido Acetilsalicílico 81 mg comprimido gastrorresistente x 30 comprimidos";"Ácido Acetilsalicílico 81 mg comprimido gastrorresistente";"30,000";"comprimido";
"576320";"@brasil63428934082";"Ácido Acetilsalicílico 81 mg comprimido gastrorresistente x 90 comprimidos";"Ácido Acetilsalicílico 81 mg comprimido gastrorresistente";"90,000";"comprimido";
"576321";"@brasil63876295721";"Ácido Acetilsalicílico 85 mg comprimido x 200 comprimidos";"Ácido Acetilsalicílico 85 mg comprimido";"200,000";"comprimido";
"576334";"@brasil82202403907";"Ácido Alendrônico 10 mg comprimido x 30 comprimidos";"Ácido Alendrônico 10 mg comprimido";"30,000";"comprimido";
"576335";"@brasil30721401611";"Ácido Alendrônico 70 mg + Colecalciferol 5.600 unidades internacionais comprimido x 4 comprimidos";"Ácido Alendrônico 70 mg + Colecalciferol 5.600 unidades internacionais comprimido";"4,000";"comprimido";
"576343";"@brasil10376650826";"Ácido Alendrônico 70 mg comprimido e Carbonato de Cálcio 1,25 g (Cálcio 500 mg) + Colecalciferol 200 unidades internacionais comprimido x 34 comprimidos";"Ácido Alendrônico 70 mg comprimido e Carbonato de Cálcio 1,25 g (Cálcio 500 mg) + Colecalciferol 200 unidades internacionais comprimido";"34,000";"comprimido";
