id_vmp;codigo_obm;nome_vmp;vtm_cod_nome;anvs_cod_nome;snomed;atc_cod_nome;atc_cod_nome;indicador_dose_un;qtd_dose_un;unidade_medida_dose_un;status_prescricao;base_denominacao;vias_adm;formas;ingredientes;catmats;cat_control_esp;ont_form_via;;;;;;;;;;;
282092;@brasil10031395041;Acebrofilina 5 mg/mL xarope;65356 - Acebrofilina;;;;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;282095 - Oral;282094 - Xarope;282097 - acebrofilina - 5.000 - mg (Miligrama);282093 - BR0293891;282098 - Sem Status de Controle Especial;282096 - solução.oral;;;;;;;;;;;
23318;@brasil17845149855;Aceclofenaco 100 mg comprimido;11217 - Aceclofenaco;4353 - Antinflamatórios;329925006;4353 - aceclofenaco;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23321 - Oral;23320 - Comprimido;23323 - aceclofenaco - 100.000 - mg (Miligrama);23319 - BR0271666;23324 - Sem Status de Controle Especial;23322 - comprimido.oral;;;;;;;;;;;
339934;@brasil18395339657;Aceclofenaco 15 mg/g creme;11217 - Aceclofenaco;4460 - Antinflamatórios;;4460 - aceclofenaco;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;339936 - Dermatológica;339935 - Creme;339938 - aceclofenaco - 15.000 - mg (Miligrama);;339939 - Sem Status de Controle Especial;339937 - creme.dermatológica;;;;;;;;;;;
339948;@brasil14661950108;Aceponato de Metilprednisolona 1 mg/g creme;42687 - Aceponato de Metilprednisolona;2840 - Glicocorticóides tópico simples exceto uso oftálmico;;2840 - aceponato de metilprednisolona;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;339951 - Dermatológica;339950 - Creme;339953 - aceponato de metilprednisolona - 1.000 - mg (Miligrama);339949 - BR0271604;339954 - Sem Status de Controle Especial;339952 - creme.dermatológica;;;;;;;;;;;
346572;@brasil14533461903;Aceponato de Metilprednisolona 1 mg/g loção;42687 - Aceponato de Metilprednisolona;2840 - Glicocorticóides tópico simples exceto uso oftálmico;;2840 - aceponato de metilprednisolona;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;346574 - Dermatológica;346573 - Emulsão;346576 - aceponato de metilprednisolona - 1.000 - mg (Miligrama);;346577 - Sem Status de Controle Especial;346575 - emulsão.dermatológica;;;;;;;;;;;
349947;@brasil19985230032;Aceponato de Metilprednisolona 1 mg/mL solução;42687 - Aceponato de Metilprednisolona;2840 - Glicocorticóides tópico simples exceto uso oftálmico;;2840 - aceponato de metilprednisolona;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;349949 - Dermatológica;349948 - Solução;349951 - aceponato de metilprednisolona - 1.000 - mg (Miligrama);;349952 - Sem Status de Controle Especial;349950 - solução.dermatológica;;;;;;;;;;;
789183;@brasil12537636478;Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme;42832 - Clostebol + Neomicina;;;;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;789187 - Dermatológica;789186 - Creme;789189 - sulfato de neomicina - 5.000 - mg (Miligrama);789190 - acetato de clostebol - 5.000 - mg (Miligrama);789184 - BR0275428-1;789185 - BR0275428;789191 - Lista C5 (Substâncias Anabolizantes) - ADENDO;789188 - creme.dermatológica;;;;;;;;;
789199;@brasil14063335892;Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme vaginal;42832 - Clostebol + Neomicina;;;;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;789201 - Vaginal;789200 - Creme vaginal;789203 - acetato de clostebol - 5.000 - mg (Miligrama);789204 - sulfato de neomicina - 5.000 - mg (Miligrama);;789205 - Lista C5 (Substâncias Anabolizantes) - ADENDO;789202 - creme.vaginal;;;;;;;;;;
355562;@brasil13262060314;Acetato de Dexametasona 16 mg/2 mL suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
792761;@brasil19839601654;Acetato de Glatirâmer 20 mg pó para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
378905;@brasil16961431284;Acetato de Glatirâmer 20 mg/1 mL solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
419657;@brasil19825800180;Acetato de Metilprednisolona 0;12% suspensão oftálmica;43007 - Metilprednisolona;;;5932 - metilprednisolona e antiinfecciosos;;Discreto;5;ampola;Produto disponível para prescrição;Produto disponível para prescrição;419660 - Oftálmica;419659 - suspensão oftálmica;419662 - acetato de metilprednisolona - 5.000 - mg (Miligrama);419658 - BR0405210;419663 - Antimicrobianos;419661 - suspensão em gotas.oftálmica;;;;;;;;;;
51029;@brasil18875092637;Acetato de Metilprednisolona 200 mg/5 mL suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
51034;@brasil16907362812;Acetato de Metilprednisolona 40 mg/1 mL suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
779240;@brasil10080245862;Acetato de Metilprednisolona 80 mg/2 mL suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
23325;@brasil14797509287;Acetato de Noretisterona 10 mg comprimido;11219 - Acetato de Noretisterona;3260 - Progestagenos simples;3;5,09E+19;3260 - noretisterona;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23328 - Oral;23327 - Comprimido;23330 - acetato de noretisterona - 10.000 - mg (Miligrama);23326 - BR0276856;23331 - Sem Status de Controle Especial;23329 - comprimido.oral;;;;;;;;;;
350763;@brasil19890114290;Acetato de Racealfatocoferol 1.000 unidades internacionais cápsula;288972 - Racealfatocoferol;1501 - Monovitaminas exceto vitamina K;;1501 - tocoferol (vitamina e);;Discreto;1;cápsula;Produto disponível para prescrição;Produto disponível para prescrição;350765 - Oral;350764 - Cápsula;350767 - acetato de racealfatocoferol - 1000.000 - UI (Unidade Internacional);;350768 - Sem Status de Controle Especial;350766 - cápsula.oral;;;;;;;;;;;
350776;@brasil16314771161;Acetato de Racealfatocoferol 400 mg cápsula;288972 - Racealfatocoferol;;;;;Discreto;1;cápsula;Produto disponível para prescrição;Produto disponível para prescrição;350779 - Oral;350778 - Cápsula;350781 - acetato de racealfatocoferol - 400.000 - mg (Miligrama);350777 - BR0329610;350782 - Sem Status de Controle Especial;350780 - cápsula.oral;;;;;;;;;;;
350789;@brasil10969626223;Acetato de Racealfatocoferol 400 unidades internacionais cápsula;288972 - Racealfatocoferol;1501 - Monovitaminas exceto vitamina K;;1501 - tocoferol (vitamina e);;Discreto;1;cápsula;Produto disponível para prescrição;Produto disponível para prescrição;350791 - Oral;350790 - Cápsula;350793 - acetato de racealfatocoferol - 400.000 - UI (Unidade Internacional);;350794 - Sem Status de Controle Especial;350792 - cápsula.oral;;;;;;;;;;;
660574;@brasil14221821318;Acetato de Sódio 20 mEq/10 mL solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
379029;@brasil16306757474;Acetato de Triptorrelina 0,1 mg/1 mL solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
51159;@brasil14278890511;Acetato de Triptorrelina 11,25 mg pó para suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
51141;@brasil18480421171;Acetato de Triptorrelina 11,25 mg/2 mL suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
570292;@brasil10914469780;Acetato de Triptorrelina 3,75 mg pó e diluente para suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
51167;@brasil10341965508;Acetato de Triptorrelina 3,75 mg pó para suspensão para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
51175;@brasil18873156315;Acetato de Zinco 1 mEq/2 mL solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
379047;@brasil15078567260;Acetato de Zuclopentixol 50 mg/1 mL solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
23339;@brasil17867958337;Acetazolamida 250 mg comprimido;11222 - Acetazolamida;5966 - Diuréticos simples;330601002;5966 - acetazolamida;542 - Básico;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23343 - Oral;23342 - Comprimido;23349 - acetazolamida - 250.000 - mg (Miligrama);23340 - BR0278283E;23341 - BR0278283;23350 - Sem Status de Controle Especial;23344 - comprimido.oral;;;;;;;;;;
790707;@brasil16047114109;Acetilcisteína 10 mg/mL + Tuaminoeptano 5 mg/mL solução nasal;42690 - Acetilcisteína + Tuaminoeptano;;;;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;790710 - Nasal;790709 - Solução nasal;790712 - sulfato de tuaminoeptano - 5.000 - mg (Miligrama);790713 - acetilcisteína - 10.000 - mg (Miligrama);790708 - BR0393493;790714 - Sem Status de Controle Especial;790711 - solução em gotas.nasal;;;;;;;;;;
663134;@brasil12649900653;Acetilcisteína 100 mg granulado;11223 - Acetilcisteína;5651 - Expectorantes balsâmicos e mucolítico;;5651 - acetilcisteína;;Discreto;1;envelope;Produto disponível para prescrição;Produto disponível para prescrição;663137 - Oral;663136 - Granulado;663139 - acetilcisteína - 100.000 - mg (Miligrama);663135 - BR0286864;663140 - Sem Status de Controle Especial;663138 - solução.oral;;;;;;;;;;;
523483;@brasil12054381017;Acetilcisteína 11;5 mg/mL solução spray;11223 - Acetilcisteína;5651 - Expectorantes balsâmicos e mucolítico;;5651 - acetilcisteína;;Discreto;1;dose;Produto disponível para prescrição;Produto disponível para prescrição;523485 - Nasal;523484 - Solução spray;523487 - acetilcisteína - 11.000 - mg (Miligrama);;523488 - Sem Status de Controle Especial;523486 - spray em solução.nasal;;;;;;;;;;
282128;@brasil13006038602;Acetilcisteína 20 mg/mL xarope;11223 - Acetilcisteína;5651 - Expectorantes balsâmicos e mucolítico;;5651 - acetilcisteína;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;282133 - Oral;282132 - Xarope;282135 - acetilcisteína - 20.000 - mg (Miligrama);282129 - BR0270558-2;282130 - BR0270558-1;282131 - BR0270558-3;282136 - Sem Status de Controle Especial;282134 - solução.oral;;;;;;;;;
349646;@brasil11239736573;Acetilcisteína 200 mg comprimido efervescente;11223 - Acetilcisteína;5651 - Expectorantes balsâmicos e mucolítico;;5651 - acetilcisteína;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;349648 - Oral;349647 - Comprimido efervescente;349650 - acetilcisteína - 200.000 - mg (Miligrama);;349651 - Sem Status de Controle Especial;349649 - solução.oral;;;;;;;;;;;
663141;@brasil17479410707;Acetilcisteína 200 mg granulado;11223 - Acetilcisteína;5651 - Expectorantes balsâmicos e mucolítico;;5651 - acetilcisteína;;Discreto;1;envelope;Produto disponível para prescrição;Produto disponível para prescrição;663144 - Oral;663143 - Granulado;663146 - acetilcisteína - 200.000 - mg (Miligrama);663142 - BR0270557;663147 - Sem Status de Controle Especial;663145 - solução.oral;;;;;;;;;;;
660590;@brasil18047327377;Acetilcisteína 300 mg/3 mL solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
282144;@brasil16083298283;Acetilcisteína 40 mg/mL xarope;11223 - Acetilcisteína;5651 - Expectorantes balsâmicos e mucolítico;;5651 - acetilcisteína;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;282147 - Oral;282146 - Xarope;282149 - acetilcisteína - 40.000 - mg (Miligrama);282145 - BR0355786;606181 - BR0355786-1;282150 - Sem Status de Controle Especial;282148 - solução.oral;;;;;;;;;;
23351;@brasil17983500460;Acetilcisteína 600 mg comprimido efervescente;11223 - Acetilcisteína;5651 - Expectorantes balsâmicos e mucolítico;1;4,16E+20;5651 - acetilcisteína;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23354 - Oral;23353 - Comprimido efervescente;23356 - acetilcisteína - 600.000 - mg (Miligrama);23352 - BR0356952;23357 - Sem Status de Controle Especial;23355 - solução.oral;;;;;;;;;;
663148;@brasil19447351887;Acetilcisteína 600 mg granulado;11223 - Acetilcisteína;5651 - Expectorantes balsâmicos e mucolítico;;5651 - acetilcisteína;;Discreto;1;envelope;Produto disponível para prescrição;Produto disponível para prescrição;663151 - Oral;663150 - Granulado;663153 - acetilcisteína - 600.000 - mg (Miligrama);663149 - BR0274806;663154 - Sem Status de Controle Especial;663152 - solução.oral;;;;;;;;;;;
23358;@brasil16313627599;Aciclovir 200 mg comprimido;11224 - Aciclovir;3831 - Antiviróticos;324726004;3831 - aciclovir;542 - Básico;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23361 - Oral;23360 - Comprimido;23366 - aciclovir - 200.000 - mg (Miligrama);23359 - BR0268370;23367 - Sem Status de Controle Especial;23362 - comprimido.oral;;;;;;;;;;;
780303;@brasil19699184678;Aciclovir 250 mg pó e diluente para solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
660599;@brasil17808962581;Aciclovir 250 mg pó para solução para injeção;;;;;;;;;;;;;;;;;;;;;;;;;;;
343401;@brasil18928083951;Aciclovir 30 mg/g pomada oftálmica;11224 - Aciclovir;5862 - Antiviróticos (inibe replicação virótica);330284003;5862 - aciclovir;;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;343404 - Oftálmica;343403 - Pomada oftálmica;343406 - aciclovir - 30.000 - mg (Miligrama);343402 - BR0268373;343407 - Sem Status de Controle Especial;343405 - pomada.oftálmica;;;;;;;;;;;
23368;@brasil17617636924;Aciclovir 400 mg comprimido;11224 - Aciclovir;3831 - Antiviróticos;324729006;3831 - aciclovir;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;23371 - Oral;23370 - Comprimido;23373 - aciclovir - 400.000 - mg (Miligrama);23369 - BR0268372;23374 - Sem Status de Controle Especial;23372 - comprimido.oral;;;;;;;;;;;
340321;@brasil10494434926;Aciclovir 50 mg/g (5%) creme;11224 - Aciclovir;2792 - Antiviróticos (inibe replicação virótica);333020002;2792 - aciclovir;542 - Básico;Contínuo;;;Produto disponível para prescrição;Produto disponível para prescrição;340325 - Dermatológica;340324 - Creme;340330 - aciclovir - 50.000 - mg (Miligrama);340322 - BR0268375-1;340323 - BR0268375-2;340331 - Sem Status de Controle Especial;340326 - creme.dermatológica;;;;;;;;;;
794717;@brasil17404320673;Ácido Acético 2%;790516 - Ácido Acético;;;;;;;;;;;794761 - Solução;794766 - ácido acético - 2.000 - % (porcento);794765 - BR0368922;794766 - BR0368922-1;794767 - BR0368922-2;;;;;;;;;;;
794718;@brasil11434748657;Ácido Acético 3%;790516 - Ácido Acético;;;;;;;;Produto disponível para prescrição;Produto disponível para prescrição;;794763 - Solução;794768 - ácido acético - 3.000 - % (porcento);794770 - BR0368921;794771 - BR0368921-3;;;;;;;;;;;;
794719;@brasil14960781571;Ácido Acético 5%;790516 - Ácido Acético;;;;;;;;Produto disponível para prescrição;Produto disponível para prescrição;;794765 - Solução;794770 - ácido acético - 5.000 - % (porcento);794777 - BR0368919;794778 - BR0368919-1;794779 - BR0368919-3;794780 - BR0368919-4;794781 - BR0368919-2;;;;;;;;;
520766;@brasil12284659725;Ácido Acetilsalicílico 100 mg + Carbonato de Magnésio 30 mg + Glicinato de Alumínio 15 mg comprimido;288653 - Ácido Acetilsalicílico + Carbonato de Magnésio + Glicinato de Alumínio;4722 - Analgésicos não-narcóticos;;4722 - ácido acetilsalicílico; associações excluindo psicolépticos;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;520768 - Oral;520767 - Comprimido;520770 - glicinato de alumínio - 15.000 - mg (Miligrama);520771 - carbonato de magnésio - 30.000 - mg (Miligrama);520772 - ácido acetilsalicílico - 100.000 - mg (Miligrama);606188 - BR0270965;520773 - Sem Status de Controle Especial;520769 - comprimido.oral;;;;;;;;
334895;@brasil17514022519;Ácido Acetilsalicílico 100 mg + Mononitrato de Isossorbida 40 mg cápsula;11226 - Ácido Acetilsalicílico + Mononitrato de Isossorbida;;;;;Discreto;1;cápsula;Produto disponível para prescrição;Produto disponível para prescrição;334898 - Oral;334897 - Cápsula;334900 - mononitrato de isossorbida - 40.000 - mg (Miligrama);334901 - ácido acetilsalicílico - 100.000 - mg (Miligrama);334896 - BR0285007;334902 - Sem Status de Controle Especial;334899 - cápsula.oral;;;;;;;;;;
248992;@brasil18518712638;Ácido Acetilsalicílico 100 mg comprimido;11225 - Ácido Acetilsalicílico;1650 - Analgésicos não-narcóticos;;1650 - ácido acetilsalicílico;542 - Básico;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;248995 - Oral;248994 - Comprimido;249000 - ácido acetilsalicílico - 100.000 - mg (Miligrama);248993 - BR0267502;249001 - Sem Status de Controle Especial;248996 - comprimido.oral;;;;;;;;;;;
75876;@brasil12722401014;Ácido Acetilsalicílico 100 mg comprimido de liberação prolongada;11225 - Ácido Acetilsalicílico;;;1650 - ácido acetilsalicílico;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;75879 - Não disponível;75878 - Não disponível;75881 - não disponível - 0.000 - desconhecido;75877 - BR0337678;75882 - Sem Status de Controle Especial;75880 - Desconhecido;;;;;;;;;;;
526042;@brasil13272112795;Ácido Acetilsalicílico 100 mg comprimido e Clopidogrel 75 mg comprimido;11912 - Não existe ainda nenhuma associação de VTM para este VMP;;;;;Não aplicável;;;Produto disponível para prescrição;Produto disponível para prescrição;526044 - Via de administração não aplicável;526043 - Não aplicável;;;526046 - Sem Status de Controle Especial;526045 - Não aplicável;;;;;;;;;;;
660568;@brasil18988849564;Ácido Acetilsalicílico 100 mg comprimido gastrorresistente;11225 - Ácido Acetilsalicílico;1650 - Antiagregante plaquetário;;1650 - ácido acetilsalicílico;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;660570 - Oral;660569 - Comprimido gastrorresistente;660572 - ácido acetilsalicílico - 100.000 - mg (Miligrama);;660573 - Sem Status de Controle Especial;660571 - comprimido gastrorresistente.oral;;;;;;;;;;;
660584;@brasil14142558204;Ácido Acetilsalicílico 100 mg comprimido mastigável;11225 - Ácido Acetilsalicílico;1650 - Analgésicos;;1650 - ácido acetilsalicílico;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;660586 - Oral;660585 - Comprimido mastigável;660588 - ácido acetilsalicílico - 100.000 - mg (Miligrama);;660589 - Sem Status de Controle Especial;660587 - comprimido mastigável.oral;;;;;;;;;;;
401751;@brasil17784482125;Ácido Acetilsalicílico 200 mg + Carbonato de Magnésio 60 mg + Glicinato de Alumínio 30 mg comprimido;288653 - Ácido Acetilsalicílico + Carbonato de Magnésio + Glicinato de Alumínio;4722 - Analgésicos não-narcóticos;;4722 - ácido acetilsalicílico; associações excluindo psicolépticos;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;794829 - Oral;794868 - Comprimido;794879 - carbonato de magnésio - 60.000 - mg (Miligrama);794880 - ácido acetilsalicílico - 200.000 - mg (Miligrama);794881 - glicinato de alumínio - 30.000 - mg (Miligrama);794938 - BR0343877;794822 - Sem Status de Controle Especial;794828 - comprimido.oral;;;;;;;;
75889;@brasil17254217113;Ácido Acetilsalicílico 200 mg comprimido;11225 - Ácido Acetilsalicílico;;;1650 - ácido acetilsalicílico;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;794830 - Via de administração não aplicável;794869 - Não aplicável;;75890 - BR0343877;794823 - Sem Status de Controle Especial;794829 - Não aplicável;;;;;;;;;;;
388167;@brasil10667938040;Ácido Acetilsalicílico 250 mg + Paracetamol 200 mg + Cafeína 50 mg comprimido;288657 - Ácido Acetilsalicílico + Paracetamol + Cafeína;4750 - Analgésicos não-narcóticos;;4750 - paracetamol; associações excluindo psicolépticos;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;388169 - Oral;388168 - Comprimido;388171 - paracetamol - 200.000 - mg (Miligrama);388172 - cafeína - 50.000 - mg (Miligrama);388173 - ácido acetilsalicílico - 250.000 - mg (Miligrama);;388174 - Sem Status de Controle Especial;388170 - comprimido.oral;;;;;;;;
388279;@brasil10002627427;Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido;288657 - Ácido Acetilsalicílico + Paracetamol + Cafeína;4750 - Analgésicos não-narcóticos;;4750 - paracetamol; associações excluindo psicolépticos;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;388281 - Oral;388280 - Comprimido;388283 - ácido acetilsalicílico - 250.000 - mg (Miligrama);388284 - cafeína - 65.000 - mg (Miligrama);388285 - paracetamol - 250.000 - mg (Miligrama);;388286 - Sem Status de Controle Especial;388282 - comprimido.oral;;;;;;;;
75883;@brasil15084283969;Ácido Acetilsalicílico 300 mg comprimido de liberação prolongada;11225 - Ácido Acetilsalicílico;;4;5,58E+19;951 - ácido acetilsalicílico;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;75886 - Via de administração não aplicável;75885 - Não aplicável;;75884 - BR0337679;75888 - Sem Status de Controle Especial;75887 - Não aplicável;;;;;;;;;;
663180;@brasil14798527623;Ácido Acetilsalicílico 300 mg comprimido gastrorresistente;11225 - Ácido Acetilsalicílico;1650 - Antiagregante plaquetário;;1650 - ácido acetilsalicílico;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;663182 - Oral;663181 - Comprimido gastrorresistente;663184 - ácido acetilsalicílico - 300.000 - mg (Miligrama);;663185 - Sem Status de Controle Especial;663183 - comprimido gastrorresistente.oral;;;;;;;;;;;
249066;@brasil10849223769;Ácido Acetilsalicílico 325 mg comprimido;11225 - Ácido Acetilsalicílico;;370166004;;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;249069 - Oral;249068 - Comprimido;249071 - ácido acetilsalicílico - 325.000 - mg (Miligrama);249067 - BR0270548;249072 - Sem Status de Controle Especial;249070 - comprimido.oral;;;;;;;;;;;
388402;@brasil10735984760;Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 200 mg comprimido;288651 - Ácido Acetilsalicílico + Ácido Ascórbico;4722 - Analgésicos não-narcóticos;;4722 - ácido acetilsalicílico; associações excluindo psicolépticos;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;388404 - Oral;388403 - Comprimido;388406 - ácido ascórbico - 200.000 - mg (Miligrama);388407 - ácido acetilsalicílico - 400.000 - mg (Miligrama);;388408 - Sem Status de Controle Especial;388405 - comprimido.oral;;;;;;;;;
388503;@brasil19220676978;Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente;288651 - Ácido Acetilsalicílico + Ácido Ascórbico;4722 - Analgésicos não-narcóticos;;4722 - ácido acetilsalicílico; associações excluindo psicolépticos;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;388505 - Oral;388504 - Comprimido efervescente;388507 - ácido ascórbico - 240.000 - mg (Miligrama);388508 - ácido acetilsalicílico - 400.000 - mg (Miligrama);;388509 - Sem Status de Controle Especial;388506 - solução.oral;;;;;;;;;
388536;@brasil11097392896;Ácido Acetilsalicílico 400 mg + Cafeína 50 mg comprimido;288652 - Ácido Acetilsalicílico + Cafeína;4722 - Analgésicos não-narcóticos;;4722 - ácido acetilsalicílico; associações excluindo psicolépticos;;Discreto;1;comprimido;Produto disponível para prescrição;Produto disponível para prescrição;388538 - Oral;388537 - Comprimido;388540 - cafeína - 50.000 - mg (Miligrama);388541 - ácido acetilsalicílico - 400.000 - mg (Miligrama);;388542 - Sem Status de Controle Especial;388539 - comprimido.oral;;;;;;;;;
