CATMAT;Status;Princípio Ativo;Quantidade (Numerador);U.M. (Numerador);Quantidade (Denominador);U.M. (Denominador);Forma Farmacêutica;Volume;Desc. Volume;Fator de Correção;Uni. de Consum;Uni. de Fornecimen;Lista;RENAME
BR0271670;Sim;ÁCIDO MEFENÂMICO;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268295;Sim;ÁCIDO NALIDÍXICO;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Não
BR0367692;Sim;ÁCIDO NICOTÍNICO;500;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0367693;Sim;ÁCIDO NICOTÍNICO;750;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0395465;Sim;ÁCIDO NICOTÍNICO;1.000;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0395601;Sim;ÁCIDO NICOTÍNICO;250;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0367692E;Sim;ÁCIDO NICOTÍNICO;500;mg;;;comprimido de liberação prolongada;;;1;;COMPRIMIDO;;Não
BR0367693E;Sim;ÁCIDO NICOTÍNICO;750;mg;;;comprimido de liberação prolongada;;;1;;COMPRIMIDO;;Não
BR0395601E;Sim;ÁCIDO NICOTÍNICO;250;mg;;;comprimido de liberação prolongada;;;1;;COMPRIMIDO;;Não
BR0394865;Sim;ÁCIDO TIÓCTICO;600;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0278338;Sim;ÁCIDO TRANEXÂMICO;250;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0269460;Sim;ÁCIDO URSODESOXICÓLICO;150;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0277519;Sim;ÁCIDO URSODESOXICÓLICO;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0309040;Sim;ÁCIDO URSODESOXICÓLICO;300;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267504-2;Sim;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;250;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Sim
BR0328531;Sim;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;300;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0400436;Sim;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;500;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0407033;Sim;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;300;mg;;;comprimido de liberação prolongada;;;25;"COMP.
";COMPRIMIDO;C01;Não
BR0267505;Sim;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Sim
BR0280505;Sim;ADEFOVIR;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0280205E;Sim;ADEFOVIR;10;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0397912;Sim;AGOMELATINA;25;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0269628;Sim;ALBENDAZOL;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267506;Sim;ALBENDAZOL;400;mg;;;comprimido mastigável;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0269462;Sim;ALENDRONATO DE SÓDIO ;70;mg;;;comprimido;;;8;"COMP.
";COMPRIMIDO;;Sim
BR0308721;Sim;ALENDRONATO DE SÓDIO ;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0415213;Sim;ALENDRONATO DE SÓDIO + CARBONATO DE CÁLCIO + COLECALCIFEROL;70 + 500 + 200;mg + mg + UI;;;comprimido;;;1;CAIXA;CAIXA;;Não
BR0383791;Sim;ALENDRONATO DE SÓDIO + COLECALCIFEROL;70 + 2.800;mg + UI;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0413882;Sim;ALENDRONATO DE SÓDIO + COLECALCIFEROL;70 + 5.600;mg + UI;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0306687;Sim;ALFUZOSINA;10;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0267508;Sim;ALOPURINOL;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0267509;Sim;ALOPURINOL;300;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0271356;Sim;ALPRAZOLAM;1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;B01;Não
BR0271357;Sim;ALPRAZOLAM;0,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;B01;Não
BR0271358;Sim;ALPRAZOLAM;0,25;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;B01;Não
BR0284465;Sim;ALPRAZOLAM;2;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;B01;Não
BR0271357-1;Sim;ALPRAZOLAM;0,5;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;B01;Não
BR0268079;Sim;AMANTADINA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Sim
BR0268079E;Sim;AMANTADINA;100;mg;;;comprimido;;;1;;COMPRIMIDO;C01;Não
BR0404655;Sim;AMBRISENTANA;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0404655E;Sim;AMBRISENTANA;5;mg;;;comprimido revestido;;;1;;COMPRIMIDO;;Sim
BR0404656E;Sim;AMBRISENTANA;10;mg;;;comprimido revestido;;;1;;COMPRIMIDO;;Sim
BR0396087;Sim;AMINAFTONA;75;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267511;Sim;AMINOFILINA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0269810;Sim;AMINOFILINA;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0396081;Sim;AMISSULPRIDA;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0401321;Sim;AMISSULPRIDA;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0271089-2;Sim;AMOXICILINA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Sim
BR0271217;Sim;AMOXICILINA + CLAVULANATO DE POTÁSSIO;500 + 125;mg + mg;;;comprimido;;;1;UN.;COMPRIMIDO;ANTIMICROBIANOS;Sim
BR0353333;Sim;AMOXICILINA + CLAVULANATO DE POTÁSSIO;875 + 125;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Não
BR0293803;Sim;AMOXICILINA + SULBACTAM;875 + 125;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Não
BR0267515-2;Sim;AMPICILINA;500;mg;;;comprimido;;;1;UN.;COMPRIMIDO;ANTIMICROBIANOS;Não
BR0278348;Sim;ANASTROZOL;1;mg;;;comprimido;;;1;UN.;COMPRIMIDO;;Não
 BR0429846;Sim;APIXABANA;5;mg;;;comprimido;;;1;;COMPRIMIDO;;Sim
BR0404443;Sim;ARGININA + ORNITINA + CITRULINA;185 + 60 + 5;mg + mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0284101;Sim;ARIPIPRAZOL;15;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0286278;Sim;ARIPIPRAZOL;30;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0364780;Sim;ARIPIPRAZOL;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0364781;Sim;ARIPIPRAZOL;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0400564-1;Sim;ARTEMETER + LUMEFANTRINA;20 + 120;mg + mg;;;comprimido;5 - 14 KG (C/6 BLISTER);;6;"COMP.
";BLISTER;;Não
BR0400564-2;Sim;ARTEMETER + LUMEFANTRINA;20 + 120;mg + mg;;;comprimido;15 - 24 KG (C/12 BLISTER);;12;"COMP.
";BLISTER;;Sim
BR0400564-3;Sim;ARTEMETER + LUMEFANTRINA;20 + 120;mg + mg;;;comprimido;25 - 34 KG (C/18 BLISTER);;18;"COMP.
";BLISTER;;Sim
BR0400564-4;Sim;ARTEMETER + LUMEFANTRINA;20 + 120;mg + mg;;;comprimido;35 KG (C/24 BLISTER);;24;"COMP.
";BLISTER;;Sim
BR0370119;Sim;ARTESUNATO + MEFLOQUINA;25 + 55;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0370119-1;Sim;ARTESUNATO + MEFLOQUINA;25 + 55;mg + mg;;;comprimido;(3 COMP) 6 A 11 MESES;;3;"COMP.
";BLISTER;;Sim
BR0370119-2;Sim;ARTESUNATO + MEFLOQUINA;25 + 55;mg + mg;;;comprimido;(6 COMP) 1 A 5 ANOS;;6;"COMP.
";BLISTER;;Sim
BR0370120;Sim;ARTESUNATO + MEFLOQUINA;100 + 220;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0370120-1;Sim;ARTESUNATO + MEFLOQUINA;100 + 220;mg + mg;;;comprimido;(3 COMP) 6 A 11 ANOS;;3;"COMP.
";BLISTER;;Sim
BR0370120-2;Sim;ARTESUNATO + MEFLOQUINA;100 + 220;mg + mg;;;comprimido;(6 COMP) 12 ANOS OU MAIS;;6;"COMP.
";BLISTER;;Sim
BR0417026;Sim;ASENAPINA;5;mg;;;comprimido sublingual;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0417028;Sim;ASENAPINA;10;mg;;;comprimido sublingual;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0387628;Sim;ASPARTATO DE L-ARGININA;250;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267516;Sim;ATENOLOL;25;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267517;Sim;ATENOLOL;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267518;Sim;ATENOLOL;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270779;Sim;ATENOLOL +  NIFEDIPINO;50 + 20;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270791;Sim;ATENOLOL + CLORTALIDONA;100 + 25;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270792;Sim;ATENOLOL + CLORTALIDONA;50 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270793;Sim;ATENOLOL + CLORTALIDONA;25 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0268080E;Sim;ATORVASTATINA;10;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0268081E;Sim;ATORVASTATINA;20;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0268082E;Sim;ATORVASTATINA;40;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0291549E;Sim;ATORVASTATINA;80;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0268080;Sim;ATORVASTATINA CÁLCICA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268081;Sim;ATORVASTATINA CÁLCICA;20;mg;;;comprimido;;;1;UN.;COMPRIMIDO;;Não
BR0268082;Sim;ATORVASTATINA CÁLCICA;40;mg;;;comprimido;;;1;UN.;COMPRIMIDO;;Não
BR0291549;Sim;ATORVASTATINA CÁLCICA;80;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268083E;Sim;AZATIOPRINA;50;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0268083;Sim;AZATIOPRINA;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268951;Sim;AZITROMICINA;1;g;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Não
BR0267140;Sim;AZITROMICINA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;ANTIMICROBIANOS;Não
BR0271746;Sim;BACLOFENO;10;mg;;;comprimido;;;1;UN.;COMPRIMIDO;;Não
BR0426921;Sim;BACLOFENO;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0284109;Sim;BENZBROMARONA;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268953;Sim;BENZNIDAZOL;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0409539;Sim;BENZNIDAZOL;12,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268869;Sim;BENZOATO DE RIZATRIPTANA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268896;Sim;BESILATO DE ANLODIPINO;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0272434;Sim;BESILATO DE ANLODIPINO;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0272435;Sim;BESILATO DE ANLODIPINO;2,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0400091;Sim;BESILATO DE ANLODIPINO + ATORVASTATINA;5 + 10;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0343125;Sim;BESILATO DE ANLODIPINO + LOSARTANA POTÁSSICA;2,5 + 50;mg + mg;;;comprimido;;;1;CAPS.;CAPSULA;;Não
BR0270879;Sim;BESILATO DE ANLODIPINO + MALEATO DE ENALAPRIL;5 + 20;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0424169;Sim;BESILATO DE LEVANLODIPINO;5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0424170;Sim;BESILATO DE LEVANLODIPINO;2,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0385435;Sim;BETAMETASONA;0,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0385436;Sim;BETAMETASONA;2;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0397475;Sim;BETAMETILDIGOXINA;0,1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0308729E;Sim;BEZAFIBRATO;400;mg;;;comprimido de desintegração lenta;;;1;;"COMP DESINTEGRAÇ&#195;O LENTA";;Não
BR0267077;Sim;BEZAFIBRATO;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0308729;Sim;BEZAFIBRATO;400;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271761;Sim;BICALUTAMIDA;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0412840;Sim;BILASTINA;20;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0368903;Sim;BISACODIL + DOCUSATO DE SÓDIO;5 + 60;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0272045;Sim;BISSULFATO DE CLOPIDOGREL;75;mg;;;comprimido;;;1;UN.;COMPRIMIDO;;Sim
BR0381073;Sim;BITARTARATO DE MERCAPTAMINA;150;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
 BR0356705;Sim;BITARTARATO DE MERCAPTAMINA;50;mg;;;comprimido;;;1;;COMPRIMIDO;;Sim
BR0280115E;Sim;BOSENTANA;125;mg;;;comprimido revestido;;;1;;COMPRIMIDO;;Sim
BR0280116E;Sim;BOSENTANA;62,5;mg;;;comprimido revestido;;;1;;COMPRIMIDO;;Sim
BR0280115;Sim;BOSENTANA;125;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0280116;Sim;BOSENTANA;62,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271773;Sim;BROMAZEPAM;3;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;B01;Não
BR0271774;Sim;BROMAZEPAM;6;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;B01;Não
BR0397333;Sim;BROMETO DE OTILONIO;40;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0298582;Sim;BROMETO DE PINAVÉRIO;100;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0395608;Sim;BROMETO DE PINAVÉRIO;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271764;Sim;BROMETO DE PIRIDOSTIGMINA;60;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0358449;Sim;BROMIDRATO DE DARIFENACINA;7,5;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0358450;Sim;BROMIDRATO DE DARIFENACINA;15;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;;Não
BR0315735;Sim;BROMIDRATO DE GALANTAMINA;16;mg;;;comprimido de liberação prolongada;;;1;CAPS.;CAPSULA;C01;Não
BR0270143E;Sim;BROMOCRIPTINA;2,5;mg;;;comprimido;;;1;;"COMP OU CAP LIBERAÇ&#195;O RET";;Não
BR0269954-2;Sim;BROMOPRIDA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0428952;Sim;BROSIMUM GAUDICHAUDII;400;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Sim
BR0425719;Sim;BUMETANIDA;1;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267283;Sim;BUTILBROMETO DE ESCOPOLAMINA;10;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270620;Sim;BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA;10 + 250;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270971;Sim;BUTILBROMETO DE ESCOPOLAMINA + PARACETAMOL;10 + 500;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268084E;Sim;CABERGOLINA;0,5;mg;;;comprimido;;;1;;COMPRIMIDO;;Não
BR0268084;Sim;CABERGOLINA;0,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0434254;Sim;CANAGLIFOZINA;300;mg;;;comprimido;;;1;;COMPRIMIDO;;Sim
BR0405219;Sim;CANDESARTANA + FELODIPINO;0,16 + 2,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0405220;Sim;CANDESARTANA + FELODIPINO;0,16 + 5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0274506;Sim;CANDESARTANA CILEXETILA;8;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0296076;Sim;CANDESARTANA CILEXETILA;16;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0280873;Sim;CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA;16 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0281470;Sim;CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA;8 + 12,5;mg + mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268403;Sim;CAPECITABINA;500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0268404;Sim;CAPECITABINA;150;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267613;Sim;CAPTOPRIL ;25;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267615;Sim;CAPTOPRIL ;50;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267614;Sim;CAPTOPRIL ;12,5;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0267617;Sim;CARBAMAZEPINA ;400;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0267618;Sim;CARBAMAZEPINA ;200;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0272457;Sim;CARBAMAZEPINA ;400;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0272458;Sim;CARBAMAZEPINA ;200;mg;;;comprimido de liberação prolongada;;;1;"COMP.
";COMPRIMIDO;C01;Não
BR0270895-1;Sim;CARBONATO DE CÁLCIO (CÁLCIO ELEMENTAR);500;mg;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270895-2;Sim;CARBONATO DE CÁLCIO (CÁLCIO ELEMENTAR);500;mg;;;comprimido mastigável;;;1;"COMP.
";COMPRIMIDO;;Não
BR0270893;Sim;CARBONATO DE CÁLCIO + COLECALCIFEROL ;500 + 200;mg + UI;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0296876;Sim;CARBONATO DE CÁLCIO + COLECALCIFEROL ;500 + 400;mg + UI;;;comprimido;;;1;UN.;COMPRIMIDO;;Não
BR0306361;Sim;CARBONATO DE CÁLCIO + COLECALCIFEROL ;600 + 400;mg + UI;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0327766-1;Sim;CARBONATO DE CÁLCIO + COLECALCIFEROL ;600 + 200;mg + UI;;;comprimido;;;1;"COMP.
";COMPRIMIDO;;Não
BR0327766-2;Sim;CARBONATO DE CÁLCIO + COLECALCIFEROL ;600 + 200;mg + UI;;;comprimido efervescente;;;1;"COMP.
";COMPRIMIDO;;Não
BR0271359;Sim;CARBONATO DE CÁLCIO + LACTOGLICONATO DE CÁLCIO;PROB;;;;comprimido efervescente;;;1;"COMP.
";COMPRIMIDO;;Não
