"CO_SEQ_ID";"NU_ISID";"NO_NM";"NO_NM_PT_BR";"CO_DCBCD";"CO_NCAS";"NO_DESCR_PT_BR"
"6672";"@brasil19300880746";"caspofungin acetate";"acetato de caspofungina";"00056";"179463-17-3";"DCB"
"6673";"@brasil14556239976";"cetrorelix acetate";"acetato de cetrorrelix";"00057";"145672-81-7";"DCB"
"6674";"@brasil14878557951";"lead acetate";"acetato de chumbo";"09340";"301-04-2";"DCB"
"6675";"@brasil10724070136";"cyproterone acetate";"acetato de ciproterona";"02146";"427-51-0";"DCB"
"6676";"@brasil18984677136";"clocortolone acetate";"acetato de clocortolona";"02259";"4258-85-9";"DCB"
"6677";"@brasil12751175585";"chlormadinone acetate";"acetato de clormadinona";"02465";"302-22-7";"DCB"
"6678";"@brasil16801846823";"clobestol acetate";"acetato de clostebol";"02522";"855-19-6";"DCB"
"6679";"@brasil15755707671";"cortisone acetate";"acetato de cortisona";"02611";"50-04-4";"DCB"
"6680";"@brasil18372998197";"degarelix acetate";"acetato de degarrelix";"09763";"934246-14-7";"DCB"
"6681";"@brasil14597868279";"delmadinone acetate";"acetato de delmadinona";"02741";"13698-49-2";"DCB"
"6682";"@brasil17870347114";"desmopressin acetate";"acetato de desmopressina";"02792";"62288-83-9";"DCB"
"6683";"@brasil15558131042";"desoxycorticosterone acetate";"acetato de desoxicortona";"02799";"56-47-3";"DCB"
"6684";"@brasil14179614179";"dexamethasone acetate";"acetato de dexametasona";"02819";"1177-87-3";"DCB"
"6685";"@brasil14223678077";"acetato de dextroalfatocoferol";"acetato de dextroalfatocoferol";"08717";"58-95-7";"DCB"
"6686";"@brasil18579548156";"eslicarbazepine acetate";"acetato de eslicarbazepina";"11211";"236395-14-5";"DCB"
"6687";"@brasil10226706861";"estradiol acetate";"acetato de estradiol";"03596";"4245-41-4";"DCB"
"6688";"@brasil15394890144";"ethyl acetate";"acetato de etila";"09342";"141-78-6";"DCB"
"6689";"@brasil16294330446";"flecainide acetate";"acetato de flecainida";"04069";"54143-56-5";"DCB"
"6690";"@brasil15286982109";"fludrocortisone acetate";"acetato de fludrocortisona";"04119";"514-36-3";"DCB"
"6691";"@brasil17551919515";"flurogestone acetate";"acetato de flugestona";"04131";"2529-45-5";"DCB"
"6692";"@brasil11898651561";"fluorometholone acetate";"acetato de fluormetolona";"04173";"3801-06-7";"DCB"
"6693";"@brasil16837499565";"fluprednidene acetate";"acetato de fluprednideno";"04193";"1255-35-2";"DCB"
"6694";"@brasil18491543453";"ganirelix acetate";"acetato de ganirrelix";"04401";"129311-55-3";"DCB"
"6695";"@brasil11945218882";"glatiramer acetate";"acetato de glatirâmer";"04446";"147245-92-9";"DCB"
"6696";"@brasil14251464356";"goserelin acetate";"acetato de gosserrelina";"04531";"145781-92-6";"DCB"
"6697";"@brasil15421665444";"guanabenz acetate";"acetato de guanabenzo";"04552";"23256-50-0";"DCB"
"6698";"@brasil14353934463";"hydrocortisone acetate";"acetato de hidrocortisona";"04666";"50-03-3";"DCB"
"6699";"@brasil15504676293";"acetato de hidroxocobalamina";"acetato de hidroxocobalamina";"04720";"22465-48-1";"DCB"
"6700";"@brasil14461578384";"icatibant acetate";"acetato de icatibanto";"09691";"138614-30-9";"DCB"
"6701";"@brasil15793863352";"lanreotide acetate";"acetato de lanreotida";"05164";"127984-74-1";"DCB"
"6702";"@brasil15584581917";"leuprolide acetate";"acetato de leuprorrelina";"05220";"74381-53-6";"DCB"
"6703";"@brasil10541319837";"lysine acetate";"acetato de lisina";"09343";"57282-49-2";"DCB"
"6704";"@brasil15952853741";"mafenide acetate";"acetato de mafenida";"05480";"13009-99-9";"DCB"
"6705";"@brasil18140309505";"magnesium acetate";"acetato de magnésio";"00060";"142-72-3";"DCB"
"6706";"@brasil12842986613";"magnesium acetate tetrahydrate";"acetato de magnésio tetraidratado";"09344";"3581-93-9";"DCB"
"6707";"@brasil19794004855";"medroxyprogesterone acetate";"acetato de medroxiprogesterona";"05563";"71-58-9";"DCB"
"6708";"@brasil10441064750";"megestrol acetate";"acetato de megestrol";"05582";"595-33-5";"DCB"
"6709";"@brasil12823309489";"methylprednisolone acetate";"acetato de metilprednisolona";"05814";"53-36-1";"DCB"
"6710";"@brasil12793353508";"nafarelin acetate";"acetato de nafarrelina";"06174";"86220-42-0";"DCB"
"6711";"@brasil15496839381";"nomegestrol acetate";"acetato de nomegestrol";"06460";"58652-20-3";"DCB"
"6712";"@brasil19104136691";"norethisterone acetate";"acetato de noretisterona";"06492";"51-98-9";"DCB"
"6713";"@brasil19030165622";"octreotide acetate";"acetato de octreotida";"06571";"79517-01-4";"DCB"
"6714";"@brasil17838418349";"paramethasone acetate";"acetato de parametasona";"06832";"1597-82-6";"DCB"
"6715";"@brasil12101595188";"pirbuterol acetate";"acetato de pirbuterol";"07147";"65652-44-0";"DCB"
"6716";"@brasil16992721199";"potassium acetate";"acetato de potássio";"00061";"127-08-2";"DCB"
"6717";"@brasil18658820741";"prednisolone acetate";"acetato de prednisolona";"07334";"52-21-1";"DCB"
"6718";"@brasil12315940420";"acetato de racealfatocoferol";"acetato de racealfatocoferol";"09341";"7695-91-2";"DCB"
"6719";"@brasil15603240182";"retinol acetate";"acetato de retinol";"07694";"127-47-9";"DCB"
"6720";"@brasil11068379962";"sermorelin acetate";"acetato de sermorrelina";"07958";"114466-38-5";"DCB"
"6721";"@brasil18532179572";"sodium acetate";"acetato de sódio";"00087";"127-09-3";"DCB"
"6722";"@brasil19455758284";"sodium acetate trihydrate";"acetato de sódio tri-hidratado";"00088";"6131-90-4";"DCB"
"6723";"@brasil11682253014";"teriparatide acetate";"acetato de teriparatida";"08428";"99294-94-7";"DCB"
"6724";"@brasil10043990527";"terlipressin acetate";"acetato de terlipressina";"08432";\N;"DCB"
"6725";"@brasil15173193899";"tetracosactide acetate";"acetato de tetracosactida";"08468";"60189-34-6";"DCB"
"6726";"@brasil15733998226";"trenbolone acetate";"acetato de trembolona";"08835";"10161-34-9";"DCB"
"6727";"@brasil13150409741";"triptorelin acetate";"acetato de triptorrelina";"08950";"140194-24-7";"DCB"
"6728";"@brasil18550054334";"ulipristal acetate";"acetato de ulipristal";"09944";"126784-99-4";"DCB"
"6729";"@brasil13299042761";"zinc acetate";"acetato de zinco";"09345";"557-34-6";"DCB"
"6730";"@brasil10845051109";"zuclopenthixol acetate";"acetato de zuclopentixol";"09314";"85721-05-7";"DCB"
"6731";"@brasil14328127571";"acetazolamide";"acetazolamida";"00063";"59-66-5";"DCB"
"6732";"@brasil19105484836";"acetazolamide sodium";"acetazolamida sódica";"00064";"1424-27-7";"DCB"
"6733";"@brasil12543041781";"acetylcysteine";"acetilcisteína";"00067";"616-91-1";"DCB"
"6734";"@brasil15398754704";"acetildigitoxina";"acetildigitoxina";"00068";"1111-39-3";"DCB"
"6735";"@brasil19364648486";"acetilracemetionina";"acetilracemetionina";"11029";"1115-47-5";"DCB"
"6736";"@brasil10626978631";"acetoexamida";"acetoexamida";"00075";"968-81-0";"DCB"
"6737";"@brasil15040948002";"acetophenazine";"acetofenazina";"00076";"2751-68-0";"DCB"
"6738";"@brasil13323804430";"acetone";"acetona";"00078";"67-64-1";"DCB"
"6739";"@brasil11496178452";"sodium acetrizoate";"acetrizoato de sódio";"00081";"129-63-5";"DCB"
"6740";"@brasil17509479276";"achillea millefolium l.";"achillea millefolium l.";"10828";\N;"DCB"
"6741";"@brasil13058861337";"acyclovir";"aciclovir";"00082";"59277-89-3";"DCB"
"6742";"@brasil12765869164";"acyclovir sodium";"aciclovir sódico";"00083";"69657-51-8";"DCB"
"6743";"@brasil14652762117";"acetic acid";"ácido acético";"00086";"64-19-7";"DCB"
"6744";"@brasil14966203405";"acetylsalicylic acid";"ácido acetilsalicílico";"00089";"50-78-2";"DCB"
"6745";"@brasil10872730985";"acetohydroxamic acid";"ácido acetoidroxâmico";"00092";"546-88-3";"DCB"
"6746";"@brasil19465045013";"acexamic acid";"ácido acexâmico";"00093";"57-08-9";"DCB"
"6747";"@brasil14707032426";"alendronic acid";"ácido alendrônico";"00096";"66376-36-1";"DCB"
"6748";"@brasil15140027397";"aminocaproic acid";"ácido aminocaproico";"00100";"60-32-2";"DCB"
"6749";"@brasil11579040019";"aminolevulinic acid";"ácido aminolevulínico";"09571";"106-60-5";"DCB"
"6750";"@brasil12475118209";"arachidonic acid";"ácido araquidônico";"00103";"506-32-1";"DCB"
"6751";"@brasil17638471299";"arsanilic acid";"ácido arsanílico";"00102";"98-50-0";"DCB"
"6752";"@brasil10767002179";"ascorbic acid";"ácido ascórbico";"00104";"50-81-7";"DCB"
"6753";"@brasil10919597306";"aspartic acid";"ácido aspártico";"00108";"56-84-8";"DCB"
"6754";"@brasil12296980303";"azelaic acid";"ácido azelaico";"00113";"123-99-9";"DCB"
"6755";"@brasil18726109905";"benzoic acid";"ácido benzoico";"00115";"65-85-0";"DCB"
"6756";"@brasil16739608929";"boric acid";"ácido bórico";"00116";"10043-35-3";"DCB"
"6757";"@brasil17519715238";"capric acid";"ácido cáprico";"11239";"334-48-5";"DCB"
"6758";"@brasil17379749711";"caprylic acid";"ácido caprílico";"00304";"124-07-2";"DCB"
"6759";"@brasil14339603151";"caproic acid";"ácido caproico";"11249";"142-62-1";"DCB"
"6760";"@brasil19558766928";"carglumic acid";"ácido carglúmico";"00127";"1188-38-1";"DCB"
"6761";"@brasil14775025502";"citric acid";"ácido cítrico";"00134";"77-92-9";"DCB"
"6762";"@brasil15198827035";"citric acid monohydrate";"ácido cítrico monoidratado";"09852";"5949-29-1";"DCB"
"6763";"@brasil11669058977";"clavulanic acid";"ácido clavulânico";"00136";"58001-44-8";"DCB"
"6764";"@brasil12748814086";"clodronic acid";"ácido clodrônico";"00138";"10596-23-3";"DCB"
"6765";"@brasil18736893811";"cholic acid";"ácido cólico";"00152";"81-25-4";"DCB"
"6766";"@brasil15438027106";"cromoglicic acid";"ácido cromoglícico";"00154";"16110-51-3";"DCB"
"6767";"@brasil10979454405";"dehydrocholic acid";"ácido desidrocólico";"00157";"81-23-2";"DCB"
"6768";"@brasil18583191015";"deoxycholic acid";"ácido desoxicólico";"00160";"83-44-3";"DCB"
"6769";"@brasil19977592171";"docosanoic acid";"ácido docosanoico";"09349";"112-85-6";"DCB"
"6770";"@brasil14138388123";"edetic acid";"ácido edético";"00167";"60-00-4";"DCB"
"6771";"@brasil10759164411";"eicosanoic acid";"ácido eicosanoico";"09350";"506-30-9";"DCB"
"6772";"@brasil11380657991";"stearic acid";"ácido esteárico";"00182";"57-11-4";"DCB"
"6773";"@brasil14625797032";"ácido etacrínico";"ácido etacrínico";"00183";"58-54-8";"DCB"
"6774";"@brasil18987011496";"etidronic acid";"ácido etidrônico";"00184";"2809-21-4";"DCB"
"6775";"@brasil11057666698";"phenylacetic acid";"ácido fenilacético";"11062";"103-82-2";"DCB"
"6776";"@brasil18327299306";"folic acid";"ácido fólico";"00194";"59-30-3";"DCB"
"6777";"@brasil18463496748";"folinic acid";"ácido folínico";"00196";"58-05-9";"DCB"
"6778";"@brasil17335586133";"phosphoric acid";"ácido fosfórico";"00199";"7664-38-2";"DCB"
"6779";"@brasil11287440732";"fusidic acid";"ácido fusídico";"00217";"6990-06-3";"DCB"
"6780";"@brasil14430445565";"gadobenic acid";"ácido gadobênico";"00219";"113662-23-0";"DCB"
"6781";"@brasil18289905941";"gadopentetic acid";"ácido gadopentético";"00221";"80529-93-7";"DCB"
"6782";"@brasil18158193320";"gadoteric acid";"ácido gadotérico";"00223";"72573-82-1";"DCB"
"6783";"@brasil15921249086";"gadoxetic acid";"ácido gadoxético";"00224";"135326-11-3";"DCB"
"6784";"@brasil15131665778";"gamma-aminobutyric acid";"ácido gamaminobutírico";"00099";"56-12-2";"DCB"
"6785";"@brasil17894581943";"gamolenic acid";"ácido gamolênico";"00225";"506-26-3";"DCB"
"6786";"@brasil14077912692";"glycerophosphoric acid";"ácido glicerofosfórico";"00228";"57-03-4";"DCB"
"6787";"@brasil16705817938";"glycocholic acid";"ácido glicocólico";"09395";"475-31-0";"DCB"
"6788";"@brasil11295351926";"glycolic acid";"ácido glicólico";"09572";"79-14-1";"DCB"
"6789";"@brasil16359306121";"glucuronic acid";"ácido glicurônico";"00229";"6556-12-3";"DCB"
"6790";"@brasil17910475140";"glutamic acid";"ácido glutâmico";"00230";"56-86-0";"DCB"
"6791";"@brasil10474457647";"hyaluronic acid";"ácido hialurônico";"00232";"9004-61-9";"DCB"
"6792";"@brasil18640863119";"ibandronic acid";"ácido ibandrônico";"00236";"114084-78-5";"DCB"
"6793";"@brasil11780942967";"iocetamic acid";"ácido iocetâmico";"00241";"16034-77-8";"DCB"
"6794";"@brasil12982125786";"iophenoic acid";"ácido iofenoico";"00244";"96-84-4";"DCB"
"6795";"@brasil19567800338";"iopanoic acid";"ácido iopanoico";"00252";"96-83-3";"DCB"
"6796";"@brasil18892624645";"ácido ioxáglico";"ácido ioxáglico";"00266";"59017-64-0";"DCB"
"6797";"@brasil15759722519";"ácido ioxitalâmico";"ácido ioxitalâmico";"00268";"28179-44-4";"DCB"
"6798";"@brasil12120738970";"isonicotinic acid";"ácido isonicotínico";"00272";"55-22-1";"DCB"
"6799";"@brasil13324527602";"lactic acid";"ácido láctico";"00274";"50-21-5";"DCB"
"6800";"@brasil10260421409";"lauric acid";"ácido láurico";"11288";"143-07-7";"DCB"
"6801";"@brasil11328524546";"ácido linoleico";"ácido linoleico";"00280";"60-33-3";"DCB"
"6802";"@brasil15861358814";"linolenic acid";"ácido linolênico";"00281";"463-40-1";"DCB"
"6803";"@brasil15321220740";"maleic acid";"ácido maleico";"11250";"110-16-7";"DCB"
"6804";"@brasil19022027567";"malic acid";"ácido málico";"09396";"6915-15-7";"DCB"
"6805";"@brasil19146475928";"mandelic acid";"ácido mandélico";"00282";"90-64-2";"DCB"
"6806";"@brasil18666297250";"meclofenamic acid";"ácido meclofenâmico";"00283";"644-62-2";"DCB"
"6807";"@brasil15892058773";"medronic acid";"ácido medrônico";"00285";"1984-15-2";"DCB"
"6808";"@brasil13461402423";"mefenamic acid";"ácido mefenâmico";"00286";"61-68-7";"DCB"
"6809";"@brasil19630836106";"mycophenolic acid";"ácido micofenólico";"00289";"24280-93-1";"DCB"
"6810";"@brasil17769973572";"myristic acid";"ácido mirístico";"09351";"544-63-8";"DCB"
"6811";"@brasil19957359850";"nalidixic acid";"ácido nalidíxico";"00294";"389-08-2";"DCB"
"6812";"@brasil16476878844";"nicotinic acid";"ácido nicotínico";"00296";"59-67-6";"DCB"
"6813";"@brasil12512314981";"oleic acid";"ácido oleico";"00305";"112-80-1";"DCB"
"6814";"@brasil13130938682";"orotic acid";"ácido orótico";"00307";"65-86-1";"DCB"
"6815";"@brasil18117748774";"oxolinic acid";"ácido oxolínico";"00312";"14698-29-4";"DCB"
"6816";"@brasil11195928137";"palmitic acid";"ácido palmítico";"11289";"57-10-3";"DCB"
"6817";"@brasil11626394670";"palmitoleic acid";"ácido palmitoleico";"09353";"373-49-9";"DCB"
"6818";"@brasil14544189249";"pamidronic acid";"ácido pamidrônico";"00314";"40391-99-9";"DCB"
"6819";"@brasil17841762542";"pantothenic acid";"ácido pantotênico";"00316";"79-83-4";"DCB"
"6820";"@brasil15576245276";"para-aminobenzoic acid";"ácido paraminobenzoico";"00098";"150-13-0";"DCB"
"6821";"@brasil14355939061";"aminosalicylic acid";"ácido paraminossalicílico";"00319";"65-49-6";"DCB"
"6822";"@brasil15050959785";"pentetic acid";"ácido pentético";"00320";"67-43-6";"DCB"
"6823";"@brasil12186982055";"pipemidic acid";"ácido pipemídico";"00327";"51940-44-4";"DCB"
"6824";"@brasil15782031225";"propionic acid";"ácido propiônico";"00333";"79-09-4";"DCB"
"6825";"@brasil12349210270";"chenodeoxycholic acid";"ácido quenodesoxicólico";"00337";"474-25-9";"DCB"
"6826";"@brasil14399957985";"salicylic acid";"ácido salicílico";"00340";"69-72-7";"DCB"
"6827";"@brasil14952159424";"sorbic acid";"ácido sórbico";"00346";"110-44-1";"DCB"
"6828";"@brasil11560923476";"succinic acid";"ácido succínico";"11017";"110-15-6";"DCB"
"6829";"@brasil12948139413";"sulfuric acid";"ácido sulfúrico";"11064";"7664-93-9";"DCB"
"6830";"@brasil10057926950";"tartaric acid";"ácido tartárico";"00350";"87-69-4";"DCB"
"6831";"@brasil11445216816";"tiaprofenic acid";"ácido tiaprofênico";"00357";"33005-95-7";"DCB"
"6832";"@brasil17052303538";"tienilic acid";"ácido tienílico";"00359";"40180-04-9";"DCB"
"6833";"@brasil10925867557";"tiludronic acid";"ácido tiludrônico";"00360";"89987-06-4";"DCB"
"6834";"@brasil13472427476";"thioctic acid";"ácido tióctico";"00361";"62-46-4";"DCB"
"6835";"@brasil14584535018";"tolfenamic acid";"ácido tolfenâmico";"00364";"13710-19-5";"DCB"
"6836";"@brasil12505392973";"tranexamic acid";"ácido tranexâmico";"00365";"1197-18-8";"DCB"
"6837";"@brasil18773360118";"trichloroacetic acid";"ácido tricloroacético";"00366";"76-03-9";"DCB"
"6838";"@brasil16350621985";"undecylenic acid";"ácido undecilênico";"00367";"112-38-9";"DCB"
"6839";"@brasil15433029880";"ursodeoxycholic acid";"ácido ursodesoxicólico";"00369";"128-13-2";"DCB"
"6840";"@brasil18113283753";"valproic acid";"ácido valproico";"00372";"99-66-1";"DCB"
"6841";"@brasil14267329436";"zoledronic acid";"ácido zoledrônico";"00379";"118072-93-8";"DCB"
"6842";"@brasil16996796229";"zoledronic acid monohydrate";"ácido zoledrônico monoidratado";"10708";"165800-06-6";"DCB"
"6843";"@brasil12181993146";"acidum nitricum";"acidum nitricum";"10102";\N;"DCB"
"6844";"@brasil19919577350";"acidum phosphoricum";"acidum phosphoricum";"10104";\N;"DCB"
"6845";"@brasil13051907626";"acipimox";"acipimox";"00381";"51037-30-0";"DCB"
"6846";"@brasil15500806387";"acitretin";"acitretina";"00383";"55079-83-9";"DCB"
"6847";"@brasil18348309366";"aclarubicin";"aclarrubicina";"00385";"57576-44-0";"DCB"
"6848";"@brasil15239127980";"aklomide";"aclomida";"00387";"3011-89-0";"DCB"
"6849";"@brasil11150712110";"aconitum napellus";"aconitum napellus";"10111";\N;"DCB"
"6850";"@brasil10036176917";"acriflavine";"acriflavina";"00394";"8048-52-0";"DCB"
"6851";"@brasil16728748562";"acrisorcin";"acrisorcina";"00396";"7527-91-5";"DCB"
"6852";"@brasil13535212373";"acrivastine";"acrivastina";"00397";"87848-99-5";"DCB"
"6853";"@brasil17489816486";"actaea racemosa l.";"actaea racemosa l.";"10707";\N;"DCB"
"6854";"@brasil16843445622";"adalimumab";"adalimumabe";"00408";"331731-18-1";"DCB"
"6855";"@brasil11747778961";"adapalene";"adapaleno";"00410";"106685-40-9";"DCB"
"6856";"@brasil18208558248";"adefovir";"adefovir";"00415";"106941-25-7";"DCB"
"6857";"@brasil15799454668";"adefovir dipivoxil";"adefovir dipivoxila";"00416";"142340-99-6";"DCB"
"6858";"@brasil14371598905";"ademetionine";"ademetionina";"00417";"17176-17-9";"DCB"
"6859";"@brasil14459630831";"adenine";"adenina";"00418";"73-24-5";"DCB"
"6860";"@brasil19183357746";"adenosine";"adenosina";"00419";"58-61-7";"DCB"
"6861";"@brasil12537896550";"adiphenine";"adifenina";"00423";"64-95-9";"DCB"
"6862";"@brasil15139409819";"dibutyl adipate";"adipato de dibutila";"10844";"105-99-7";"DCB"
"6863";"@brasil18083359753";"piperazine adipate";"adipato de piperazina";"07100";"142-88-1";"DCB"
"6864";"@brasil14998569622";"adipiodone";"adipiodona";"00428";"606-17-7";"DCB"
"6865";"@brasil10742769157";"aesculus hippocastanum";"aesculus hippocastanum";"10116";\N;"DCB"
"6866";"@brasil18718137225";"aesculus hippocastanum l.";"aesculus hippocastanum l.";"09892";\N;"DCB"
"6867";"@brasil11362378969";"afatinib";"afatinibe";"10678";"850140-72-6";"DCB"
"6868";"@brasil10657483478";"aflibercept";"aflibercepte";"10019";"862111-32-8";"DCB"
"6869";"@brasil19200280790";"ágar-ágar";"ágar-ágar";"09547";"9002-18-0";"DCB"
"6870";"@brasil14028953828";"agaricus muscarius";"agaricus muscarius";"10118";\N;"DCB"
"6871";"@brasil12543927078";"agnus castus";"agnus castus";"10119";\N;"DCB"
"6872";"@brasil10632774214";"agomelatine";"agomelatina";"09561";"138112-76-2";"DCB"
"6873";"@brasil15532090145";"agraphis nutans";"agraphis nutans";"10120";\N;"DCB"
"6874";"@brasil15762128396";"water";"água";"00445";"7732-18-5";"DCB"
"6875";"@brasil12214371851";"água deionizada";"água deionizada";"09318";\N;"DCB"
"6876";"@brasil13785474377";"distilled water";"água destilada";"09319";\N;"DCB"
"6877";"@brasil12284256639";"water for injection";"água para injetáveis";"09320";"7732-18-5";"DCB"
"6878";"@brasil10064860376";"purified water";"água purificada";"09879";"7732-18-5";"DCB"
"6879";"@brasil13471532270";"ajmaline";"ajmalina";"00448";"4360-12-7";"DCB"
"6880";"@brasil17163080531";"alanylglutamine";"alanilglutamina";"09501";"39537-23-0";"DCB"
"6881";"@brasil15400806156";"alanine";"alanina";"00451";"56-41-7";"DCB"
"6882";"@brasil15514789497";"allantoin";"alantoína";"00453";"97-59-6";"DCB"
"6883";"@brasil11371529325";"albendazole";"albendazol";"00458";"54965-21-8";"DCB"
"6884";"@brasil10313278445";"albiglutide";"albiglutida";"10924";"782500-75-8";"DCB"
"6885";"@brasil17451804555";"human serum albumin";"albumina humana";"00460";"70024-90-7";"DCB"
"6886";"@brasil16319187753";"alcaftadine";"alcaftadina";"09968";"147084-10-4";"DCB"
"6887";"@brasil19240525408";"alcatrão mineral";"alcatrão mineral";"00465";\N;"DCB"
"6888";"@brasil17245064094";"alclometasone";"alclometasona";"00467";"67452-97-5";"DCB"
"6889";"@brasil18503744552";"alcloxa";"alcloxa";"00469";"1317-25-5";"DCB"
"6890";"@brasil10783530790";"benzyl alcohol";"álcool benzílico";"00471";"100-51-6";"DCB"
"6891";"@brasil18406420598";"cetyl alcohol";"álcool cetílico";"00472";"36653-82-4";"DCB"
"6892";"@brasil19681510932";"cetostearyl alcohol";"álcool cetoestearílico";"00473";"67762-27-0";"DCB"
"6893";"@brasil13188293177";"butyl methacrylate";"metacrilato de butila";"11431";"97-88-1";"DCB"
"6894";"@brasil16896933396";"stearyl alcohol";"álcool estearílico";"00474";"112-92-5";"DCB"
"6895";"@brasil14919787760";"ethyl alcohol";"álcool etílico";"00475";"64-17-5";"DCB"
"6896";"@brasil13908138920";"phenylethyl alcohol";"álcool feniletílico";"09931";"60-12-8";"DCB"
"6897";"@brasil14781331627";"isopropyl alcohol";"álcool isopropílico";"00476";"67-63-0";"DCB"
"6898";"@brasil12182241688";"methyl alcohol";"álcool metílico";"11018";"67-56-1";"DCB"
"6899";"@brasil16567213865";"nicotinyl alcohol";"álcool nicotinílico";"00477";"100-55-0";"DCB"
"6900";"@brasil16289344573";"oleyl alcohol";"álcool oleílico";"00480";"143-28-2";"DCB"
"6901";"@brasil11745081581";"polyvinyl alcohol";"álcool polivinílico";"00481";"9002-89-5";"DCB"
"6902";"@brasil19857374492";"tert-butyl alcohol";"álcool terc-butílico";"11251";"75-65-0";"DCB"
"6903";"@brasil14051628031";"aldesleukin";"aldesleucina";"00482";"110942-02-4";"DCB"
"6904";"@brasil10686016985";"aldioxa";"aldioxa";"00484";"5579-81-7";"DCB"
"6905";"@brasil11275201141";"aldosterone";"aldosterona";"00485";"52-39-1";"DCB"
"6906";"@brasil14317955060";"alefacept";"alefacepte";"00486";"222535-22-0";"DCB"
"6907";"@brasil17764172186";"alendronato de sódio tri-hidratado";"alendronato de sódio tri-hidratado";"00097";"121268-17-5";"DCB"
"6908";"@brasil15866996063";"alemtuzumab";"alentuzumabe";"00487";"216503-57-0";"DCB"
"6909";"@brasil16042464062";"alexitol sodium";"alexitol sódico";"00494";"66813-51-2";"DCB"
"6910";"@brasil12611332434";"alfa1antitripsina";"alfa1antitripsina";"09591";"9041-92-3";"DCB"
"6911";"@brasil14929270291";"agalsidase alfa";"alfa-agalsidase";"09630";"104138-64-9";"DCB"
"6912";"@brasil16812354461";"alglucosidase alfa";"alfa-alglicosidase";"09611";"420784-05-0";"DCB"
"6913";"@brasil19273961742";"alpha amylase";"alfa-amilase";"09355";"9000-90-2";"DCB"
"6914";"@brasil15932745639";"antithrombin alfa";"alfa-antitrombina";"10026";"84720-88-7";"DCB"
"6915";"@brasil11841843277";"alfacalcidol";"alfacalcidol";"00495";"41294-56-8";"DCB"
"6916";"@brasil11410979777";"conestat alfa";"alfaconestate";"09939";"80295-38-1";"DCB"
"6917";"@brasil11529369363";"corifollitropin alfa";"alfacorifolitropina";"00499";"195962-23-3";"DCB"
"6918";"@brasil13413907794";"choriogonadotropin alfa";"alfacoriogonadotropina";"00500";"177073-44-8";"DCB"
