"CO_SEQ_ID";"NU_VPID";"NO_NM";"principio";"cat_anvisa";"renam";"NU_SNOMED";"atc";"route";"ingredientes_conc_unid";"form"
"346183";"@brasil15361639804";"Acebrofilina 5 mg/mL gel";"Acebrofilina";"Broncodilatadores";\N;\N;\N;"Oral";"acebrofilina 5.000 mg (Miligrama)";"Gel"
"282092";"@brasil10031395041";"Acebrofilina 5 mg/mL xarope";"Acebrofilina";"Outros produtos para o aparelho respiratório";\N;\N;\N;"Oral";"acebrofilina 5.000 mg (Miligrama)";"Xarope"
"23318";"@brasil17845149855";"Aceclofenaco 100 mg comprimido";"Aceclofenaco";"Antinflamatórios";\N;"329925006";"M01AB16 aceclofenaco";"Oral";"aceclofenaco 100.000 mg (Miligrama)";"Comprimido"
"339934";"@brasil18395339657";"Aceclofenaco 15 mg/g creme";"Aceclofenaco";"Antinflamatórios";\N;\N;"M02AA25 aceclofenaco";"Dermatológica";"aceclofenaco 15.000 mg (Miligrama)";"Creme"
"339948";"@brasil14661950108";"Aceponato de Metilprednisolona 1 mg/g creme";"Aceponato de Metilprednisolona";"Glicocorticóides tópico simples exceto uso oftálmico";\N;\N;"D07AC14 aceponato de metilprednisolona";"Dermatológica";"aceponato de metilprednisolona 1.000 mg (Miligrama)";"Creme"
"346572";"@brasil14533461903";"Aceponato de Metilprednisolona 1 mg/g loção";"Aceponato de Metilprednisolona";"Glicocorticóides tópico simples exceto uso oftálmico";\N;\N;"D07AC14 aceponato de metilprednisolona";"Dermatológica";"aceponato de metilprednisolona 1.000 mg (Miligrama)";"Emulsão"
"349947";"@brasil19985230032";"Aceponato de Metilprednisolona 1 mg/mL solução";"Aceponato de Metilprednisolona";"Glicocorticóides tópico simples exceto uso oftálmico";\N;\N;"D07AC14 aceponato de metilprednisolona";"Dermatológica";"aceponato de metilprednisolona 1.000 mg (Miligrama)";"Solução"
"789183";"@brasil12537636478";"Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme";"Clostebol + Neomicina";"Ceratolíticos e ceratoplásticos";\N;\N;\N;"Dermatológica";"acetato de clostebol 5.000 mg (Miligrama),sulfato de neomicina 5.000 mg (Miligrama)";"Creme"
"789199";"@brasil14063335892";"Acetato de Clostebol 5 mg/g + Neomicina 5 mg/g creme vaginal";"Clostebol + Neomicina";"Ceratolíticos e ceratoplásticos";\N;\N;\N;"Vaginal";"acetato de clostebol 5.000 mg (Miligrama),sulfato de neomicina 5.000 mg (Miligrama)";"Creme vaginal"
"355562";"@brasil13262060314";"Acetato de Dexametasona 16 mg/2 mL suspensão para injeção; frasco-ampola";"Dexametasona";"Glicocorticóides sistêmicos";\N;\N;"H02AB02 dexametasona";"Intra-articular,Intralesional,Intramuscular";"acetato de dexametasona 8.000 mg (Miligrama)";"Suspensão para injeção"
"792761";"@brasil19839601654";"Acetato de Glatirâmer 20 mg pó para injeção; frasco-ampola";"Glatirâmer";\N;"Especializado";\N;"L03AX13 acetato de glatirâmer";"Via de administração não aplicável";\N;"Não aplicável"
"378905";"@brasil16961431284";"Acetato de Glatirâmer 20 mg/1 mL solução para injeção; seringa preenchida";"Glatirâmer";"Imunomodulador";"Especializado";"414343002";"L03AX13 acetato de glatirâmer";"Subcutânea";"acetato de glatirâmer 20.000 mg (Miligrama)";"Solução para injeção"
"419657";"@brasil19825800180";"Acetato de Metilprednisolona 0,12% suspensão oftálmica";"Metilprednisolona";\N;\N;\N;"S01CA08 metilprednisolona e antiinfecciosos";"Oftálmica";"acetato de metilprednisolona 5.000 mg (Miligrama)";"suspensão oftálmica"
"51029";"@brasil18875092637";"Acetato de Metilprednisolona 200 mg/5 mL suspensão para injeção; frasco-ampola";"Metilprednisolona";\N;\N;"424856004";"H02AB04 metilprednisolona";"Via de administração não aplicável";\N;"Não aplicável"
"51034";"@brasil16907362812";"Acetato de Metilprednisolona 40 mg/1 mL suspensão para injeção; frasco-ampola";"Metilprednisolona";\N;\N;"325422008";\N;"Intra-articular,Intrabursal,Intralesional,Intramuscular,Periarticular";"acetato de metilprednisolona 40.000 mg (Miligrama)";"Suspensão para injeção"
"779240";"@brasil10080245862";"Acetato de Metilprednisolona 80 mg/2 mL suspensão para injeção; frasco-ampola";"Metilprednisolona";"Glicocorticóides sistêmicos";\N;"325423003";"H02AB04 metilprednisolona";"Intra-articular,Intrabursal,Intralesional,Intramuscular,Intrassinovial ,Periarticular,Retal";"acetato de metilprednisolona 40.000 mg (Miligrama)";"Suspensão para injeção"
"23325";"@brasil14797509287";"Acetato de Noretisterona 10 mg comprimido";"Acetato de Noretisterona";"Progestagenos simples";\N;"3508711000001106";"G03DC02 noretisterona";"Oral";"acetato de noretisterona 10.000 mg (Miligrama)";"Comprimido"
"350763";"@brasil19890114290";"Acetato de Racealfatocoferol 1.000 unidades internacionais cápsula";"Racealfatocoferol";"Monovitaminas exceto vitamina K";\N;\N;"A11HA03 tocoferol (vitamina e)";"Oral";"acetato de racealfatocoferol 1000.000 UI (Unidade Internacional)";"Cápsula"
"350776";"@brasil16314771161";"Acetato de Racealfatocoferol 400 mg cápsula";"Racealfatocoferol";"Monovitaminas exceto vitamina K";\N;\N;\N;"Oral";"acetato de racealfatocoferol 400.000 mg (Miligrama)";"Cápsula"
"350789";"@brasil10969626223";"Acetato de Racealfatocoferol 400 unidades internacionais cápsula";"Racealfatocoferol";"Monovitaminas exceto vitamina K";\N;\N;"A11HA03 tocoferol (vitamina e)";"Oral";"acetato de racealfatocoferol 400.000 UI (Unidade Internacional)";"Cápsula"
"660574";"@brasil14221821318";"Acetato de Sódio 20 mEq/10 mL solução para injeção; ampola";"Acetato de Sódio";"Eletrólitos simples";"Básico";\N;"B05XA08 acetato de sódio";"Intravenosa";"acetato de sódio tri-hidratado 2.000 mEq (Miliequivalente)";"Solução para infusão"
"379029";"@brasil16306757474";"Acetato de Triptorrelina 0,1 mg/1 mL solução para injeção; seringa preenchida";"Triptorrelina";"Outros produtos para o aparelho digestivo e metabolismo";\N;\N;"L02AE04 triptorrelina";"Subcutânea";"acetato de triptorrelina 0.000 mg (Miligrama)";"Solução para injeção"
"51159";"@brasil14278890511";"Acetato de Triptorrelina 11,25 mg pó para suspensão para injeção; frasco-ampola";"Triptorrelina";\N;"Especializado";\N;"L02AE04 triptorrelina";"Não disponível";\N;"Não disponível"
"51141";"@brasil18480421171";"Acetato de Triptorrelina 11,25 mg/2 mL suspensão para injeção; seringa preenchida";"Triptorrelina";\N;\N;\N;"L02AE04 triptorrelina";"Via de administração não aplicável";\N;"Não aplicável"
"570292";"@brasil10914469780";"Acetato de Triptorrelina 3,75 mg pó e diluente para suspensão para injeção; seringa preenchida";"Triptorrelina";"Outros produtos para o aparelho digestivo e metabolismo";\N;\N;"L02AE04 triptorrelina";"Intramuscular,Subcutânea";"acetato de triptorrelina 3.000 mg (Miligrama)";"Pó e diluente para suspensão para injeção"
"51167";"@brasil10341965508";"Acetato de Triptorrelina 3,75 mg pó para suspensão para injeção; frasco-ampola";"Triptorrelina";\N;"Especializado";\N;"L02AE04 triptorrelina";"Via de administração não aplicável";\N;"Não aplicável"
"51175";"@brasil18873156315";"Acetato de Zinco 1 mEq/2 mL solução para injeção; ampola";"Acetato de Zinco";\N;\N;\N;"A16AX05 acetato de zinco";"Via de administração não aplicável";\N;"Não aplicável"
"379047";"@brasil15078567260";"Acetato de Zuclopentixol 50 mg/1 mL solução para injeção; ampola";"Zuclopentixol";"Neurolépticos";\N;"321587006";"N05AF05 zuclopentixol";"Intramuscular";"acetato de zuclopentixol 50.000 mg (Miligrama)";"Solução para injeção"
"23339";"@brasil17867958337";"Acetazolamida 250 mg comprimido";"Acetazolamida";"Diuréticos simples";"Básico";"330601002";"S01EC01 acetazolamida";"Oral";"acetazolamida 250.000 mg (Miligrama)";"Comprimido"
"790707";"@brasil16047114109";"Acetilcisteína 10 mg/mL + Tuaminoeptano 5 mg/mL solução nasal";"Acetilcisteína + Tuaminoeptano";"Descongestionantes nasais tópicos";\N;\N;\N;"Nasal";"acetilcisteína 10.000 mg (Miligrama),sulfato de tuaminoeptano 5.000 mg (Miligrama)";"Solução nasal"
"663134";"@brasil12649900653";"Acetilcisteína 100 mg granulado";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;\N;"R05CB01 acetilcisteína";"Oral";"acetilcisteína 100.000 mg (Miligrama)";"Granulado"
"523483";"@brasil12054381017";"Acetilcisteína 11,5 mg/mL solução spray";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;\N;"R05CB01 acetilcisteína";"Nasal";"acetilcisteína 11.000 mg (Miligrama)";"Solução spray"
"282128";"@brasil13006038602";"Acetilcisteína 20 mg/mL xarope";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;\N;"R05CB01 acetilcisteína";"Oral";"acetilcisteína 20.000 mg (Miligrama)";"Xarope"
"349646";"@brasil11239736573";"Acetilcisteína 200 mg comprimido efervescente";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;\N;"R05CB01 acetilcisteína";"Oral";"acetilcisteína 200.000 mg (Miligrama)";"Comprimido efervescente"
"663141";"@brasil17479410707";"Acetilcisteína 200 mg granulado";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;\N;"R05CB01 acetilcisteína";"Oral";"acetilcisteína 200.000 mg (Miligrama)";"Granulado"
"660590";"@brasil18047327377";"Acetilcisteína 300 mg/3 mL solução para injeção; ampola";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;\N;"R05CB01 acetilcisteína";"Inalatória,Intravenosa";"acetilcisteína 100.000 mg (Miligrama)";"Solução para injeção"
"282144";"@brasil16083298283";"Acetilcisteína 40 mg/mL xarope";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;\N;"R05CB01 acetilcisteína";"Oral";"acetilcisteína 40.000 mg (Miligrama)";"Xarope"
"23351";"@brasil17983500460";"Acetilcisteína 600 mg comprimido efervescente";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;"14158511000001104";"R05CB01 acetilcisteína";"Oral";"acetilcisteína 600.000 mg (Miligrama)";"Comprimido efervescente"
"663148";"@brasil19447351887";"Acetilcisteína 600 mg granulado";"Acetilcisteína";"Expectorantes balsâmicos e mucolítico";\N;\N;"R05CB01 acetilcisteína";"Oral";"acetilcisteína 600.000 mg (Miligrama)";"Granulado"
"23358";"@brasil16313627599";"Aciclovir 200 mg comprimido";"Aciclovir";"Antiviróticos";"Básico";"324726004";"J05AB01 aciclovir";"Oral";"aciclovir 200.000 mg (Miligrama)";"Comprimido"
"780303";"@brasil19699184678";"Aciclovir 250 mg pó e diluente para solução para injeção; frasco-ampola";"Aciclovir";"Antiviróticos";"Básico";\N;"J05AB01 aciclovir";"Intravenosa";"aciclovir sódico 250.000 mg (Miligrama)";"Pó e diluente para solução para injeção"
"660599";"@brasil17808962581";"Aciclovir 250 mg pó para solução para injeção; frasco-ampola";"Aciclovir";"Antiviróticos (inibe replicação virótica)";"Básico";\N;"J05AB01 aciclovir";"Intravenosa";"aciclovir sódico 250.000 mg (Miligrama)";"Pó para solução para injeção"
"343401";"@brasil18928083951";"Aciclovir 30 mg/g pomada oftálmica";"Aciclovir";"Antiviróticos (inibe replicação virótica)";\N;"330284003";"S01AD03 aciclovir";"Oftálmica";"aciclovir 30.000 mg (Miligrama)";"Pomada oftálmica"
"23368";"@brasil17617636924";"Aciclovir 400 mg comprimido";"Aciclovir";"Antiviróticos";\N;"324729006";"J05AB01 aciclovir";"Oral";"aciclovir 400.000 mg (Miligrama)";"Comprimido"
"340321";"@brasil10494434926";"Aciclovir 50 mg/g (5%) creme";"Aciclovir";"Antiviróticos (inibe replicação virótica)";"Básico";"333020002";"D06BB03 aciclovir";"Dermatológica";"aciclovir 50.000 mg (Miligrama)";"Creme"
"794717";"@brasil17404320673";"Ácido Acético 2%";"Ácido Acético";\N;\N;\N;\N;\N;"ácido acético 2.000 % (porcento)";"Solução"
"794718";"@brasil11434748657";"Ácido Acético 3%";"Ácido Acético";\N;\N;\N;\N;\N;"ácido acético 3.000 % (porcento)";"Solução"
"794719";"@brasil14960781571";"Ácido Acético 5%";"Ácido Acético";\N;\N;\N;\N;\N;"ácido acético 5.000 % (porcento)";"Solução"
"520766";"@brasil12284659725";"Ácido Acetilsalicílico 100 mg + Carbonato de Magnésio 30 mg + Glicinato de Alumínio 15 mg comprimido";"Ácido Acetilsalicílico + Carbonato de Magnésio + Glicinato de Alumínio";"Analgésicos não-narcóticos";\N;\N;"N02BA51 ácido acetilsalicílico, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 100.000 mg (Miligrama),carbonato de magnésio 30.000 mg (Miligrama),glicinato de alumínio 15.000 mg (Miligrama)";"Comprimido"
"334895";"@brasil17514022519";"Ácido Acetilsalicílico 100 mg + Mononitrato de Isossorbida 40 mg cápsula";"Ácido Acetilsalicílico + Mononitrato de Isossorbida";"Vasodilatadores";\N;\N;\N;"Oral";"ácido acetilsalicílico 100.000 mg (Miligrama),mononitrato de isossorbida 40.000 mg (Miligrama)";"Cápsula"
"248992";"@brasil18518712638";"Ácido Acetilsalicílico 100 mg comprimido";"Ácido Acetilsalicílico";"Analgésicos não-narcóticos";"Básico";\N;"B01AC06 ácido acetilsalicílico";"Oral";"ácido acetilsalicílico 100.000 mg (Miligrama)";"Comprimido"
"75876";"@brasil12722401014";"Ácido Acetilsalicílico 100 mg comprimido de liberação prolongada";"Ácido Acetilsalicílico";\N;\N;\N;"B01AC06 ácido acetilsalicílico";"Não disponível";"não disponível 0.000 desconhecido";"Não disponível"
"526042";"@brasil13272112795";"Ácido Acetilsalicílico 100 mg comprimido e Clopidogrel 75 mg comprimido";"Não existe ainda nenhuma associação de VTM para este VMP";"Outros medicamentos de ação no aparelho cardiovascular";\N;\N;\N;"Via de administração não aplicável";\N;"Não aplicável"
"660568";"@brasil18988849564";"Ácido Acetilsalicílico 100 mg comprimido gastrorresistente";"Ácido Acetilsalicílico";"Antiagregante plaquetário";\N;\N;"B01AC06 ácido acetilsalicílico";"Oral";"ácido acetilsalicílico 100.000 mg (Miligrama)";"Comprimido gastrorresistente"
"660584";"@brasil14142558204";"Ácido Acetilsalicílico 100 mg comprimido mastigável";"Ácido Acetilsalicílico";"Analgésicos";\N;\N;"B01AC06 ácido acetilsalicílico";"Oral";"ácido acetilsalicílico 100.000 mg (Miligrama)";"Comprimido mastigável"
"401751";"@brasil17784482125";"Ácido Acetilsalicílico 200 mg + Carbonato de Magnésio 60 mg + Glicinato de Alumínio 30 mg comprimido";"Ácido Acetilsalicílico + Carbonato de Magnésio + Glicinato de Alumínio";"Analgésicos não-narcóticos";\N;\N;"N02BA51 ácido acetilsalicílico, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 200.000 mg (Miligrama),carbonato de magnésio 60.000 mg (Miligrama),glicinato de alumínio 30.000 mg (Miligrama)";"Comprimido"
"75889";"@brasil17254217113";"Ácido Acetilsalicílico 200 mg comprimido";"Ácido Acetilsalicílico";\N;\N;\N;"B01AC06 ácido acetilsalicílico";"Via de administração não aplicável";\N;"Não aplicável"
"388167";"@brasil10667938040";"Ácido Acetilsalicílico 250 mg + Paracetamol 200 mg + Cafeína 50 mg comprimido";"Ácido Acetilsalicílico + Paracetamol + Cafeína";"Analgésicos não-narcóticos";\N;\N;"N02BE51 paracetamol, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 250.000 mg (Miligrama),cafeína 50.000 mg (Miligrama),paracetamol 200.000 mg (Miligrama)";"Comprimido"
"388279";"@brasil10002627427";"Ácido Acetilsalicílico 250 mg + Paracetamol 250 mg + Cafeína 65 mg comprimido";"Ácido Acetilsalicílico + Paracetamol + Cafeína";"Analgésicos não-narcóticos";\N;\N;"N02BE51 paracetamol, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 250.000 mg (Miligrama),cafeína 65.000 mg (Miligrama),paracetamol 250.000 mg (Miligrama)";"Comprimido"
"75883";"@brasil15084283969";"Ácido Acetilsalicílico 300 mg comprimido de liberação prolongada";"Ácido Acetilsalicílico";\N;\N;"4558011000001103";"A01AD05 ácido acetilsalicílico";"Via de administração não aplicável";\N;"Não aplicável"
"663180";"@brasil14798527623";"Ácido Acetilsalicílico 300 mg comprimido gastrorresistente";"Ácido Acetilsalicílico";"Antiagregante plaquetário";\N;\N;"B01AC06 ácido acetilsalicílico";"Oral";"ácido acetilsalicílico 300.000 mg (Miligrama)";"Comprimido gastrorresistente"
"249066";"@brasil10849223769";"Ácido Acetilsalicílico 325 mg comprimido";"Ácido Acetilsalicílico";"Analgésicos não-narcóticos";\N;"370166004";\N;"Oral";"ácido acetilsalicílico 325.000 mg (Miligrama)";"Comprimido"
"388402";"@brasil10735984760";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 200 mg comprimido";"Ácido Acetilsalicílico + Ácido Ascórbico";"Analgésicos não-narcóticos";\N;\N;"N02BA51 ácido acetilsalicílico, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 400.000 mg (Miligrama),ácido ascórbico 200.000 mg (Miligrama)";"Comprimido"
"388503";"@brasil19220676978";"Ácido Acetilsalicílico 400 mg + Ácido Ascórbico 240 mg comprimido efervescente";"Ácido Acetilsalicílico + Ácido Ascórbico";"Analgésicos não-narcóticos";\N;\N;"N02BA51 ácido acetilsalicílico, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 400.000 mg (Miligrama),ácido ascórbico 240.000 mg (Miligrama)";"Comprimido efervescente"
"388536";"@brasil11097392896";"Ácido Acetilsalicílico 400 mg + Cafeína 50 mg comprimido";"Ácido Acetilsalicílico + Cafeína";"Analgésicos não-narcóticos";\N;\N;"N02BA51 ácido acetilsalicílico, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 400.000 mg (Miligrama),cafeína 50.000 mg (Miligrama)";"Comprimido"
"388618";"@brasil13514897573";"Ácido Acetilsalicílico 400 mg + Dexcloferniramina 1 mg + Fenilefrina 10 mg + Cafeína 30 mg comprimido";"Não existe ainda nenhuma associação de VTM para este VMP";"Produtos para terapia sintomática da gripe";\N;\N;"N02BA51 ácido acetilsalicílico, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 400.000 mg (Miligrama),cafeína 30.000 mg (Miligrama),cloridrato de fenilefrina 10.000 mg (Miligrama),maleato de dexclorfeniramina 1.000 mg (Miligrama)";"Comprimido"
"388661";"@brasil14652560533";"Ácido Acetilsalicílico 500 mg + Cafeína 30 mg comprimido";"Ácido Acetilsalicílico + Cafeína";"Analgésicos não-narcóticos";\N;\N;"N02BA51 ácido acetilsalicílico, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 500.000 mg (Miligrama),cafeína 30.000 mg (Miligrama)";"Comprimido"
"249012";"@brasil12202814566";"Ácido Acetilsalicílico 500 mg comprimido";"Ácido Acetilsalicílico";"Analgésicos não-narcóticos";"Básico";\N;"N02BA01 ácido acetilsalicílico";"Oral";"ácido acetilsalicílico 500.000 mg (Miligrama)";"Comprimido"
"663187";"@brasil15650582764";"Ácido Acetilsalicílico 500 mg comprimido de liberação modificada";"Ácido Acetilsalicílico";"Analgésicos não-narcóticos";\N;\N;"N02BA01 ácido acetilsalicílico";"Oral";"ácido acetilsalicílico 500.000 mg (Miligrama)";"Comprimido de liberação modificada"
"663194";"@brasil13857331259";"Ácido Acetilsalicílico 500 mg comprimido efervescente";"Ácido Acetilsalicílico";"Analgésicos não-narcóticos";\N;\N;\N;"Oral";"ácido acetilsalicílico 500.000 mg (Miligrama)";"Comprimido efervescente"
"388728";"@brasil19176163391";"Ácido Acetilsalicílico 650 mg + Cafeína 65 mg comprimido";"Ácido Acetilsalicílico + Cafeína";"Analgésicos não-narcóticos";\N;\N;"N02BA51 ácido acetilsalicílico, associações excluindo psicolépticos";"Oral";"ácido acetilsalicílico 650.000 mg (Miligrama),cafeína 65.000 mg (Miligrama)";"Comprimido"
"520780";"@brasil10775886894";"Ácido Acetilsalicílico 81 mg comprimido gastrorresistente";"Ácido Acetilsalicílico";"Antiagregante plaquetário";\N;\N;"B01AC06 ácido acetilsalicílico";"Oral";"ácido acetilsalicílico 81.000 mg (Miligrama)";"Comprimido gastrorresistente"
"663201";"@brasil12334908313";"Ácido Acetilsalicílico 85 mg comprimido";"Ácido Acetilsalicílico";"Analgésicos não-narcóticos";\N;\N;"N02BA01 ácido acetilsalicílico";"Oral";"ácido acetilsalicílico 85.000 mg (Miligrama)";"Comprimido"
"254157";"@brasil10846856636";"Ácido Alendrônico 10 mg comprimido";"Ácido Alendrônico";"Supressores da reabsorção óssea";"Básico";"325974004";"M05BA04 ácido alendrônico";"Oral";"alendronato de sódio tri-hidratado 10.000 mg (Miligrama)";"Comprimido"
"322651";"@brasil13097338147";"Ácido Alendrônico 70 mg + Colecalciferol 2.800 unidades internacionais comprimido";"Ácido Alendrônico + Colecalciferol";"Supressores da reabsorção óssea";\N;"416756009";"M05BB03 ácido alendrônico e colecalciferol";"Oral";"alendronato de sódio tri-hidratado 70.000 mg (Miligrama),colecalciferol 2800.000 UI (Unidade Internacional)";"Comprimido"
"322694";"@brasil13715786963";"Ácido Alendrônico 70 mg + Colecalciferol 5.600 unidades internacionais comprimido";"Ácido Alendrônico + Colecalciferol";"Supressores da reabsorção óssea";\N;\N;"M05BB03 ácido alendrônico e colecalciferol";"Oral";"alendronato de sódio tri-hidratado 70.000 mg (Miligrama),colecalciferol 5600.000 UI (Unidade Internacional)";"Comprimido"
"254243";"@brasil13392882460";"Ácido Alendrônico 70 mg comprimido";"Ácido Alendrônico";"Supressores da reabsorção óssea";\N;"134599008";"M05BA04 ácido alendrônico";"Oral";"alendronato de sódio tri-hidratado 70.000 mg (Miligrama)";"Comprimido"
"388972";"@brasil15478619322";"Ácido Alendrônico 70 mg comprimido e Carbonato de Cálcio 1,25 g (Cálcio 500 mg) + Colecalciferol 200 unidades internacionais comprimido";"Não existe ainda nenhuma associação de VTM para este VMP";"Vitaminas e suplementos minerais";\N;\N;"M05BB05 ácido alendrônico cálcio e colecalciferol, sequencial";"Via de administração não aplicável";\N;"Não aplicável"
"389053";"@brasil15666579542";"Ácido Ascórbico 1 g + Arginina 1 g comprimido efervescente";"Arginina + Ácido Ascórbico";"Neurotônico";\N;\N;\N;"Oral";"ácido ascórbico 1.000 g (Grama),aspartato de arginina 1.000 g (Grama)";"Comprimido efervescente"
"334044";"@brasil11023170053";"Ácido Ascórbico 1 g + Citrato de Zinco 10 mg comprimido efervescente";"Ácido Ascórbico + Zinco";"Vitaminas e suplementos minerais";\N;"12564411000001103";"A11GA01 ácido ascórbico";"Oral";"ácido ascórbico 1.000 g (Grama),citrato de zinco 10.000 mg (Miligrama)";"Comprimido efervescente"
"539328";"@brasil13220713959";"Ácido Ascórbico 1 g + Glicose 5 g granulado";"Ácido Ascórbico + Glicose";"Monovitaminas exceto vitamina K";\N;\N;\N;"Oral";"ácido ascórbico 1.000 g (Grama),glicose 5.000 g (Grama)";"Granulado para solução"
"256140";"@brasil13561659606";"Ácido Ascórbico 1 g comprimido efervescente";"Ácido Ascórbico";"Monovitaminas exceto vitamina K";\N;"11787211000001107";"A11GA01 ácido ascórbico";"Oral";"ácido ascórbico 1.000 g (Grama)";"Comprimido efervescente"
"503238";"@brasil17528914395";"Ácido Ascórbico 1 g/5 mL solução para injeção; ampola";"Ácido Ascórbico";"Monovitaminas exceto vitamina K";\N;\N;"A11GA01 ácido ascórbico";"Intramuscular,Intravenosa";"ácido ascórbico 200.000 mg (Miligrama)";"Solução para injeção"
"256159";"@brasil17208457724";"Ácido Ascórbico 2 g comprimido efervescente";"Ácido Ascórbico";"Monovitaminas exceto vitamina K";\N;\N;"A11GA01 ácido ascórbico";"Oral";"ácido ascórbico 2.000 g (Grama)";"Comprimido efervescente"
"282841";"@brasil12546761335";"Ácido Ascórbico 200 mg/mL solução oral";"Ácido Ascórbico";"Monovitaminas exceto vitamina K";\N;\N;"A11GA01 ácido ascórbico";"Oral";"ácido ascórbico 200.000 mg (Miligrama)";"Solução oral"
"765894";"@brasil17475312944";"Ácido Ascórbico 250 mg comprimido vaginal";"Ácido Ascórbico";"Monovitaminas exceto vitamina K";\N;\N;"G01AD03 ácido ascórbico";"Vaginal";"ácido ascórbico 250.000 mg (Miligrama)";"Comprimido vaginal "
"794742";"@brasil55101";"Ácido Ascórbico 45 mg + Alfatocoferol 4,4 mg + Zinco 3,75 mg + Selênio 17,5 mcg + Retinol 400 mcg comprimido";"Ácido Ascórbico + Alfatocoferol + Zinco + Selênio + Retinol";\N;\N;\N;\N;"Oral";\N;"Comprimido"
"389238";"@brasil11122546000";"Ácido Ascórbico 500 mg + Arginina 500 mg comprimido efervescente";"Arginina + Ácido Ascórbico";"Neurotônico";\N;\N;\N;"Oral";"ácido ascórbico 500.000 mg (Miligrama),aspartato de arginina 500.000 mg (Miligrama)";"Comprimido efervescente"
