Co Seq ID,Nu Cd,No Descr,No Descr Pt Br,Co Parent,St Hierarchy Level,Au Audit Create Datetime,Au Audit Change Datetime,Au Audit Create Username,Au Audit Change Username,Nu Version,St Registro Ativo,St Change Approve
996,A02BA06,roxatidina,roxatidina,990,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
997,A02BA07,ranitidina e citrato de bismuto,ranitidina e citrato de bismuto,990,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
998,A02BA08,lafutidina,lafutidina,990,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
999,A02BA51,"cimetidina, associações contendo","cimetidina, associações contendo",990,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1000,A02BA53,"famotidina, associações contendo","famotidina, associações contendo",990,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1001,A02BB,prostaglandinas,prostaglandinas,989,4,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1002,A02BB01,misoprostol,misoprostol,1001,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1003,A02BB02,emprostila,emprostila,1001,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1004,A02BC,inibidores da bomba de prótons,inibidores da bomba de prótons,989,4,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1005,A02BC01,omeprazol,omeprazol,1004,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1006,A02BC02,pantoprazol,pantoprazol,1004,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1007,A02BC03,lansoprazol,lansoprazol,1004,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1008,A02BC04,rabeprazol,rabeprazol,1004,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1009,A02BC05,esomeprazol,esomeprazol,1004,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1010,A02BD,associações para erradicação da helicobacter pylori,associações para erradicação da helicobacter pylori,989,4,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1011,A02BD01,"omeprazol, amoxicilina e metronidazol","omeprazol, amoxicilina e metronidazol",1010,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1012,A02BD02,"lansoprazol, tetraciclinas e metronidazol","lansoprazol, tetraciclinas e metronidazol",1010,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1013,A02BD03,"lansoprazol, amoxicilina e metronidazol","lansoprazol, amoxicilina e metronidazol",1010,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1014,A02BD04,"pantoprazol, amoxicilina e claritromicina","pantoprazol, amoxicilina e claritromicina",1010,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1015,A02BD05,"omeprazol, amoxicilina e claritromicina","omeprazol, amoxicilina e claritromicina",1010,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1016,A02BD06,"esomeprazol, amoxicilina e claritromicina","esomeprazol, amoxicilina e claritromicina",1010,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1017,A02BD08,"subcitrato de bismuto coloidal, tetraciclina e metronidazol","subcitrato de bismuto coloidal, tetraciclina e metronidazol",1010,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1018,A02BX,outros medicamentos para úlcera péptica e doença de refluxo gastro-esofágico,outros medicamentos para úlcera péptica e doença de refluxo gastro-esofágico,989,4,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1019,A02BX01,carbenoxolona,carbenoxolona,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1020,A02BX02,sucralfato,sucralfato,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1021,A02BX03,pirenzepina,pirenzepina,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1022,A02BX04,cloreto de metiosulfônio,cloreto de metiosulfônio,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1023,A02BX05,subcitrato de bismuto,subcitrato de bismuto,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1024,A02BX06,proglumida,proglumida,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1025,A02BX07,gefarnato,gefarnato,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1026,A02BX08,sulglicotida,sulglicotida,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1027,A02BX09,acetoxolona,acetoxolona,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1028,A02BX10,zolimidina,zolimidina,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1029,A02BX11,troxipida,troxipida,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1030,A02BX12,subnitrato de bismuto,subnitrato de bismuto,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1031,A02BX13,ácido algínico,ácido algínico,1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1032,A02BX51,"carbenoxolona, associações excluindo psicolépticos","carbenoxolona, associações excluindo psicolépticos",1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1033,A02BX71,"carbenoxolona, associações contendo psicolépticos","carbenoxolona, associações contendo psicolépticos",1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1034,A02BX77,"gefarnato, associações com psicolépticos","gefarnato, associações com psicolépticos",1018,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1035,A02X,outros medicamentos para transtornos relacionados à acidez gástrica,outros medicamentos para transtornos relacionados à acidez gástrica,955,3,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1036,A03,medicamentos para transtornos gastrointestinais funcionais,medicamentos para transtornos gastrointestinais funcionais,911,2,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1037,A03A,medicamentos para transtornos funcionais do intestino,medicamentos para transtornos funcionais do intestino,1036,3,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1038,A03AA,"anticolinérgicos terciários, ésteres com grupo amino terciário","anticolinérgicos terciários, ésteres com grupo amino terciário",1037,4,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1039,A03AA01,oxifenciclimina,oxifenciclimina,1038,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1040,A03AA03,camilofina,camilofina,1038,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1041,A03AA04,mebeverina,mebeverina,1038,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1042,A03AA05,trimebutina,trimebutina,1038,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1043,A03AA06,rociverina,rociverina,1038,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1044,A03AA07,dicicloverina,dicicloverina,1038,5,2017-01-23T11:32:33Z,2017-01-23T11:32:33Z,anonymous,anonymous,0,ACTIVE,APPROVED
1045,A03AA08,diexiverina,diexiverina,1038,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1046,A03AA09,difemerina,difemerina,1038,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1047,A03AA30,piperidolato,piperidolato,1038,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1048,A03AB,"anticolinérgicos sintéticos, compostos de amônio quaternário","anticolinérgicos sintéticos, compostos de amônio quaternário",1037,4,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1049,A03AB01,benzilona,benzilona,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1050,A03AB02,glicopirrônio,glicopirrônio,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1051,A03AB03,oxifenônio,oxifenônio,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1052,A03AB04,pentienato,pentienato,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1053,A03AB05,propantelina,propantelina,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1054,A03AB06,brometo de otilônio,brometo de otilônio,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1055,A03AB07,metantelínio,metantelínio,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1056,A03AB08,tridihexetila,tridihexetila,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1057,A03AB09,isopropamida,isopropamida,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1058,A03AB10,hexocíclio,hexocíclio,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1059,A03AB11,poldina,poldina,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1060,A03AB12,mepenzolato,mepenzolato,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1061,A03AB13,bevônio,bevônio,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1062,A03AB14,pipenzolato,pipenzolato,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1063,A03AB15,difemanila,difemanila,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1064,A03AB16,iodeto de (2-benzidroxiloxietil)dietil-metilamônio,iodeto de (2-benzidroxiloxietil)dietil-metilamônio,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
1065,A03AB17,iodeto de tiemônio,iodeto de tiemônio,1048,5,2017-01-23T11:32:34Z,2017-01-23T11:32:34Z,anonymous,anonymous,0,ACTIVE,APPROVED
