"co_seq_id";"nu_apid";"no_nm"
76444;@brasil47578115999;Atorvastatina Cálcica 10 mg comprimido
76445;@brasil37228336603;Amaryl 6 mg comprimido
76446;@brasil25458724596;Baclofen 10 mg comprimido
76447;@brasil87523686913;Ciprocilin 500 mg comprimido
76448;@brasil34673421140;Capobal 25 mg comprimido
76449;@brasil19217754732;Cecloflan 100 mg comprimido
76451;@brasil95367473623;Candesartana Cilexetila 8 mg comprimido
76452;@brasil91874307164;Albendazol 400 mg comprimido mastigável
76454;@brasil56589248075;Cloridrato de Ciprofloxacino 500 mg comprimido
76455;@brasil36168493141;Cloridrato de Ciprofloxacino 500 mg comprimido
76457;@brasil45738738593;Ácido Acetilsalicílico 100 mg comprimido
76458;@brasil98992927822;Alendronato de Sódio 70 mg comprimido
76460;@brasil75485711932;Aceclofenaco 100 mg comprimido
76461;@brasil65211876232;Cloridrato de Fexofenadina 120 mg comprimido
76462;@brasil82356086953;Cicladol 20 mg comprimido
76464;@brasil26539960108;Azitrophar 500 mg comprimido
76465;@brasil22719454308;Citalor 80 mg comprimido
76466;@brasil67038443882;Cardilol 3,125 mg comprimido
76467;@brasil96840781930;Albendazol 400 mg comprimido mastigável
76468;@brasil45012867406;Cloridrato de Ciprofloxacino 250 mg comprimido
76469;@brasil57983423980;Candesartana Cilexetila 8 mg comprimido
76470;@brasil67042353101;Alprazolam 0,5 mg comprimido
76471;@brasil77813090498;Cardicoron 100 mg comprimido
76473;@brasil57942115472;Cilostazol 50 mg comprimido
76474;@brasil10647789501;Calcort 30 mg comprimido
76475;@brasil46856724294;Azukon MR 30 mg comprimido de liberação prolongada
76476;@brasil66238891173;Atenolol 25 mg comprimido
76477;@brasil63789137232;Atenolol 25 mg comprimido
76478;@brasil25932073964;Atenolol 25 mg comprimido
76481;@brasil95044091552;Besilato de Anlodipino 5 mg comprimido
76482;@brasil27657570445;Cloridrato de Amitriptilina 75 mg comprimido
76483;@brasil95441539656;Atorvastatina Cálcica 20 mg comprimido
76484;@brasil42041606065;Cloridrato de Bupropiona 150 mg comprimido de liberação prolongada
76485;@brasil26402440111;Clonazepam 2 mg comprimido
76486;@brasil71933762300;Androcur 100 mg comprimido
76487;@brasil47149425662;Cardbet 12,5 mg comprimido
76488;@brasil91640284317;Ácido Mefenâmico 500 mg comprimido
76489;@brasil79548548476;Carvedilol 25 mg comprimido
76491;@brasil59437312518;Cloridrato de Fluoxetina 20 mg comprimido
76492;@brasil59369837227;Amytril 25 mg comprimido
76493;@brasil31330975893;Cloridrato de Ciclobenzaprina 5 mg comprimido
76494;@brasil40535581554;Candoral 200 mg comprimido
76495;@brasil22664274551;Alopurinol 300 mg comprimido
76496;@brasil18948772984;Cloridrato de Donepezila 10 mg comprimido
76498;@brasil77968598644;Atorvastatina Cálcica 20 mg comprimido
76501;@brasil16528788617;Ansitec 5 mg comprimido
76502;@brasil54487637225;Aminofilina 100 mg comprimido
76503;@brasil54923958056;Belscopan 10 mg comprimido
76504;@brasil71020450995;Candesartana Cilexetila 8 mg comprimido
76505;@brasil99480480626;Atorvastatina Cálcica 10 mg comprimido
76506;@brasil82385751353;Captopril 25 mg comprimido
76507;@brasil37493383765;Captopril 25 mg comprimido
76508;@brasil93501310309;Cifloxatil 500 mg comprimido
76509;@brasil83216651697;Cloridrato de Ciclobenzaprina 5 mg comprimido
76510;@brasil19606590535;Ablok 50 mg comprimido
76511;@brasil88754969104;Bissulfato de Clopidogrel 75 mg comprimido
76512;@brasil79223505204;Cimetidina 200 mg comprimido
76513;@brasil70147849814;Captopril 50 mg comprimido
76515;@brasil65249766633;Bromazepam 3 mg comprimido
76516;@brasil20416536473;Amioron 100 mg comprimido
76517;@brasil56865394447;Ciprolip 100 mg comprimido
76518;@brasil64844643103;Cloridrato de Ciclobenzaprina 10 mg comprimido
76519;@brasil29767349800;Axetilcefuroxima 500 mg comprimido
76520;@brasil54862026225;Clonazepam 2 mg comprimido
76522;@brasil10773257906;Capecare 500 mg comprimido
76523;@brasil29746958461;Bissulfato de Clopidogrel 75 mg comprimido
76524;@brasil50277387603;Azitrax 1 g comprimido
76525;@brasil92559493140;Atacand 8 mg comprimido
76526;@brasil78143001170;Amoxicilina 875 mg comprimido
76527;@brasil32468327174;Cadenza 8 mg comprimido
76528;@brasil83749549061;Cloridrato de Bupropiona 150 mg comprimido de liberação prolongada
76530;@brasil62812677940;Alprazolam 0,25 mg comprimido
76531;@brasil75857716321;Captopril 25 mg comprimido
76532;@brasil34200902922;Cipramil 40 mg comprimido
76534;@brasil32575447471;Atlansil 100 mg comprimido
76535;@brasil13993183284;Cloridrato de Ciprofloxacino 250 mg comprimido
76536;@brasil84465296433;Capox 25 mg comprimido
76537;@brasil79580560328;Cinarizina 75 mg comprimido
76538;@brasil26549878970;Besilapin 5 mg comprimido
76539;@brasil77475926523;Alprazolam 0,5 mg comprimido
76541;@brasil29582306786;Amelovas 5 mg comprimido
76542;@brasil76904786386;Axonium 10 mg comprimido
76543;@brasil75375232588;Anafranil SR 75 mg comprimido de liberação prolongada
76544;@brasil49613208374;Clonasun 2 mg comprimido
76545;@brasil65973052558;Candesartana Cilexetila 16 mg comprimido
76546;@brasil88803909538;Atorvastatina Cálcica 20 mg comprimido
76547;@brasil10260707010;Besilato de Anlodipino 5 mg comprimido
76550;@brasil37584014672;Aceclofenaco 100 mg comprimido
76551;@brasil14339282538;Captocord 12,5 mg comprimido
76552;@brasil37735179767;Captopril 12,5 mg comprimido
76553;@brasil78222421130;Ansitec 10 mg comprimido
76554;@brasil48721380808;Cloridrato de Ciclobenzaprina 5 mg comprimido
76555;@brasil43392102706;Aripiprazol 30 mg comprimido
76557;@brasil90070222323;Azitromicina Di-Hidratada 500 mg comprimido
76558;@brasil64571685182;Cloridrato de Memantina 10 mg comprimido
76559;@brasil87444031257;Bissulfato de Clopidogrel 75 mg comprimido
76561;@brasil31970468816;Cipide 100 mg comprimido
76562;@brasil97283871237;Afinitor 5 mg comprimido
76563;@brasil98147658732;Atenolol 100 mg comprimido
76564;@brasil37990443433;Atorvastatina Cálcica 40 mg comprimido
76565;@brasil63505695775;Cloridrato de Ciclobenzaprina 5 mg comprimido
76566;@brasil70668829202;Capecitabina 500 mg comprimido
76567;@brasil83128071137;Aripiprazol 10 mg comprimido
76568;@brasil48573846230;Azitromicina Diidratada 1 g comprimido
76569;@brasil31290975932;Cloridrato de Ciclobenzaprina 5 mg comprimido
76570;@brasil81185317324;Cardicoron 200 mg comprimido
76572;@brasil61961645038;Atorvastatina Cálcica 40 mg comprimido
76573;@brasil74331846098;Captopril 12,5 mg comprimido
76574;@brasil79138738855;Atenolab 100 mg comprimido
76577;@brasil50762418876;Cloridrato de Ciprofloxacino 500 mg comprimido
76578;@brasil99902798871;Bissulfato de Clopidogrel 75 mg comprimido
76580;@brasil63145547286;Alprazolam 1 mg comprimido
76581;@brasil22234090214;Akineton 2 mg comprimido
76582;@brasil62744635946;Carbamazepina 400 mg comprimido
76583;@brasil20494491814;Citalopram 20 mg comprimido
76585;@brasil26347704090;Aortt 25 mg comprimido
76586;@brasil81616820196;Alendronato de Sódio 70 mg comprimido
76587;@brasil82045394708;Atenolol 100 mg comprimido
76588;@brasil77633493400;Besilato de Anlodipino 5 mg comprimido
76589;@brasil78681469487;Ablok 25 mg comprimido
76590;@brasil63463513997;Alergaliv 10 mg comprimido
76591;@brasil66101785970;Cimetidina 400 mg comprimido
76592;@brasil60134154920;Besilapin 10 mg comprimido
76593;@brasil91477464922;Atenol 100 mg comprimido
76594;@brasil23647005533;Clonazepam 2 mg comprimido
76595;@brasil14944439769;Captomido 50 mg comprimido
76596;@brasil41450823878;Cetoconazol 200 mg comprimido
76598;@brasil41091773376;Bipogine 25 mg comprimido
76603;@brasil35749678010;Actos 45 mg comprimido
76604;@brasil60656176129;Cloridrato de Ciprofloxacino 500 mg comprimido
76605;@brasil34225021912;Captopril 25 mg comprimido
76606;@brasil59501823912;Cloridrato de Ciprofloxacino 500 mg comprimido
76607;@brasil65410640283;Alprazolam 2 mg comprimido
76608;@brasil32416112535;Ciprofibrato 100 mg comprimido
76609;@brasil65026778806;Cefalexina 500 mg comprimido
76611;@brasil66663143332;Cetoconazol 200 mg comprimido
76612;@brasil70504012557;Cloridrato de Donepezila 5 mg comprimido
76615;@brasil20567453998;Atenopress 25 mg comprimido
76616;@brasil60341036199;Cetoconazol 200 mg comprimido
76617;@brasil49493377905;Baclofeno 10 mg comprimido
76619;@brasil32022491408;Cloridrato de Fluoxetina 20 mg comprimido
76622;@brasil63880011967;Aripiprazol 10 mg comprimido
76623;@brasil59048996878;Cardix 40 mg comprimido
76626;@brasil30089453531;Cloridrato de Fexofenadina 180 mg comprimido
76628;@brasil58973649106;Carbamazepina 200 mg comprimido
76629;@brasil69562898423;Cloridrato de Amitriptilina 25 mg comprimido
76630;@brasil65810196360;Claudic 50 mg comprimido
76631;@brasil26533395904;Clinfar 10 mg comprimido
76632;@brasil44958429500;Bromazepam 6 mg comprimido
76633;@brasil76846624830;Besilato de Anlodipino 5 mg comprimido
76634;@brasil43473717724;Betina 8 mg comprimido
76635;@brasil36620137629;Aldomet 250 mg comprimido
76636;@brasil90309357109;Carbonato de Lítio 300 mg comprimido
76638;@brasil56785881523;Allurene 2 mg comprimido
76639;@brasil30300980588;Candecor 16 mg comprimido
76640;@brasil87263976678;Amioron 200 mg comprimido
76643;@brasil72721512896;Captotec 12,5 mg comprimido
76644;@brasil60849368965;Carbonato de Lítio 300 mg comprimido
76645;@brasil66009255399;Alprazolam 1 mg comprimido
76646;@brasil79003940912;Alprazolam 0,25 mg comprimido
76647;@brasil80554633377;Bromazepam 6 mg comprimido
76648;@brasil84812594090;Atorvastatina Cálcica 80 mg comprimido
76651;@brasil20851306983;Cimetival 200 mg comprimido
76652;@brasil85721025246;Atorvastatina Cálcica 40 mg comprimido
76653;@brasil91880836282;Champix 1 mg comprimido
76654;@brasil99045851832;Captolab 25 mg comprimido
76655;@brasil65674611144;Amiobal 100 mg comprimido
76656;@brasil90575761173;Aradois 100 mg comprimido
76657;@brasil48237015633;Carvedilol 25 mg comprimido
76658;@brasil71405032565;Azitromicina 500 mg comprimido
76659;@brasil91089845077;Captopril 50 mg comprimido
76660;@brasil40758601145;Laqfa Captopril 25 mg comprimido
76661;@brasil38382699078;Captopril 50 mg comprimido
76662;@brasil76990227736;Atenolol 50 mg comprimido
76663;@brasil95722467313;Atenolol 50 mg comprimido
76664;@brasil20513632689;Cloridrato de Amitriptilina 25 mg comprimido
76665;@brasil28056610238;Alprazolam 1 mg comprimido
76666;@brasil87320940680;Carbital 100 mg comprimido
76667;@brasil35174180893;Bromidrato De Citalopram 20 mg comprimido
76669;@brasil50932818163;Artritec 7,5 mg comprimido
76671;@brasil86606190149;Clopixol 10 mg comprimido
76672;@brasil56866752813;Azitromicina 500 mg comprimido
76673;@brasil43428702048;Alois 10 mg comprimido
76674;@brasil89153121967;Cardilol 25 mg comprimido
76675;@brasil92524306927;Cloridrato de Ciclobenzaprina 5 mg comprimido
76676;@brasil74302925705;Bissulfato de Clopidogrel 75 mg comprimido
76677;@brasil10776225534;Candesartana Cilexetila 16 mg comprimido
76678;@brasil63666564181;Azulix 2 mg comprimido
76680;@brasil39722384066;Bravitan 5 mg comprimido
76681;@brasil57730610865;Cetoconazol 200 mg comprimido
76682;@brasil60123284814;Aripiprazol 15 mg comprimido
76684;@brasil69530722179;Cloridrato de Fexofenadina 180 mg comprimido
76686;@brasil56465177830;Cloridrato de Ciprofloxacino 500 mg comprimido
76687;@brasil79266603224;Betaserc 16 mg comprimido
76688;@brasil97833147012;Cincordil 20 mg comprimido
76689;@brasil29520344960;Captomed 25 mg comprimido
76690;@brasil61801002453;Anastrozol 1 mg comprimido
76691;@brasil26683520849;Captotec 25 mg comprimido
76692;@brasil27468863846;Atenolol 50 mg comprimido
76693;@brasil49629232857;Atenolol 50 mg comprimido
76696;@brasil35944527817;Alprazolam 0,5 mg comprimido
76697;@brasil28610481383;Atenolol 25 mg comprimido
76698;@brasil97982642046;Azitromicina Di-Hidratada 500 mg comprimido
76699;@brasil73526545699;Cloridrato de Ciclobenzaprina 10 mg comprimido
76700;@brasil46555735234;Carvedilol 25 mg comprimido
76701;@brasil33945914578;Captomido 25 mg comprimido
76703;@brasil78665804975;Alprazolam 0,5 mg comprimido
76704;@brasil35383015349;Aciclovir 200 mg comprimido
76705;@brasil92382457064;Captopril 50 mg comprimido
76706;@brasil43794825079;Capotrineo 50 mg comprimido
76709;@brasil10172187100;Cloridrato de Ciclobenzaprina 10 mg comprimido
76710;@brasil30523374964;Bromidrato De Citalopram 20 mg comprimido
76712;@brasil66412665383;Aglitil 30 mg comprimido
76713;@brasil77224907081;Cetomicoss 200 mg comprimido
76714;@brasil95466633295;Aminofilina 200 mg comprimido
76715;@brasil28773422606;Aldomet 500 mg comprimido
76717;@brasil88937568634;Besilato de Anlodipino 5 mg comprimido
76718;@brasil64046668285;Cloridrato de Ciclobenzaprina 10 mg comprimido
76719;@brasil19778975173;Ablok 100 mg comprimido
76720;@brasil76214958018;Aristab 10 mg comprimido
76721;@brasil60930432774;Amiobal 200 mg comprimido
76722;@brasil68408958197;Atorvastatina Cálcica 20 mg comprimido
76723;@brasil89659572093;Arartan 100 mg comprimido
76724;@brasil52043459673;Algy-Flanderil 600 mg comprimido
76725;@brasil18143368119;Ateroma 40 mg comprimido
76727;@brasil84245594294;Capecare 150 mg comprimido
76728;@brasil49923448113;Atorvasterol 40 mg comprimido
76729;@brasil36581602332;Captopril 25 mg comprimido
76730;@brasil59397252994;Befolik 5 mg comprimido
76731;@brasil30719452637;Cloridrato de Ciclobenzaprina 5 mg comprimido
76733;@brasil21850057452;Besilato de Anlodipino 5 mg comprimido
76735;@brasil74773382648;Bromazepam 3 mg comprimido
76737;@brasil94318438790;Atenolol 100 mg comprimido
76738;@brasil87657691819;Cloridrato de Ciprofloxacino 500 mg comprimido
76739;@brasil58144507506;Betina 24 mg comprimido
76743;@brasil73121153397;Alprazolam 2 mg comprimido
76744;@brasil45275461355;Alivium 600 mg comprimido
76746;@brasil32086917228;Cloridrato de Amiodarona 200 mg comprimido
76747;@brasil98002104031;Capecitabina 150 mg comprimido
76748;@brasil70068388400;Bromazepam 6 mg comprimido
76749;@brasil55681696443;Besilato de Anlodipino 10 mg comprimido
76750;@brasil46824622266;Cloridrato de Loperamida 2 mg comprimido
76752;@brasil60143679861;Atenolol 100 mg comprimido
76754;@brasil16003997185;Cloridrato de Fexofenadina 120 mg comprimido
76755;@brasil18990566112;Clinfar 40 mg comprimido
76756;@brasil42857173749;Baclofeno 10 mg comprimido
76757;@brasil53186901485;Ciprix 500 mg comprimido
76758;@brasil42041394747;Cadenza 16 mg comprimido
76759;@brasil19160083406;Atenolol 100 mg comprimido
76760;@brasil54791709305;Agamir 0,25 mg comprimido
76761;@brasil56146487987;Bupium 150 mg comprimido de liberação prolongada
76762;@brasil15565972653;Cebion 2g comprimido efervescente
76763;@brasil46536778415;Alopurinol 300 mg comprimido
76764;@brasil33925349181;Captopril 25 mg comprimido
76765;@brasil40089036489;Bromalex 6 mg comprimido
76766;@brasil65269847501;Cloridrato de Fexofenadina 120 mg comprimido
76767;@brasil91315486046;Aciclovir 200 mg comprimido
76768;@brasil44572088531;Asmapen 100 mg comprimido
76769;@brasil67714438614;Cetoconazol 200 mg comprimido
76770;@brasil91893028686;Clonazepam 2 mg comprimido
76771;@brasil82048718496;Azitromicina 1 g comprimido
76772;@brasil74370291202;Carvedilol 25 mg comprimido
76773;@brasil87769814108;Axetilcefuroxima 500 mg comprimido
76774;@brasil77095922048;Azitromicina 500 mg comprimido
76775;@brasil26831442203;Azitromicina 500 mg comprimido
76776;@brasil95699276617;Atip 25 mg comprimido
76778;@brasil24801417741;Cloridrato de Fexofenadina 120 mg comprimido
76779;@brasil45277625792;Atenolol 50 mg comprimido
76782;@brasil81828560448;Cloridrato de Memantina 10 mg comprimido
76783;@brasil31467901244;Atenolol 100 mg comprimido
76784;@brasil57738952902;Cimelide 100 mg comprimido
76787;@brasil37345738817;Azitromicina 500 mg comprimido
76788;@brasil65426569790;Atorvastatina Cálcica 10 mg comprimido
76789;@brasil83967361760;Clorana 50 mg comprimido
76790;@brasil54307809178;Alopurinol 100 mg comprimido
76791;@brasil97083833065;Aprovel 300 mg comprimido
76792;@brasil18547711774;Ácido Tranexâmico 250 mg comprimido
76793;@brasil70301299245;Aripiprazol 20 mg comprimido
76794;@brasil51513068178;Cloridrato de Ciclobenzaprina 5 mg comprimido
76796;@brasil61526279558;Aciclovir 200 mg comprimido
76797;@brasil49241326247;Betes 4 mg comprimido
76799;@brasil57578779061;Candesartana Cilexetila 16 mg comprimido
76801;@brasil66934324476;Clinfar 80 mg comprimido
76802;@brasil75583441653;Cloridrato de Fexofenadina 180 mg comprimido
76803;@brasil95814506195;Città 20 mg comprimido
76804;@brasil67831879804;Carbamazepina 200 mg comprimido
76806;@brasil81025173707;Cloridrato de Amitriptilina 75 mg comprimido
76807;@brasil98187575072;Besilato de Anlodipino 5 mg comprimido
76808;@brasil68902941950;Angiopril 5 mg comprimido
76809;@brasil21792958578;Alprazolam 2 mg comprimido
76810;@brasil80141425410;Aciclovir 400 mg comprimido
76811;@brasil92889997833;Albendazol 400 mg comprimido mastigável
76813;@brasil85654764104;Alprazolam 1 mg comprimido
76814;@brasil53059567691;Algiflex 200 mg comprimido
76815;@brasil16422288343;Atenolol 100 mg comprimido
76816;@brasil78336734505;Captopril 25 mg comprimido
76817;@brasil72610244784;Cardvita 50 mg comprimido
76818;@brasil31830789929;Candecor 8 mg comprimido
76819;@brasil62654622188;Alendronato de Sódio 70 mg comprimido
76820;@brasil86814019261;Carvedilol 25 mg comprimido
76821;@brasil83572466300;Aciclovir 200 mg comprimido
76823;@brasil46202395170;Amaryl 4 mg comprimido
76824;@brasil14833990493;Alendronato de Sódio 70 mg comprimido
76825;@brasil38114076570;Apraz 0,5 mg comprimido
76826;@brasil75196244659;Apiron 500 mg comprimido
76827;@brasil11348977012;Cefanid 500 mg comprimido
76828;@brasil88215923466;Alprazolam 1 mg comprimido
76829;@brasil64570196890;Carbamazepina 200 mg comprimido
76830;@brasil28267295210;Captopril 25 mg comprimido
76831;@brasil96945166893;Benzol 400 mg comprimido
76832;@brasil69225884418;Azitrolab 1 g comprimido
76834;@brasil98964554262;Agamir 1 mg comprimido
76835;@brasil31843963784;Besflox 500 mg comprimido
76836;@brasil15415232073;Atenolol 50 mg comprimido
76837;@brasil97787887134;Atenolol 100 mg comprimido
76838;@brasil77220865269;Azitromed 500 mg comprimido
76839;@brasil75309760521;Algy-Flanderil 300 mg comprimido
76840;@brasil45649974699;Atepress 50 mg comprimido
76841;@brasil33249264608;Anastrolibbs 1 mg comprimido
76844;@brasil47381197371;Atenolol 100 mg comprimido
76848;@brasil93196306632;Cardizem 30 mg comprimido
76849;@brasil27612146412;Captopril 25 mg comprimido
76850;@brasil54569445202;Azi 1 g comprimido
76851;@brasil31578205296;Alenost 70 mg comprimido
76852;@brasil46864178598;Aripiprazol 15 mg comprimido
76854;@brasil62284774367;Besilato de Anlodipino 10 mg comprimido
76855;@brasil98494620560;Captopril 25 mg comprimido
76857;@brasil44507551916;Bissulfato de Clopidogrel 75 mg comprimido
76860;@brasil72671506430;Atenolol 50 mg comprimido
76862;@brasil43209217818;Ácido Mefenâmico 500 mg comprimido
76863;@brasil59577252240;Azulix 1 mg comprimido
76865;@brasil60854915159;Citalopram 20 mg comprimido
76866;@brasil16604456492;Atensina 0,1 mg comprimido
76867;@brasil73057073714;Cloridrato de Donepezila 10 mg comprimido
76868;@brasil19459062187;Allegra 180 mg comprimido
76869;@brasil78563544957;Aerolin 2 mg comprimido
76871;@brasil96490113169;Aceclofenaco 100 mg comprimido
76872;@brasil80665778955;Captotec 50 mg comprimido
76873;@brasil85497237081;Aripiprazol 20 mg comprimido
76874;@brasil30168094306;Cloridrato de Ciprofloxacino 500 mg comprimido
76875;@brasil19877603568;Alprazolam 0,5 mg comprimido
76876;@brasil53426383784;Cloridrato de Ciprofloxacino 500 mg comprimido
76878;@brasil95121959429;Alprazolam 1 mg comprimido
76880;@brasil20416707262;Cabergolina 0,5 mg comprimido
76881;@brasil92451581236;Atenolol 100 mg comprimido
76882;@brasil95376842640;Besilato de Anlodipino 5 mg comprimido
76884;@brasil43183575475;Carbolim 300 mg comprimido
76885;@brasil44525252012;Bromalex 3 mg comprimido
76886;@brasil46302316180;Aceclofenaco 100 mg comprimido
76887;@brasil90980514421;Betaserc 24 mg comprimido
76888;@brasil65047237255;As-Med 100 mg comprimido
76889;@brasil19812371971;Furp-Captopril 25 mg comprimido
76890;@brasil54808293056;Aciclovir 200 mg comprimido
76895;@brasil27112901451;Azitromicina 500 mg comprimido
76896;@brasil84298422249;Cloridrato de Ciprofloxacino 250 mg comprimido
76898;@brasil36035003482;Cloridrato de Amiodarona 200 mg comprimido
76899;@brasil92973528919;Aciclovir 200 mg comprimido
76900;@brasil74876692880;Citrobion C 2g comprimido efervescente
76901;@brasil66295267575;Amaglyn 2 mg comprimido
76902;@brasil50074277557;Alivpress 5 mg comprimido
76903;@brasil75213867644;Bromazepam 6 mg comprimido
76904;@brasil83196819852;Cinarizina 75 mg comprimido
76905;@brasil19793958830;Ateneum 25 mg comprimido
76907;@brasil60143838905;Captopril 25 mg comprimido
76908;@brasil42775933052;Becarve 12,5 mg comprimido
76909;@brasil13562393564;Atenolol 100 mg comprimido
76910;@brasil64672391896;Atenol 25 mg comprimido
76911;@brasil25109626688;Cilostazol 100 mg comprimido
76912;@brasil21765334018;Clonazepam 2 mg comprimido
76913;@brasil28724918842;Belfaren 50 mg comprimido
76914;@brasil45033420672;Azitromicina 500 mg comprimido
76915;@brasil14836293633;Cansarcor 16 mg comprimido
76916;@brasil16995180064;Azitromicina 500 mg comprimido
76917;@brasil41636714849;Afolic 5 mg comprimido
76918;@brasil89656311126;Candemed 8 mg comprimido
76919;@brasil70087544656;Aldactone 50 mg comprimido
76920;@brasil51953524756;Cloridrato de Donepezila 10 mg comprimido
76921;@brasil13273679728;Cloridrato de Ciprofloxacino 500 mg comprimido
76922;@brasil50833512103;Blopress 16 mg comprimido
76923;@brasil71864030408;Ácido Acetilsalicílico 100 mg comprimido
76924;@brasil75716383776;Benicar 20 mg comprimido
76925;@brasil57758589566;Cloridrato de Ciprofloxacino 500 mg comprimido
76926;@brasil59566329905;Cloridrato de Ciprofloxacino 500 mg comprimido
76928;@brasil42594478748;Amprax 80 mg comprimido
76929;@brasil10721310771;Azitromicina 1 g comprimido
76931;@brasil37320002222;Atip 100 mg comprimido
76932;@brasil23177519254;Betadine 8 mg comprimido
76933;@brasil62830958595;Aceclofenaco 100 mg comprimido
76934;@brasil12458068706;Cardvita 25 mg comprimido
76935;@brasil29342730510;Alprazolam 0,5 mg comprimido
76936;@brasil30981834296;Cloridrato de Amitriptilina 25 mg comprimido
76937;@brasil17906319764;Carvedilol 25 mg comprimido
76938;@brasil85112085351;Aristab 15 mg comprimido
76939;@brasil83678128598;Alprazolam 1 mg comprimido
76940;@brasil78148257013;Benicar 40 mg comprimido
76941;@brasil73793716469;Cloridrato de Ciclobenzaprina 10 mg comprimido
76942;@brasil14500668565;Azitromicina Diidratada 500 mg comprimido
76943;@brasil12022866553;Cetocol 200 mg comprimido
76945;@brasil41440661370;Arimidex 1 mg comprimido
