"co_seq_id";"nu_vpid";"dt_vpiddt";"co_vpidprev";"st_invalid";"co_vtmid";"st_combprodcd";"no_nm";"nu_snomed";"co_basiscd";"dt_nmdt";"no_nmprev";"co_basis_prevcd";"co_nmchangecd";"no_abbrevnm";"st_sug_f";"st_glu_f";"st_pres_f";"st_cfc_free";"co_pres_statcd";"co_non_availcd";"dt_non_availdt";"co_df_indcd";"qt_udfs";"co_udfs_uomcd";"co_unit_dose_uomcd";"st_ftn";"st_horus";"ds_notification";"co_targetcd";"co_atcclscd";"co_anvsclscd";"au_audit_create_datetime";"au_audit_change_datetime";"au_audit_create_username";"au_audit_change_username";"nu_version";"st_registro_ativo";"st_change_approve"
"794727";@brasil17499209601;;;;"790521";;Ácido Tricloroacético 75% solução;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794728";@brasil14448566048;;;;"790521";;Ácido Tricloroacético 80% solução;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794729";@brasil19745201745;;;;"790521";;Ácido Tricloroacético 90% solução;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794730";@brasil6800153176;;;;"289005";;Sulfato de Zinco 2 mg/0.5 mL solução oral;"0";;;;;;;;;;;"6525";;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794731";@brasil17665949543;;;;"289005";;Sulfato de Zinco 4mg;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794732";@brasil1230439903;;;;"11846";;Teofilina 200 mg cápsula;"0";"21";;;;;;;;;;"6525";;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794733";@brasil17946228399;;;;"43127";;Teicoplanina 200mg;;;;;;;;;;;;"6525";;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;APPROVED
"794734";@brasil13164696275;;;;"43114";;Somatropina 24UI pó e diluente  para solução para injeção;frasco-ampola;"0";"21";;;;;;;;;;"6525";;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1701957162";;"65";;ACTIVE
"794735";@brasil11984796487;;;;"43114";;Somatropina 8 unidades internacionais;"0";;;;;;;;;;;"6525";;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794736";@brasil10429893917;;;;"790522";;Álcool Etílico 70% Solução;"0";;;;;;;;;;;;;;;"1000,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794737";@brasil16195080433;;;;"790522";;Álcool Etílico 70% Gel;"0";;;;;;;;;;;;;;;"1000,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794738";@brasil19685720724;;;;"790522";;Álcool Etílico 99% Solução;"0";;;;;;;;;;;;;;;"1000,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794739";@brasil19843362632;;;;"11239";;Ácido Nalidíxico 50mg Suspensão Oral;;;;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;INACTIVE;APPROVED
"794740";@brasil10159651300;;;;"43038";;Nitrato de Prata 5g Bastão;"0";;;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794741";@brasil0375863163;;;;"11285";;Arginina 0.25 mg/1 mL xarope;"0";;;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794743";@brasil55101;;;;"790549";;Ácidos graxos essenciais solução;;;;;;;;;;;;"6525";;;;"1000,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;INACTIVE;APPROVED
"794762";@brasil55101;;;;"790537";;Benjoim 20% Tintura;"0";;;;;;;;;;;;;;;"1000,000";"464705";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794764";@brasil55101;;;;"42770";;Bicarbonato de sódio envelope;"0";;;;;;;;;;;;;;;"1000,000";"11211";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";;"1";;ACTIVE;PENDING
"794767";@brasil7959404181;;;;"790555";;Vacina febre amarela;"0";"21";;;;;;;;;;"6525";;;"47";"1000,000";"11170";;;;;"217";;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"2";"1";;ACTIVE;PENDING
"794768";@brasil4357291960;;;;"11287";;Aripiprazol 1 mg/1 mL suspensão oral;"0";"21";;;;;;;;;;;;;"48";"1,000";"11178";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794769";@brasil0483306879;;;;"790568";;Apalutamida 60mg Comprimido revestido;;"21";;;;;;;;;;;;;"47";"60,000";"11178";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;APPROVED
"794770";@brasil6213601435;;;;"11287";;Aripiprazol 20 mg/1 mL suspensão oral;"0";"21";;;;;;;;;;;;;"48";"20,000";"11178";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794771";@brasil8139694672;;;;"288710";;Articaína 40 mg/1.8 mL + Epinefrina 10 ng/1.8 mL solução para injeção;"0";"21";;;;;;;;;;;;;"47";"1,000";"11210";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"65";;INACTIVE;PENDING
"794772";@brasil1149681056;;;;"288710";;Epinefrina 9ng/1.8mL + Cloridrato de Articaína 72mg/1.8mL solução para injeção;carpule;;"21";;;;;;;;;;;;;"47";"1,000";"11210";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1698672549";"65";"65";;ACTIVE
"794773";@brasil3676115453;;;;"11298";;Azitromicina 40 mg/1 mL pó para suspensão oral;"0";;;;;;;;;;;;;;"48";"40,000";"11178";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794774";@brasil8270757894;;;;"790569";;Avelumabe 200 mg/10 mL solução para infusão;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1689360377";"65";"1";;ACTIVE
"794782";@brasil1550367893;;;;"790575";;Brexpiprazol 0.5 mg comprimido revestido;"0";"14";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794783";@brasil9008513363;;;;"790575";;Brexpiprazol 2 mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794784";@brasil3387758687;;;;"790575";;Brexpiprazol 3 mg comprimido revestido;"0";"14";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794785";@brasil1247014162;;;;"790576";;Brigatinibe 90 mg comprimido revestido;"0";"14";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794786";@brasil9670414431;;;;"288937";;olodaterol 2.5micrograma + tiotrópio 2.5micrograma Solução para inalação;;"21";;;;;;;;;;;;;"47";"1,000";"464702";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;APPROVED
"794787";@brasil4009759888;;;;"790577";;Burosumabe 10 mg/1 mL solução para injeção;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1689360377";"65";"1";;ACTIVE
"794788";@brasil6982722408;;;;"790577";;Burosumabe 20 mg/1 mL solução para injeção;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1689360377";"65";"1";;ACTIVE
"794789";@brasil3881547066;;;;"790577";;Burosumabe 30 mg/1 mL solução para injeção;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1689360377";"65";"1";;ACTIVE
"794790";@brasil3917010234;;;;"42782";;Cabazitaxel 40mg/1mL solução e diluente para injeção;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1697022446";"65";"65";;ACTIVE
"794791";@brasil0636561059;;;;"11340";;Capecitabina 500 mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794792";@brasil4602702118;;;;"11340";;Capecitabina 150 mg comprimido revestido;"0";"21";;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794793";@brasil7514371844;;;;"790543";;Carvão vegetal ativado 250mg comprimido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794794";@brasilXXXXXXXX;;;;"11378";;Citrato de Potássio 1620 mg (15 mEq) comprimido de liberação prolongada;"0";"21";;;;;;;;;;;;;"47";"1,000";"464722";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794795";@brasil9566513142;;;;"790578";;Glicinato de Cálcio 250mg pó para suspensão oral;;"21";;;;;;;;;;;;;"47";"1,000";"464714";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"65";;ACTIVE;PENDING
"794796";@brasil3313044190;;;;"11404";;Colecalciferol 1.000 UI comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794797";@brasil7137842292;;;;"11404";;Colecalciferol 10.000 UI cápsula mole;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794798";@brasil7554019539;;;;"11404";;Colecalciferol 14.000 UI cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794799";@brasil9403030587;;;;"11404";;Colecalciferol 15.000 UI cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794800";@brasil8324670955;;;;"11404";;Colecalciferol 2.000 UI cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794801";@brasil6076703071;;;;"11404";;Colecalciferol 5.000 UI cápsula mole;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794802";@brasil1826642895;;;;"11404";;Colecalciferol 10.000UI/1mL solução oral;;"21";;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"65";;ACTIVE;PENDING
"794803";@brasilXXXXXXXX;;;;"11404";;Colecalciferol 14.000UI/1mL solução oral;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794804";@brasilXXXXXXXX;;;;"11404";;Colecalciferol 4.000 UI cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794805";@brasilXXXXXXXX;;;;"11404";;Colecalciferol 60.000UI cápsula mole;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794806";@brasil7386984865;;;;"11404";;Colecalciferol 1000 UI/1 mL solução oral;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794807";@brasil3298309885;;;;"11373";;Ciprofloxacino 3.5mg/1mL solução oftálmica;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794808";@brasil6295830780;;;;"790568";;Apalutamida 60mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794809";@brasil7674969297;;;;"790571";;Beclometasona 100 micrograma + Brometo de Glicopirrônio 12.5 micrograma + Formoterol 6 micrograma solução aerossol;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794810";@brasil9962655399;;;;"790598";;Brometo de Tiotrópio 2.5micrograma + Cloridrato de Olodaterol 2.5micrograma solução para inalação;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794811";@brasil1376699763;;;;"790578";;Preencha o(s) ingrediente(s), princípio ativo e forma;;;;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"65";;INACTIVE;APPROVED
"794812";@brasil7373126179;;;;"42814";;Ciprofloxacino 3.5mg/1g + Dexametasona 1mg/1g pomada oftálmica;;"21";;;;;;;;;;;;;"48";"1,000";"464712";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"65";;ACTIVE;PENDING
"794813";@brasil2381035556;;;;"790599";;Abemaciclibe 150mg comprimido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794814";@brasil4644385402;;;;"790600";;Acalabrutinibe 100mg cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794815";@brasil4601326765;;;;"790601";;Acetato de Cálcio 500mg comprimido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794816";@brasil7442977840;;;;"790601";;Acetato de Cálcio 667mg comprimido;"0";"21";;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794817";@brasil6678513584;;;;"11230";;Ácido Ascórbico 1000mg comprimido efervescente;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794818";@brasil3908179027;;;;"11230";;Ácido Ascórbico 1.500mg cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794819";@brasil8948980791;;;;"11232";;Ácido Fólico 1mg/1mL solução oral;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794820";@brasil3431289299;;;;"11232";;Ácido Fólico 400 micrograma cápsula mole;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794821";@brasil0434864252;;;;"42693";;Ácido Folínico 5mg/5mL solução oral;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794822";@brasil3776644049;;;;"11236";;Ácido Ibandrônico 150mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"65";;INACTIVE;PENDING
"794823";@brasil3384018429;;;;"11241";;Ácido Tióctico 600mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794824";@brasil9966647184;;;;"288654";;Clopidogrel 75mg + Ácido Acetilsalicílico 100mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794825";@brasil9921780598;;;;"11230";;Ácido Ascórbico 500 mg comprimido efervescente;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794826";@brasil6474926877;;;;"288659";;Arginina 500 mg + Ácido Ascórbico 500 mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794827";@brasil0794953660;;;;"288667";;Ácido Fólico 5 mg cápsula;;"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;APPROVED
"794828";@brasil1386016399;;;;"65358";;Adalimumabe 20 mg/0.2 mL solução para injeção;"0";"21";;;;;;;;;;;;;"47";"1,000";"464717";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794829";@brasil0074962482;;;;"65358";;Adalimumabe 80 mg/0.8 mL solução para injeção;"0";"21";;;;;;;;;;;;;"47";"1,000";"464717";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794830";@brasil8907972073;;;;"11247";;Aesculus Hippocastanum 100 mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794831";@brasil8749554526;;;;"11247";;Aesculus Hippocastanum 500 mg cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794832";@brasil1133611257;;;;"790602";;Alectinibe 150 mg cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794833";@brasil0372752106;;;;"790532";;Alendronato de Sódio Tri-Hidratado 70 mg comprimido revestido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794834";@brasil6356308174;;;;"288667";;Bisglicinato Ferroso 150 mg + Ácido Fólico 5 mg cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794835";@brasil3417783192;;;;"11285";;Arginina 250 mg/1 mL xarope;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794836";@brasil2460224235;;;;"790603";;Atezolizumabe 1200 mg/20 mL solução para injeção;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1689360377";"65";"1";;ACTIVE
"794837";@brasil7581040420;;;;"11298";;Azitromicina 250 mg comprimido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794838";@brasil1571566940;;;;"11300";;Bamifilina 300 mg drágea;"0";"21";;;;;;;;;;;;;"47";"1,000";"464713";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794839";@brasil5215731489;;;;"11300";;Bamifilina 600 mg drágea;"0";"21";;;;;;;;;;;;;;;;;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794840";@brasil9311805195;;;;"11301";;Beclometasona 250 micrograma solução spray;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794841";@brasil1391180572;;;;"790605";;Bedaquilina 100 mg comprimido;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794842";@brasil7454568657;;;;"42748";;Benfotiamina 150 mg drágea;"0";"21";;;;;;;;;;;;;"47";"1,000";"464713";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794843";@brasil0574517136;;;;"42753";;Benzilpenicilina Potássica 1.2000000 UI/2 mL solução para injeção;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1689360377";"65";"1";;ACTIVE
"794844";@brasil6166567099;;;;"42756";;Benzoato de Sódio 200 mg/1 mL solução oral;"0";"21";;;;;;;;;;;;;"48";"1,000";"11192";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794845";@brasil5521060540;;;;"42763";;Betainterferona 1a 30 micrograma/0.5 mL solução para injeção;"0";"21";;;;;;;;;;;;;"47";"1,000";"464717";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794846";@brasil3570465401;;;;"42763";;Betainterferona 1a 44 micrograma/0.5 mL solução para injeção;"0";"21";;;;;;;;;;;;;"47";"1,000";"464717";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794847";@brasil2431289874;;;;"11231";;Ácido Ascórbico 1000 mg + Citrato de Zinco 20 mg cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794848";@brasil7002589162;;;;"11249";;Albendazol 200 mg comprimido mastigável;"0";"21";;;;;;;;;;;;;"47";"1,000";"11207";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794849";@brasil8864277925;;;;"790554";;Alfavestronidase 10 mg/5 mL solução para injeção;frasco-ampola;"0";"21";;;;;;;;;;;;;"47";"1,000";"11208";;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"1689360377";"65";"1";;ACTIVE
"794850";@brasil5498118157;;;;"288733";;Biotina 10 mg cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
"794851";@brasil3110098811;;;;"288733";;Biotina 5 mg cápsula;"0";"21";;;;;;;;;;;;;"47";"1,000";"11193";;;;;;;;"2017-02-08 15:31:42";"2017-02-08 15:31:42";"65";"1";;ACTIVE;PENDING
