CATMAT;Name;RENAME;COMPONENTE
BR0278283U0042;ACETAZOLAMIDA 250 MG COMP GRUPO 2 ;TRUE;ESPECIALIZADO
BR0278283U0042;ACETAZOLAMIDA 250 MG COMPRIMIDO ELENCO ESTADUAL ;TRUE;BASICO
BR0393493;ACETILCISTEÍNA + TUAMINOEPTANO 10 MG + 5 MG/ML SOLUÇÃO NASAL;FALSE;OUTRO
BR0286864;ACETILCISTEÍNA 100 MG GRANULADO 5 G;FALSE;OUTRO
BR0335091;ACETILCISTEÍNA 100 MG/ML  SOLUÇÃO INJETÁVEL 3 ML ELENCO ESTADUAL ;FALSE;OUTRO
BR0270558-2;ACETILCISTEÍNA 20 MG/ML XAROPE  100 ML;FALSE;OUTRO
BR0270558-3;ACETILCISTEÍNA 20 MG/ML XAROPE  120 ML;FALSE;OUTRO
BR0270558-1;ACETILCISTEÍNA 20 MG/ML XAROPE  80 ML;FALSE;OUTRO
BR0270557;ACETILCISTEÍNA 200 MG GRANULADO 5 G;FALSE;OUTRO
BR0355786;ACETILCISTEÍNA 40 MG/ML XAROPE  100 ML;FALSE;OUTRO
BR0355786-1;ACETILCISTEÍNA 40 MG/ML XAROPE  120;FALSE;OUTRO
BR0356952;ACETILCISTEÍNA 600 MG COMPRIMIDO EFERVESCENTE;FALSE;OUTRO
BR0274806;ACETILCISTEÍNA 600 MG GRANULADO 5 G;FALSE;BASICO
BR0268370U0042;ACICLOVIR 200 MG COMPRIMIDO ELENCO ESTADUAL ;TRUE;BASICO
BR0268374U0118;ACICLOVIR 250 MG PÓ PARA SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;TRUE;BASICO
BR0268373;ACICLOVIR 30 MG/G OFTÁLMICA POMADA 4,5 G;FALSE;OUTRO
BR0268372;ACICLOVIR 400 MG COMPRIMIDO;FALSE;OUTRO
BR0268375U0015;ACICLOVIR 5 % CREME  10 G;TRUE;BASICO
BR0268375U0017;ACICLOVIR 5 % CREME  15 G;TRUE;BASICO
BR0268375U0233;ACICLOVIR 5 % CREME  5 G;TRUE;BASICO
BR0309045;ACIDO AMINOCAPRÓICO 200 MG/ML SUSPENSÃO INJETÁVEL 20 ML;FALSE;OUTRO
BR0278646;ACIDO AMINOCAPRÓICO 50 MG/ML SUSPENSÃO INJETÁVEL 20 ML;FALSE;OUTRO
BR0277311U0042;ACIDO AMINOCAPRÓICO 500MG COMPRIMIDO;FALSE;OUTRO
BR0480352;ACIDO AZELAICO 150 MG/G GEL 30 G;FALSE;BASICO
BR0377422;ACIDO FUSIDICO + BETAMETASONA 20 MG + 1 MG/G CREME  15 G;TRUE;BASICO
BR0374313U0237;ACIDO PARA-AMINOSALICILICO 4G GRANULADO 4 G;TRUE;ESTRATEGICO
BR0308719U0041;ACITRETINA 10 MG CAP GRUPO 1.B ;TRUE;ESPECIALIZADO
BR038719;ACITRETINA 10 MG CÁPSULA ;FALSE;OUTRO
BR0308718U0041;ACITRETINA 25 MG CAP GRUPO 1.B ;TRUE;ESPECIALIZADO
BR0308718;ACITRETINA 25 MG CÁPSULA ;FALSE;OUTRO
BR0290058U0135B0127;ADALIMUMABE (BIOSSIMILAR A) 40 MG/ML SOL INJ (SER PREENC) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0290058U0135B0135;ADALIMUMABE (BIOSSIMILAR B) 40 MG/ML SOL INJ (SER PREENC) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0466096;ADALIMUMABE 20 MG SOLUÇÃO INJETÁVEL;FALSE;OUTRO
BR0290058U0118;ADALIMUMABE 40 MG/ML SOL INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0290058U0135;ADALIMUMABE 40 MG/ML SOL INJ (SER PREENC) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0290058;ADALIMUMABE 40 MG/ML SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;TRUE;BASICO
BR0466095;ADALIMUMABE 80 MG SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;FALSE;BASICO
BR0389710;ADAPALENO 3 MG/G GEL 30 G;FALSE;OUTRO
BR0280205E;ADEFOVIR 10 MG COMP GRUPO 1.A;FALSE;ESPECIALIZADO
BR0280505;ADEFOVIR 10 MG COMPRIMIDO ELENCO ESTADUAL ;TRUE;OUTRO
BR0278281;ADENOSINA, FOSFATO 3 MG/ML SOLUÇÃO INJETÁVEL 2 ML;FALSE;OUTRO
BR0309062U0042;AESCULUS HIPPOCASTANUM L. (CASTANHA DA ÍNDIA) 100 MG COMPRIMIDO;FALSE;OUTRO
BR0309062;AESCULUS HIPPOCASTANUM L. (CASTANHA DA ÍNDIA) 100 MG CÁPSULA ;FALSE;OUTRO
BR0309063;AESCULUS HIPPOCASTANUM L. (CASTANHA DA ÍNDIA) 300 MG CÁPSULA ;FALSE;OUTRO
BR0443374U0041;AESCULUS HIPPOCASTANUM L. (CASTANHA DA ÍNDIA) 500MG CÁPSULA ;FALSE;OUTRO
BR0440056;AFATINIBE DIMALEATO 40 MG COMPRIMIDO;FALSE;OUTRO
BR0430315;AFLIBERCEPT  40 MG/ML SOLUÇÃO INJETÁVEL 0,278  ML;FALSE;OUTRO
BR0435951;AFLIBERCEPTE 40 MG/ML SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;FALSE;BASICO
BR0397912;AGOMELATINA 25 MG COMPRIMIDO;FALSE;OUTRO
BR0432315;"ALANTOINA, ALOE VERA, ÁCIDOS GRAXOS ESSENCIAIS, VITAMINA ""A"" E ""E"" GEL CREME 100 G";FALSE;BASICO
BR0269628;ALBENDAZOL 200 MG COMPRIMIDO;FALSE;OUTRO
BR0267507U0063;ALBENDAZOL 40 MG/ML SUSPENSÃO ORAL  10 ML;TRUE;BASICO
BR0440862U0086;ALBENDAZOL 40 MG/ML SUSPENSÃO ORAL  20 ML;TRUE;BASICO
BR0267506U0042;ALBENDAZOL 400 MG COMPRIMIDO MASTIGÁVEL;TRUE;BASICO
BR0428786;ALBUMINA HUMANA 10 % SOLUÇÃO INJETÁVEL  50 ML;TRUE;BASICO
BR0268377;ALBUMINA HUMANA 20 % SOL INJ (FR-AMP) COM EQUIPO 50 ML;FALSE;OUTRO
BR0268376;ALBUMINA HUMANA 20 % SOLUÇÃO INJETÁVEL 50 ML;FALSE;BASICO
BR0449017;ALCAFTADINA 2,5 MG/ML SOLUÇÃO OFTÁLMICA 3 ML;FALSE;OUTRO
BR0395837U0018;ALCATRÃO MINERAL 1% POMADA;TRUE;BASICO
BR0458500;ALECTINIBE 150 MG CÁPSULA ;FALSE;OUTRO
BR0308721U0042;ALENDRONATO DE SÓDIO  10 MG COMPRIMIDO;TRUE;BASICO
BR0269462U0042;ALENDRONATO DE SÓDIO  70 MG COMPRIMIDO;TRUE;BASICO
BR0415213;ALENDRONATO DE SÓDIO + CARBONATO DE CÁLCIO + COLECALCIFEROL 70 MG + 500 MG + 200 UI COMPRIMIDO;FALSE;BASICO
BR0383791;ALENDRONATO DE SÓDIO + COLECALCIFEROL 70 MG + 2.800 UI COMPRIMIDO;FALSE;OUTRO
BR0413882;ALENDRONATO DE SÓDIO + COLECALCIFEROL 70 MG + 5.600 UI COMPRIMIDO;FALSE;OUTRO
BR0388865U0118;ALENTUZUMABE 10 MG/ML SOL INJ (FR-AMP) 1,2 ML GRUPO 1.A;TRUE;ESPECIALIZADO
BR0388865;ALENTUZUMABE 10MG/ML AMP 1,2ML;TRUE;OUTRO
BR0388866;ALENTUZUMABE 30 MG/ML SOLUÇÃO INJETÁVEL 1 ML;TRUE;OUTRO
BR0370560;ALFA-1 ANTITRIPSINA (AAT) 20 MG/ML SOLUÇÃO INJETÁVEL 50 ML ELENCO ESTADUAL ;TRUE;OUTRO
BR0359903;ALFA-ALGLICOSIDASE 50 MG PÓ LIOF INJ (FR-AMP);TRUE;OUTRO
BR0359903U0118;ALFA-ALGLICOSIDASE 50 MG PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL GRUPO 1.A;TRUE;ESPECIALIZADO
BR0292400U0041;ALFACALCIDOL 0,25 MCG CAP GRUPO 2 ;TRUE;ESPECIALIZADO
BR0292401U0041;ALFACALCIDOL 1 MCG CAP GRUPO 2 ;TRUE;ESPECIALIZADO
BR0292401;ALFACALCIDOL 1 MCG CÁPSULA ;TRUE;OUTRO
BR0272787;ALFADORNASE 1 MG/ML SOLUÇÃO PARA INALAÇÃO 2,5 ML;TRUE;OUTRO
BR0272787U0006;ALFADORNASE 2,5 MG AMP GRUPO 1.A;TRUE;ESPECIALIZADO
BR0428790U0106;ALFAELOSULFASE 1 MG/ML SOL INJ (FR) 5 ML GRUPO 1.A;TRUE;ESPECIALIZADO
BR0266627U0118;ALFAEPOETINA 1.000 UI SOL INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0266630U0118;ALFAEPOETINA 10.000 UI SOL INJ OU PÓ LIOF INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0266630;ALFAEPOETINA 10.000 UI SOLUÇÃO INJETÁVEL 1 ML ELENCO ESTADUAL ;TRUE;BASICO
BR0266627;ALFAEPOETINA 1000 UI SOLUÇÃO INJETÁVEL 1 ML;TRUE;OUTRO
BR0266628U0118;ALFAEPOETINA 2.000 UI SOL INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0266628;ALFAEPOETINA 2.000 UI SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;TRUE;OUTRO
BR0465318U0118;ALFAEPOETINA 3.000 UI PÓ LIOF INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0406520U0118;ALFAEPOETINA 3.000 UI SOL INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0267079;ALFAEPOETINA 3.000 UI SOLUÇÃO INJETÁVEL 1 ML;TRUE;OUTRO
BR0266629U0118;ALFAEPOETINA 4.000 UI SOL INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0266629;ALFAEPOETINA 4.000 UI SOLUÇÃO INJETÁVEL 1 ML ELENCO ESTADUAL ;TRUE;BASICO
BR0294774;ALFAEPOETINA 40000 UI SERINGA 1 ML SOLUÇÃO INJETÁVEL COM SISTEMA DE APLICAÇÃO;TRUE;OUTRO
BR0436508;ALFAESTRADIOL 0,25 MG SOLUÇÃO 100 ML;TRUE;OUTRO
BR0266762-1;ALFAINTERFERONA 2A 3.000.000 UI  SOLUÇÃO INJETÁVEL COM SISTEMA DE APLICAÇÃO 0,5 ML;TRUE;OUTRO
BR0266766U0118;ALFAINTERFERONA 2B 10.000.000 UI PÓ LIOF INJ (FR-AMP) GRUPO 1.B ;TRUE;ESPECIALIZADO
BR0266766;ALFAINTERFERONA 2B 10.000.000 UI PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL;TRUE;OUTRO
BR0266767U0118;ALFAINTERFERONA 2B 3.000.000 UI PÓ LIOF INJ (FR-AMP) GRUPO 1.B ;TRUE;ESPECIALIZADO
BR0266767;ALFAINTERFERONA 2B 3.000.000 UI PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;TRUE;BASICO
BR0266765U0118;ALFAINTERFERONA 2B 5.000.000 UI PÓ LIOF INJ (FR-AMP) GRUPO 1.B ;TRUE;ESPECIALIZADO
BR0266765;ALFAINTERFERONA 2B 5.000.000 UI PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL;TRUE;OUTRO
BR0322033;ALFALUTROPINA 75 UI PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL;TRUE;OUTRO
BR0267470U0118;ALFAPEGINTERFERONA 2A 180 MCG SOL INJ (FR-AMP);TRUE;ESTRATEGICO
BR0267470;ALFAPEGINTERFERONA 2A 180 MCG SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;TRUE;BASICO
BR0267473U0118;ALFAPEGINTERFERONA 2B 100 MCG PÓ LIOF INJ (FR-AMP);TRUE;ESTRATEGICO
BR0267473;ALFAPEGINTERFERONA 2B 100 MCG PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;TRUE;OUTRO
BR0267471U0118;ALFAPEGINTERFERONA 2B 120 MCG PÓ LIOF INJ (FR-AMP);TRUE;ESTRATEGICO
BR0267471;ALFAPEGINTERFERONA 2B 120 MCG PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL ELENCO ESTADUAL ;TRUE;OUTRO
BR0267472U0118;ALFAPEGINTERFERONA 2B 80 MCG PÓ LIOF INJ (FR-AMP);TRUE;ESTRATEGICO
BR0267472;ALFAPEGINTERFERONA 2B 80 MCG PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL 1 ML ELENCO ESTADUAL ;TRUE;OUTRO
BR0391336U0118;ALFATALIGLICERASE 200 UI PÓ LIOF INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0276959;ALFATIROTROPINA (TIROTROFINA) 1,1 MG PÓ LIOF INJ (FR-AMP) 1,2 ML;TRUE;OUTRO
BR0329610;ALFATOCOFEROL (VITAMINA E) 400 MG CÁPSULA  ELENCO ESTADUAL ;TRUE;BASICO
BR0394677U0118;ALFAVELAGLICERASE 200 U PÓ LIOF INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0394678U0118;ALFAVELAGLICERASE 400 U PÓ LIOF INJ (FR-AMP) GRUPO 1.A;TRUE;ESPECIALIZADO
BR0451638U0106;ALFAVESTRONIDASE 2 MG/ML SOLUÇÃO INJETÁVEL 5 ML GRUPO 1.A;TRUE;ESPECIALIZADO
BR0268378U0004;ALFENTANILA 0,544  MG/ML SOLUÇÃO INJETÁVEL 10 ML;TRUE;OUTRO
BR0268378;ALFENTANILA 0,544 MG/ML SOLUÇÃO INJETÁVEL 5 ML;TRUE;OUTRO
BR0306687;ALFUZOSINA 10 MG COMPRIMIDO DE LIBERAÇÃO PROLONGADA;TRUE;BASICO
BR0295605;ALGESTONA ACETOFENIDA + ESTRADIOL, ENANTATO 150 MG + 10 MG/ML SOLUÇÃO INJETÁVEL 1 ML;TRUE;OUTRO
BR0435176;ALGINATO DE SODIO + BICARBONATO DE POTASSIO 100 + 20 MG/ML SOL ORAL (FR) 150 ML;TRUE;OUTRO
BR0440071;ALIROCUMABE 75MG/ML SOLUÇÃO INJETÁVEL;TRUE;OUTRO
BR0415778;ALISQUIRENO, HEMIFUMARATO + HIDROCLOROTIAZIDA 150 MG + 12,5 MG COMPRIMIDO;TRUE;OUTRO
BR0406602;ALISQUIRENO, HEMIFUMARATO + HIDROCLOROTIAZIDA 300 MG + 12,5 MG COMPRIMIDO;TRUE;OUTRO
BR0366883;ALISQUIRENO, HEMIFUMARATO 150 MG COMPRIMIDO;TRUE;OUTRO
BR0366884;ALISQUIRENO, HEMIFUMARATO 300 MG COMPRIMIDO;TRUE;OUTRO
BR0365246;ALOE VERA (BABOSA) 10 % CREME ;TRUE;OUTRO
BR0451597U0023;ALOE VERA (BABOSA) 10 % GEL 30 G;TRUE;BASICO
BR0451597;ALOE VERA (BABOSA) 25 % GEL 10 G;TRUE;OUTRO
BR0395847;ALOE VERA (BABOSA) 50 MG/G CREME  30 G;TRUE;OUTRO
BR0395847U0031;ALOE VERA 50MG/G BISNAGA 80G;TRUE;OUTRO
BR0445952;ALOGLIPTINA + PIOGLITAZONA 25 + 15 MG COMP REV;TRUE;OUTRO
BR0445954;ALOGLIPTINA + PIOGLITAZONA 25 + 30 MG COMP REV;TRUE;BASICO
BR0267508U0042;ALOPURINOL 100 MG COMPRIMIDO;TRUE;BASICO
BR0267509U0042;ALOPURINOL 300 MG COMPRIMIDO;TRUE;BASICO
BR0271358;ALPRAZOLAM 0,25 MG COMPRIMIDO;TRUE;OUTRO
BR0271357;ALPRAZOLAM 0,5 MG COMPRIMIDO;TRUE;OUTRO
BR0271357-1;ALPRAZOLAM 0,5 MG COMPRIMIDO DE LIBERAÇÃO PROLONGADA;TRUE;OUTRO
BR0271356;ALPRAZOLAM 1 MG COMPRIMIDO;TRUE;BASICO
BR0284465;ALPRAZOLAM 2 MG COMPRIMIDO;TRUE;OUTRO
BR0284465-1;ALPRAZOLAM 2 MG CÁPSULA DURA DE LIBERAÇÃO PROLONGADA;TRUE;BASICO
BR0448159U0042;ALPRAZOLAM LIBERAÇÃO LENTA 1 MG COMP;TRUE;OUTRO
BR0268380;ALPROSTADIL 20 MCG/ML SOLUÇÃO INJETÁVEL 1 ML;TRUE;OUTRO
BR0333142;ALPROSTADIL 500 MCG/ML SOLUÇÃO INJETÁVEL 1 ML;TRUE;OUTRO
 BR0436416;ALTEPLASE 10 MG PÓ LIOF INJ (FR-AMP) 10 ML;TRUE;OUTRO
BR0275422;ALTEPLASE 20 MG/ML SOL INJ (FR-AMP) 20 ML;TRUE;BASICO
BR0275423;ALTEPLASE 50 MG PÓ PARA SOLUÇÃO INJETÁVEL;TRUE;OUTRO
BR0268079U0042;AMANTADINA 100 MG COMP GRUPO 1.B ;TRUE;ESPECIALIZADO
BR0268079;AMANTADINA 100 MG COMPRIMIDO ELENCO ESTADUAL ;TRUE;BASICO
BR0404656U0042;AMBRISENTANA 10 MG COMP REV GRUPO 1.B ;TRUE;ESPECIALIZADO
BR0404656;AMBRISENTANA 10MG COMP;TRUE;OUTRO
BR0404655U0042;AMBRISENTANA 5 MG COMP REV GRUPO 1.B ;TRUE;ESPECIALIZADO
BR0404655;AMBRISENTANA 5 MG COMPRIMIDO;TRUE;OUTRO
BR0271660-1;AMBROXOL, CLORIDRATO 3 MG/ML XAROPE  100 ML;TRUE;OUTRO
BR0271660-2;AMBROXOL, CLORIDRATO 3 MG/ML XAROPE  120;TRUE;OUTRO
BR0271659-1;AMBROXOL, CLORIDRATO 6 MG/ML XAROPE  100 ML;TRUE;BASICO
BR0271659-2;AMBROXOL, CLORIDRATO 6 MG/ML XAROPE  120 ML;TRUE;BASICO
BR0271661-1;AMBROXOL, CLORIDRATO 7,5 MG/ML SOLUÇÃO ORAL 50 ML;TRUE;OUTRO
BR0271661-2;AMBROXOL, CLORIDRATO 7,5 MG/ML SOLUÇÃO ORAL 60 ML;TRUE;OUTRO
BR0437387;AMBURANA CEARENSIS (CUMARU) 5 % XAROPE  100 ML;TRUE;OUTRO
BR0268382-2;AMICACINA, SULFATO 125 MG/ML SOLUÇÃO INJETÁVEL 2 ML;TRUE;OUTRO
BR0268381U0009;AMICACINA, SULFATO 250 MG/ ML SOLUÇÃO INJETÁVEL 2 ML ELENCO ESTADUAL ;TRUE;ESTRATEGICO
BR0268381U0005;AMICACINA, SULFATO 250 MG/ML SOLUÇÃO INJETÁVEL 1 ML ELENCO ESTADUAL ;TRUE;ESTRATEGICO
BR0268383;AMICACINA, SULFATO 50 MG/ML SOLUÇÃO INJETÁVEL 2 ML ELENCO ESTADUAL ;TRUE;OUTRO
BR0327802;AMILORIDA, CLORIDRATO + CLORTALIDONA 5 MG+ 25 MG COMPRIMIDO;TRUE;OUTRO
BR0271165;AMILORIDA, CLORIDRATO + HIDROCLOROTIAZIDA 2,5  MG + 25 MG COMPRIMIDO;TRUE;OUTRO
BR0271162;AMILORIDA, CLORIDRATO + HIDROCLOROTIAZIDA 5  MG+ 50 MG COMPRIMIDO;TRUE;OUTRO
BR0396087;AMINAFTONA 75 MG COMPRIMIDO;FALSE;OUTRO
BR0267511;AMINOFILINA 100 MG COMPRIMIDO;FALSE;OUTRO
BR0269810;AMINOFILINA 200 MG COMPRIMIDO;FALSE;OUTRO
BR0292402;AMINOFILINA 24 MG/ML SOLUÇÃO INJETÁVEL 10 ML;FALSE;OUTRO
BR0290947U0042;AMINOÁCIDOS (LISINA 75MG, TREONINA 53MG, TRIPTOFANO 23MG, HISTIDINA 38MG, TIROSINA 30MG) + ANÁLOGOS (ISOLEUCINA 67MG, LEUCINA 101MG, VALINA 85MG, ALFA-HIDROXI-ANÁLOGO DA METIONINA 59MG) COMP REV;FALSE;OUTRO
BR0290947;AMINOÁCIDOS (LISINA 75MG, TREONINA 53MG, TRIPTOFANO 23MG, HISTIDINA 38MG, TIROSINA 30MG) + ANÁLOGOS (ISOLEUCINA 67MG, LEUCINA 101MG, VALINA 85MG, ALFA-HIDROXI-ANÁLOGO DA METIONINA 59MG) TABLETE;FALSE;OUTRO
BR0319945;AMINOÁCIDOS, A 10%,SOLUÇÃO GLICOSE 50%,COM TAURINA + OLIGOELEMENTOS, PARA NEONATOS 20% EMULSÃO;FALSE;OUTRO
BR0327695;AMINOÁCIDOS, A 10%,SOLUÇÃO GLICOSE 50%,SEM TAURINA + OLIGOELEMENTOS, PARA NEONATOS 20% EMULSÃO;FALSE;OUTRO
BR0279223;AMINOÁCIDOS, A 8% P/ HEPATOPATAS, SEM CARBOHIDRATO, SEM ELETRÓLITOS SOLUÇÃO 500 ML;FALSE;OUTRO
BR0451722;AMINOÁCIDOS, ARG, GLN, SER, THR, TRP,VIT: B12A 10MG+6MG+4MG+1MG+4MG+48,7 MCG PÓ PARA SOLUÇÃO;FALSE;OUTRO
BR0343649;AMINOÁCIDOS, C/8 AMINOÁCIDOS ESSENCIAIS + HISTIDINA, SEM CARBOHIDRATO, SEM ELETRÓLITOS 6,5 A 6,9 % DE AA TOTAIS SOLUÇÃO INJETÁVEL;FALSE;OUTRO
BR0343646;AMINOÁCIDOS, COM TAURINA E CISTEÍNA, ISENTA DE CARBOHIDRATOS E ELETRÓLITOS 10% SOLUÇÃO INJETÁVEL;FALSE;OUTRO
BR0343644;AMINOÁCIDOS, ESSENCIAIS E NÃO ESSENCIAIS À 10%, SEM CARBOHIDRATO, SEM ELETRÓLITOS SOLUÇÃO INJETÁVEL;FALSE;OUTRO
BR0271709;AMIODARONA, CLORIDRATO 100 MG COMPRIMIDO;FALSE;OUTRO
BR0267510U0042;AMIODARONA, CLORIDRATO 200 MG COMPRIMIDO;TRUE;BASICO
BR0271710U0010;AMIODARONA, CLORIDRATO 50 MG/ML SOLUÇÃO INJETÁVEL 3 ML;TRUE;BASICO
BR0401321;AMISSULPRIDA 200 MG COMPRIMIDO;TRUE;OUTRO
BR0396081;AMISSULPRIDA 50 MG COMPRIMIDO;TRUE;OUTRO
BR0276336;AMITRIPTILINA, CLORIDRATO + CLORDIAZEPÓXIDO 12,5 MG + 5 MG CÁPSULA ;TRUE;OUTRO
BR0434111;AMITRIPTILINA, CLORIDRATO 10 MG COMPRIMIDO DE LIBERAÇÃO CONTROLADA;TRUE;BASICO
BR0267512U0042;AMITRIPTILINA, CLORIDRATO 25 MG COMPRIMIDO ELENCO ESTADUAL ;TRUE;BASICO
BR0276333U0042;AMITRIPTILINA, CLORIDRATO 75 MG COMPRIMIDO;TRUE;BASICO
BR0443478U0490;AMORFO, ALANTOÍNA, GLICERINA E CARBOXIMETILCELULOSE   BISNAGA 85G;TRUE;OUTRO
BR0299693;AMOROLFINA, CLORIDRATO 2,5 MG/G CREME  20 G;TRUE;OUTRO
BR0299692;AMOROLFINA, CLORIDRATO 50 MG/ML ESMALTE 2,5 ML;FALSE;OUTRO
BR0439938;AMOXICILINA + CLARITROMICINA + ESOMEPRAZOL 500MG + 500 MG + 20  MG COMP REV;FALSE;OUTRO
BR0271100;AMOXICILINA + CLAVULANATO DE POTÁSSIO 1 G + 0,2 G SOLUÇÃO INJETÁVEL;FALSE;OUTRO
BR0271218;AMOXICILINA + CLAVULANATO DE POTÁSSIO 25 MG + 6,25 MG/ML SUSPENSÃO ORAL  75 ML;FALSE;OUTRO
BR0281135-3;AMOXICILINA + CLAVULANATO DE POTÁSSIO 40+5,7 MG/ML SUSPENSÃO ORAL  70 ML;TRUE;BASICO
BR0281135U0112;AMOXICILINA + CLAVULANATO DE POTÁSSIO 50 MG + 12,5MG/ML SUSPENSÃO ORAL  70 ML;TRUE;BASICO
BR0281135U0062;AMOXICILINA + CLAVULANATO DE POTÁSSIO 50 MG+ 12,5 MG/ML SUSPENSÃO ORAL  100 ML ELENCO ESTADUAL ;TRUE;BASICO
BR0281135U0113;AMOXICILINA + CLAVULANATO DE POTÁSSIO 50 MG+ 12,5 MG/ML SUSPENSÃO ORAL  75 ML;TRUE;BASICO
BR0271099;AMOXICILINA + CLAVULANATO DE POTÁSSIO 500 MG + 100 MG PÓ PARA SOLUÇÃO INJETÁVEL 10 ML;TRUE;OUTRO
BR0271217U0042;AMOXICILINA + CLAVULANATO DE POTÁSSIO 500 MG + 125 MG COMPRIMIDO ELENCO ESTADUAL ;TRUE;BASICO
BR0386396;AMOXICILINA + CLAVULANATO DE POTÁSSIO 80 MG + 11,5 MG/ML SUSPENSÃO ORAL  70 ML;TRUE;OUTRO
