"id";"Name";"Description";"name_en";"id_pai"
A63;Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte;A63   Outr doenc de transm predom sexual NCOP;Other predominantly sexually transmitted diseases,;""
A64;Doenças sexualmente transmitidas, não especificadas;A64   Doenc sexualmente transm NE;Unspecified sexually transmitted disease;""
A65;Sífilis não-venérea;A65   Sifilis nao-venerea;Nonvenereal syphilis;""
A66;Bouba;A66   Bouba;Yaws;""
A67;Pinta [carate];A67   Pinta;Pinta [carate];""
A68;Febres recorrentes [Borrelioses];A68   Febres recorrentes;Relapsing fevers;""
A69;Outras infecções por espiroquetas;A69   Outr infecc p/espiroquetas;Other spirochaetal infections;""
A70;Infecções causadas por Clamídia psittaci;A70   Infecc causadas p/Clamidia psittaci;Chlamydia psittaci infection;""
A71;Tracoma;A71   Tracoma;Trachoma;""
A74;Outras doenças causadas por Clamídias;A74   Outr doenc causadas p/Clamidias;Other diseases caused by chlamydiae;""
A75;Tifo exantemático;A75   Tifo exantematico;Typhus fever;""
A77;Febre maculosa [rickettsioses transmitidas por carrapatos];A77   Febre maculosa;Spotted fever [tick-borne rickettsioses];""
A78;Febre Q;A78   Febre Q;Q fever;""
A79;Outras rickettsioses;A79   Outr rickettsioses;Other rickettsioses;""
A80;Poliomielite aguda;A80   Poliomielite aguda;Acute poliomyelitis;""
A81;Infecções por vírus atípicos do sistema nervoso central;A81   Infecc p/virus atipicos sist nervoso central;Atypical virus infections of central nervous syste;""
A82;Raiva;A82   Raiva;Rabies;""
A83;Encefalite por vírus transmitidos por mosquitos;A83   Encefalite p/virus transm p/mosquitos;Mosquito-borne viral encephalitis;""
A84;Encefalite por vírus transmitido por carrapatos;A84   Encefalite p/virus transm p/carrapatos;Tick-borne viral encephalitis;""
A85;Outras encefalites virais, não classificadas em outra parte;A85   Outr encefalites virais NCOP;Other viral encephalitis, not elsewhere classified;""
A86;Encefalite viral, não especificada;A86   Encefalite viral NE;Unspecified viral encephalitis;""
A87;Meningite viral;A87   Meningite viral;Viral meningitis;""
A88;Outras infecções virais do sistema nervoso central não classificadas em outra parte;A88   Outr infecc virais sist nervoso central NCOP;Other viral infections of central nervous system, ;""
A89;Infecções virais não especificadas do sistema nervoso central;A89   Infecc virais NE do sist nervoso central;Unspecified viral infection of central nervous sys;""
A90;Dengue [dengue clássico];A90   Dengue;Dengue fever [classical dengue];""
A91;Febre hemorrágica devida ao vírus do dengue;A91   Febre hemorragica dev virus do dengue;Dengue hemorrhagic fever;""
A92;Outras febres virais transmitidas por mosquitos;A92   Outr febres virais transm p/mosquitos;Other mosquito-borne viral fevers;""
A93;Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte;A93   Outr febres p/virus transm p/artropodes NCOP;Other arthropod-borne viral fevers, not elsewhere ;""
A94;Febre viral transmitida por artrópodes, não especificada;A94   Febre viral transm p/artropodes NE;Unspecified arthropod-borne viral fever;""
A95;Febre amarela;A95   Febre amarela;Yellow fever;""
A96;Febre hemorrágica por arenavírus;A96   Febre hemorragica p/arenavirus;Arenaviral haemorrhagic fever;""
A98;Outras febres hemorrágicas por vírus, não classificadas em outra parte;A98   Outr febres hemorragicas p/virus NCOP;Other viral haemorrhagic fevers, not elsewhere cla;""
A99;Febres hemorrágicas virais não especificadas;A99   Febres hemorragicas virais NE;Unspecified viral haemorrhagic fever;""
B00;Infecções pelo vírus do herpes [herpes simples];B00   Infecc p/virus do herpes;Herpesviral [herpes simplex] infections;""
B01;Varicela [Catapora];B01   Varicela;Varicella [chickenpox];""
B02;Herpes zoster [Zona];B02   Herpes zoster;Zoster [herpes zoster];""
B03;Varíola;B03   Variola;Smallpox;""
B04;Varíola dos macacos [Monkeypox];B04   Variola dos macacos;Monkeypox;""
B05;Sarampo;B05   Sarampo;Measles;""
B06;Rubéola;B06   Rubeola;Rubella [German measles];""
B07;Verrugas de origem viral;B07   Verrugas orig viral;Viral warts;""
B08;Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte;B08   Outr inf virais lesoes pele membr muc NCOP;Other viral infections characterized by skin and m;""
B09;Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas;B09   Inf viral NE caract p/lesoes pele membr muco;Unspecified viral infection characterized by skin ;""
B15;Hepatite aguda A;B15   Hepatite aguda A;Acute hepatitis A;""
B16;Hepatite aguda B;B16   Hepatite aguda B;Acute hepatitis B;""
B17;Outras hepatites virais agudas;B17   Outr hepatites virais agudas;Other acute viral hepatitis;""
B18;Hepatite viral crônica;B18   Hepatite viral cronica;Chronic viral hepatitis;""
B19;Hepatite viral não especificada;B19   Hepatite viral NE;Unspecified viral hepatitis;""
B20;Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias;B20   Doenc p/HIV result doenc infecc e parasit;Human immunodeficiency virus [HIV] disease resulti;""
B21;Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas;B21   Doenc p/HIV result em neopl malig;Human immunodeficiency virus [HIV] disease resulti;""
B22;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas;B22   Doenc p/HIV result em outr doenc espec;Human immunodeficiency virus [HIV] disease resulti;""
B23;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças;B23   Doenc p/HIV result em outr doenc;Human immunodeficiency virus [HIV] disease resulti;""
B24;Doença pelo vírus da imunodeficiência humana [HIV] não especificada;B24   Doenc p/HIV NE;Unspecified human immunodeficiency virus [HIV] dis;""
B25;Doença por citomegalovírus;B25   Doenc p/citomegalovirus;Cytomegaloviral disease;""
B26;Caxumba [Parotidite epidêmica];B26   Caxumba;Mumps;""
B27;Mononucleose infecciosa;B27   Mononucleose infecc;Infectious mononucleosis;""
B30;Conjuntivite viral;B30   Conjuntivite viral;Viral conjunctivitis;""
B33;Outras doenças por vírus não classificada em outra parte;B33   Outr doenc p/virus NCOP;Other viral diseases, not elsewhere classified;""
B34;Doenças por vírus, de localização não especificada;B34   Doenc p/virus de localiz NE;Viral infection of unspecified site;""
B35;Dermatofitose;B35   Dermatofitose;Dermatophytosis;""
B36;Outras micoses superficiais;B36   Outr micoses superf;Other superficial mycoses;""
B37;Candidíase;B37   Candidiase;Candidiasis;""
B38;Coccidioidomicose;B38   Coccidioidomicose;Coccidioidomycosis;""
B39;Histoplasmose;B39   Histoplasmose;Histoplasmosis;""
B40;Blastomicose;B40   Blastomicose;Blastomycosis;""
B41;Paracoccidioidomicose;B41   Paracoccidioidomicose;Paracoccidioidomycosis;""
B42;Esporotricose;B42   Esporotricose;Sporotrichosis;""
B43;Cromomicose e abscesso feomicótico;B43   Cromomicose e abscesso feomicotico;Chromomycosis and phaeomycotic abscess;""
B44;Aspergilose;B44   Aspergilose;Aspergillosis;""
B45;Criptococose;B45   Criptococose;Cryptococcosis;""
B46;Zigomicose;B46   Zigomicose;Zygomycosis;""
B47;Micetoma;B47   Micetoma;Mycetoma;""
B48;Outras micoses, não classificadas em outra parte;B48   Outr micoses NCOP;Other mycoses, not elsewhere classified;""
B49;Micose não especificada;B49   Micose NE;Unspecified mycosis;""
B50;Malária por Plasmodium falciparum;B50   Malaria p/Plasmodium falciparum;Plasmodium falciparum malaria;""
B51;Malária por Plasmodium vivax;B51   Malaria p/Plasmodium vivax;Plasmodium vivax malaria;""
B52;Malária por Plasmodium malariae;B52   Malaria p/Plasmodium malariae;Plasmodium malariae malaria;""
B53;Outras formas de malária confirmadas por exames parasitológicos;B53   Outr form malaria conf p/exames parasitolog;Other parasitologically confirmed malaria;""
B54;Malária não especificada;B54   Malaria NE;Unspecified malaria;""
B55;Leishmaniose;B55   Leishmaniose;Leishmaniasis;""
B56;Tripanossomíase africana;B56   Tripanossomiase africana;African trypanosomiasis;""
B57;Doença de Chagas;B57   Doenc de Chagas;Chagas disease;""
B58;Toxoplasmose;B58   Toxoplasmose;Toxoplasmosis;""
B59;Pneumocistose;B59   Pneumocistose;Pneumocystosis;""
B60;Outras doenças devidas a protozoários, não classificadas em outra parte;B60   Outr doenc dev protozoarios NCOP;Other protozoal diseases, not elsewhere classified;""
B64;Doença não especificada devida a protozoários;B64   Doenc NE dev protozoarios;Unspecified protozoal disease;""
B65;Esquistossomose [bilharziose] [Schistosomíase];B65   Esquistossomose;Schistosomiasis [bilharziasis];""
B66;Outras infestações por trematódeos;B66   Outr infestacoes p/trematodeos;Other fluke infections;""
B67;Equinococose;B67   Equinococose;Echinococcosis;""
B68;Infestação por Taenia;B68   Infestacao p/Taenia;Taeniasis;""
B69;Cisticercose;B69   Cisticercose;Cysticercosis;""
B70;Difilobotríase e esparganose;B70   Difilobotriase e esparganose;Diphyllobothriasis and sparganosis;""
B71;Outras infestações por cestóides;B71   Outr infestacoes p/cestoides;Other cestode infections;""
B72;Dracontíase;B72   Dracontiase;Dracunculiasis;""
B73;Oncocercose;B73   Oncocercose;Onchocerciasis;""
B74;Filariose;B74   Filariose;Filariasis;""
B75;Triquinose;B75   Triquinose;Trichinellosis;""
B76;Ancilostomíase;B76   Ancilostomiase;Hookworm diseases;""
B77;Ascaridíase;B77   Ascaridiase;Ascariasis;""
B78;Estrongiloidíase;B78   Estrongiloidiase;Strongyloidiasis;""
B79;Tricuríase;B79   Tricuriase;Trichuriasis;""
B80;Oxiuríase;B80   Oxiuriase;Enterobiasis;""
B81;Outras helmintíases intestinais, não classificadas em outra parte;B81   Outr helmintiases intestinais NCOP;Other intestinal helminthiases, not elsewhere clas;""
B82;Parasitose intestinal não especificada;B82   Parasitose intestinal NE;Unspecified intestinal parasitism;""
B83;Outras helmintíases;B83   Outr helmintiases;Other helminthiases;""
B85;Pediculose e ftiríase;B85   Pediculose e ftiriase;Pediculosis and phthiriasis;""
B86;Escabiose [sarna];B86   Escabiose;Scabies;""
B87;Miíase;B87   Miiase;Myiasis;""
B88;Outras infestações;B88   Outr infestacoes;Other infestations;""
B89;Doença parasitária não especificada;B89   Doenc parasit NE;Unspecified parasitic disease;""
B90;Seqüelas de tuberculose;B90   Sequelas de tuberc;Sequelae of tuberculosis;""
B91;Seqüelas de poliomielite;B91   Sequelas de poliomielite;Sequelae of poliomyelitis;""
B92;Seqüelas de hanseníase [lepra];B92   Sequelas de hanseniase;Sequelae of leprosy;""
B94;Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas;B94   Sequelas de outr doenc infecc e parasit e NE;Sequelae of other and unspecified infectious and p;""
B95;Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos;B95   Estr/estafilococo causa doenc class outr cap;Streptococcus and staphylococcus as the cause of d;""
B96;Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos;B96   Outr agent bacter causa doenc class outr cap;Other specified bacterial agents as the cause of d;""
B97;Vírus como causa de doenças classificadas em outros capítulos;B97   Virus como doenc class outr cap;Viral agents as the cause of diseases classified t;""
B99;Doenças infecciosas, outras e as não especificadas;B99   Doenc infecc outr e as NE;Other and unspecified infectious diseases;""
C00;Neoplasia maligna do lábio;C00   Neopl malig do labio;Malignant neoplasm of lip;""
C01;Neoplasia maligna da base da língua;C01   Neopl malig da base da lingua;Malignant neoplasm of base of tongue;""
C02;Neoplasia maligna de outras partes e de partes não especificadas da língua;C02   Neopl malig outr partes e NE da lingua;Malignant neoplasm of other and unspecified parts ;""
C03;Neoplasia maligna da gengiva;C03   Neopl malig da gengiva;Malignant neoplasm of gum;""
C04;Neoplasia maligna do assoalho da boca;C04   Neopl malig do assoalho da boca;Malignant neoplasm of floor of mouth;""
C05;Neoplasia maligna do palato;C05   Neopl malig do palato;Malignant neoplasm of palate;""
C06;Neoplasia maligna de outras partes e de partes não especificadas da boca;C06   Neopl malig outr partes e partes NE da boca;Malignant neoplasm of other and unspecified parts ;""
C07;Neoplasia maligna da glândula parótida;C07   Neopl malig da gland parotida;Malignant neoplasm of parotid gland;""
C08;Neoplasia maligna de outras glândulas salivares maiores e as não especificadas;C08   Neopl malig outr gland saliv maiores e NE;Malignant neoplasm of other and unspecified major ;""
C09;Neoplasia maligna da amígdala;C09   Neopl malig da amigdala;Malignant neoplasm of tonsil;""
C10;Neoplasia maligna da orofaringe;C10   Neopl malig da orofaringe;Malignant neoplasm of oropharynx;""
C11;Neoplasia maligna da nasofaringe;C11   Neopl malig da nasofaringe;Malignant neoplasm of nasopharynx;""
C12;Neoplasia maligna do seio piriforme;C12   Neopl malig do seio piriforme;Malignant neoplasm of piriform sinus;""
C13;Neoplasia maligna da hipofaringe;C13   Neopl malig da hipofaringe;Malignant neoplasm of hypopharynx;""
C14;Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe;C14   Neop mal out loc mal def labio cav oral far;Malignant neoplasm of other and ill-defined sites ;""
C15;Neoplasia maligna do esôfago;C15   Neopl malig do esofago;Malignant neoplasm of oesophagus;""
C16;Neoplasia maligna do estômago;C16   Neopl malig do estomago;Malignant neoplasm of stomach;""
C17;Neoplasia maligna do intestino delgado;C17   Neopl malig do intestino delgado;Malignant neoplasm of small intestine;""
C18;Neoplasia maligna do cólon;C18   Neopl malig do colon;Malignant neoplasm of colon;""
C19;Neoplasia maligna da junção retossigmóide;C19   Neopl malig da juncao retossigmoide;Malignant neoplasm of rectosigmoid junction;""
C20;Neoplasia maligna do reto;C20   Neopl malig do reto;Malignant neoplasm of rectum;""
C21;Neoplasia maligna do ânus e do canal anal;C21   Neopl malig do anus e do canal anal;Malignant neoplasm of anus and anal canal;""
C22;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;C22   Neopl malig figado vias biliares intra-hepat;Malignant neoplasm of liver and intrahepatic bile ;""
C23;Neoplasia maligna da vesícula biliar;C23   Neopl malig da vesicula biliar;Malignant neoplasm of gallbladder;""
C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;C24   Neopl malig outr partes e NE vias biliares;Malignant neoplasm of other and unspecified parts ;""
C25;Neoplasia maligna do pâncreas;C25   Neopl malig do pancreas;Malignant neoplasm of pancreas;""
C26;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo;C26   Neopl malig outr mal def aparelho digestivo;Malignant neoplasm of other and ill-defined digest;""
C30;Neoplasia maligna da cavidade nasal e do ouvido médio;C30   Neopl malig cavidade nasal e do ouvido medio;Malignant neoplasm of nasal cavity and middle ear;""
C31;Neoplasia maligna dos seios da face;C31   Neopl malig dos seios da face;Malignant neoplasm of accessory sinuses;""
C32;Neoplasia maligna da laringe;C32   Neopl malig da laringe;Malignant neoplasm of larynx;""
C33;Neoplasia maligna da traquéia;C33   Neopl malig da traqueia;Malignant neoplasm of trachea;""
C34;Neoplasia maligna dos brônquios e dos pulmões;C34   Neopl malig dos bronquios e dos pulmoes;Malignant neoplasm of bronchus and lung;""
C37;Neoplasia maligna do timo;C37   Neopl malig do timo;Malignant neoplasm of thymus;""
C38;Neoplasia maligna do coração, mediastino e pleura;C38   Neopl malig do coracao mediastino e pleura;Malignant neoplasm of heart, mediastinum and pleur;""
C39;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos;C39   Neop mal out loc mal def ap resp org intrat;Malignant neoplasm of other and ill-defined sites ;""
C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;C40   Neopl malig ossos/cartilag artic membros;Malignant neoplasm of bone and articular cartilage;""
C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;C41   Neopl malig ossos/cartil artic outr loc e NE;Malignant neoplasm of bone and articular cartilage;""
C43;Melanoma maligno da pele;C43   Melanoma malig da pele;Malignant melanoma of skin;""
C44;Outras neoplasias malignas da pele;C44   Outr neopl malig da pele;Other malignant neoplasms of skin;""
C45;Mesotelioma;C45   Mesotelioma;Mesothelioma;""
C46;Sarcoma de Kaposi;C46   Sarcoma de Kaposi;Kaposi sarcoma;""
C47;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;C47   Neopl malig nervos perif e sist nerv autonom;Malignant neoplasm of peripheral nerves and autono;""
C48;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio;C48   Neopl malig tec moles retro- e peritonio;Malignant neoplasm of retroperitoneum and peritone;""
C49;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;C49   Neopl malig tec conjuntivo e outr tec moles;Malignant neoplasm of other connective and soft ti;""
C50;Neoplasia maligna da mama;C50   Neopl malig da mama;Malignant neoplasm of breast;""
C51;Neoplasia maligna da vulva;C51   Neopl malig da vulva;Malignant neoplasm of vulva;""
C52;Neoplasia maligna da vagina;C52   Neopl malig da vagina;Malignant neoplasm of vagina;""
C53;Neoplasia maligna do colo do útero;C53   Neopl malig do colo do utero;Malignant neoplasm of cervix uteri;""
C54;Neoplasia maligna do corpo do útero;C54   Neopl malig do corpo do utero;Malignant neoplasm of corpus uteri;""
C55;Neoplasia maligna do útero, porção não especificada;C55   Neopl malig do utero porcao NE;Malignant neoplasm of uterus, part unspecified;""
C56;Neoplasia maligna do ovário;C56   Neopl malig do ovario;Malignant neoplasm of ovary;""
C57;Neoplasia maligna de outros órgãos genitais femininos e dos não especificados;C57   Neopl malig outr org genitais femin e NE;Malignant neoplasm of other and unspecified female;""
C58;Neoplasia maligna da placenta;C58   Neopl malig da placenta;Malignant neoplasm of placenta;""
C60;Neoplasia maligna do pênis;C60   Neopl malig do penis;Malignant neoplasm of penis;""
C61;Neoplasia maligna da próstata;C61   Neopl malig da prostata;Malignant neoplasm of prostate;""
C62;Neoplasia maligna dos testículos;C62   Neopl malig dos testiculos;Malignant neoplasm of testis;""
C63;Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados;C63   Neopl malig outr org genit masc e NE;Malignant neoplasm of other and unspecified male g;""
C64;Neoplasia maligna do rim, exceto pelve renal;C64   Neopl malig do rim exceto pelve renal;Malignant neoplasm of kidney, except renal pelvis;""
C65;Neoplasia maligna da pelve renal;C65   Neopl malig da pelve renal;Malignant neoplasm of renal pelvis;""
C66;Neoplasia maligna dos ureteres;C66   Neopl malig dos ureteres;Malignant neoplasm of ureter;""
C67;Neoplasia maligna da bexiga;C67   Neopl malig da bexiga;Malignant neoplasm of bladder;""
C68;Neoplasia maligna de outros órgãos urinários e dos não especificados;C68   Neopl malig de outr orgaos urinarios e NE;Malignant neoplasm of other and unspecified urinar;""
C69;Neoplasia maligna do olho e anexos;C69   Neopl malig do olho e anexos;Malignant neoplasm of eye and adnexa;""
C70;Neoplasia maligna das meninges;C70   Neopl malig das meninges;Malignant neoplasm of meninges;""
C71;Neoplasia maligna do encéfalo;C71   Neopl malig do encefalo;Malignant neoplasm of brain;""
C72;Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central;C72   Neop mal med esp nerv cran out sist nerv cen;Malignant neoplasm of spinal cord, cranial nerves ;""
C73;Neoplasia maligna da glândula tireóide;C73   Neopl malig da gland tireoide;Malignant neoplasm of thyroid gland;""
C74;Neoplasia maligna da glândula supra-renal [Glândula adrenal];C74   Neopl malig da gland supra-renal;Malignant neoplasm of adrenal gland;""
C75;Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas;C75   Neopl malig outr gland endocrinas estr relac;Malignant neoplasm of other endocrine glands and r;""
C76;Neoplasia maligna de outras localizações e de localizações mal definidas;C76   Neopl malig outr localiz e mal definidas;Malignant neoplasm of other and ill-defined sites;""
C77;Neoplasia maligna secundária e não especificada dos gânglios linfáticos;C77   Neopl malig secund e NE gangl linfaticos;Secondary and unspecified malignant neoplasm of ly;""
C78;Neoplasia maligna secundária dos órgãos respiratórios e digestivos;C78   Neopl malig secund org respirat e digestivos;Secondary malignant neoplasm of respiratory and di;""
C79;Neoplasia maligna secundária de outras localizações;C79   Neopl malig secund de outr localiz;Secondary malignant neoplasm of other and unspecif;""
C80;Neoplasia maligna, sem especificação de localização;C80   Neopl malig s/especificacao de localiz;Malignant neoplasm, without specification of site;""
C81;Doença de Hodgkin;C81   Doenc de Hodgkin;Hodgkin lymphoma;""
C82;Linfoma não-Hodgkin, folicular (nodular);C82   Linfoma nao-Hodgkin folicular;Follicular lymphoma;""
C83;Linfoma não-Hodgkin difuso;C83   Linfoma nao-Hodgkin difuso;Non-follicular lymphoma;""
C84;Linfomas de células T cutâneas e periféricas;C84   Linfomas de celulas T cutaneas e perifericas;Mature T/NK-cell lymphomas;""
C85;Linfoma não-Hodgkin de outros tipos e de tipo não especificado;C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;Other and unspecified types of non-Hodgkin lymphom;""
C88;Doenças imunoproliferativas malignas;C88   Doenc imunoproliferativas malignas;Malignant immunoproliferative diseases;""
C90;Mieloma múltiplo e neoplasias malignas de plasmócitos;C90   Mieloma mult e neopl malig de plasmocitos;Multiple myeloma and malignant plasma cell neoplas;""
C91;Leucemia linfóide;C91   Leucemia linfoide;Lymphoid leukaemia;""
C92;Leucemia mielóide;C92   Leucemia mieloide;Myeloid leukaemia;""
C93;Leucemia monocítica;C93   Leucemia monocitica;Monocytic leukaemia;""
C94;Outras leucemias de células de tipo especificado;C94   Outr leucemias de celulas de tipo espec;Other leukaemias of specified cell type;""
C95;Leucemia de tipo celular não especificado;C95   Leucemia de tipo celular NE;Leukaemia of unspecified cell type;""
C96;Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos;C96   Outr neopl mal e NE tec linf hematop e corr;Other and unspecified malignant neoplasms of lymph;""
C97;Neoplasias malignas de localizações múltiplas independentes (primárias);C97   Neopl malig de localiz mult independentes;Malignant neoplasms of independent (primary) multi;""
D00;Carcinoma in situ da cavidade oral, do esôfago e do estômago;D00   Carcinoma in situ cav oral esofago estomago;Carcinoma in situ of oral cavity, oesophagus and s;""
D01;Carcinoma in situ de outros órgãos digestivos;D01   Carcinoma in situ de outr orgaos digestivos;Carcinoma in situ of other and unspecified digesti;""
D02;Carcinoma in situ do ouvido médio e do aparelho respiratório;D02   Carcinoma in situ ouvido medio e ap respirat;Carcinoma in situ of middle ear and respiratory sy;""
D03;Melanoma in situ;D03   Melanoma in situ;Melanoma in situ;""
D04;Carcinoma in situ da pele;D04   Carcinoma in situ da pele;Carcinoma in situ of skin;""
D05;Carcinoma in situ da mama;D05   Carcinoma in situ da mama;Carcinoma in situ of breast;""
D06;Carcinoma in situ do colo do útero (cérvix);D06   Carcinoma in situ do colo do utero;Carcinoma in situ of cervix uteri;""
D07;Carcinoma in situ de outros órgãos genitais e dos não especificados;D07   Carcinoma in situ outr orgaos genitais e NE;Carcinoma in situ of other and unspecified genital;""
D09;Carcinoma in situ de outras localizações e das não especificadas;D09   Carcinoma in situ de outr localiz e das NE;Carcinoma in situ of other and unspecified sites;""
D10;Neoplasia benigna da boca e da faringe;D10   Neopl benig da boca e da faringe;Benign neoplasm of mouth and pharynx;""
D11;Neoplasia benigna de glândulas salivares maiores;D11   Neopl benig de gland salivares maiores;Benign neoplasm of major salivary glands;""
D12;Neoplasia benigna do cólon, reto, canal anal e ânus;D12   Neopl benig do colon reto canal anal e anus;Benign neoplasm of colon, rectum, anus and anal ca;""
D13;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo;D13   Neopl benig outr part e mal def ap digestivo;Benign neoplasm of other and ill-defined parts of ;""
