resource_type,id,name,attr:tp_amostra_exame,attr:ds_amostra_exame,attr:ds_metodo_exame,company,website,location,public_access,logo_url,description,text,attr:ingredientes_codigoObm,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:extra_names,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),EXSNAS,Exsudato de Nasofaringe,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),EXSORO,Exsudato de orofaringe,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),EXSORO,Exsudato de Orofaringe,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FGMP,Fragmentos do pulmão,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FGMT,Fragmento,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FLUORA,Fluido oral,Teste Rapido (Saliva),,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FLUORA,Fluido oral,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FLUORA,Fluido oral,PCR EM TEMPO REAL,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRAAMI,Fragmentos de amígdalas,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRABAC,Fragmentos de baço,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRACOR,Fragmentos de coração,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRAFIG,Fragmentos de fígado,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRAGT,Fragmento de tecido,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRAMOR,Fragmentos de múltiplos órgãos,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRAPAN,Fragmentos de pâncreas,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRARIM,Fragmentos de rim,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRATRA,Fragmentos de traquéia,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),FRBRON,Fragmentos de brônquio,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),INFP,Infiltrado pulmonar,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),INODER,Inoculação intradérmica,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRA,Lavado brônquico alveolar,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRA,Lavado Brônquico Alveolar,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,,631 - PCR em Tempo Real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,,1786 - PCR em Tempo Real (Xpert Xpress SARS-CoV2- Cepheid),,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,,1792 - RT-PCR (Abbott RealTime SARS-COV-2),,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,,1780 - PCR em Tempo Real - Roche cobas 6800,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,,"1809 - RT-PCR (AllplexTM, SARS-CoV-2 Assay, Seegene)",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,,1379 - PCR em tempo real - Sistema TaqMan (Abbott Real Time CMV),,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,,"1806 - PCR em Tempo Real (RT-PCR, TaqPath, COVID-19, ThermoFisher)",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,Lavado Brônquico,"1809 - RT-PCR (AllplexTM, SARS-CoV-2 Assay, Seegene)",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,Lavado Brônquico,1379 - PCR em tempo real - Sistema TaqMan (Abbott Real Time CMV),,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVBRO,Lavado Brônquico,"1806 - PCR em Tempo Real (RT-PCR, TaqPath, COVID-19, ThermoFisher)",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVG,,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVORO,Lavado de orofaringe,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,,"1809 - RT-PCR (AllplexTM, SARS-CoV-2 Assay, Seegene)",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,,"1806 - PCR em Tempo Real (RT-PCR, TaqPath, COVID-19, ThermoFisher)",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,,631 - PCR em Tempo Real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,,1780 - PCR em Tempo Real - Roche cobas 6800,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,,1792 - RT-PCR (Abbott RealTime SARS-COV-2),,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,Lavado Traqueo-Brônquico,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,Lavado Traqueo-Brônquico,1786 - PCR em Tempo Real (Xpert Xpress SARS-CoV2- Cepheid),,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,Lavado Traqueo-Brônquico,"1809 - RT-PCR (AllplexTM, SARS-CoV-2 Assay, Seegene)",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),LAVTBR,Lavado Traqueo-Brônquico,"1806 - PCR em Tempo Real (RT-PCR, TaqPath, COVID-19, ThermoFisher)",,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),MTBIO,Material Não Biológico,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),MTBIO,Material não biológico,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),PLAS,,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),RASPEL,Raspado de pele,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SAL,,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECBRO,Secreção brônquica,PCR EM TEMPO REAL,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECBRO,Secreção brônquica,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECEND,Secreção endocervical,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECMAM,,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECMAM,Secreção mamária,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECNAS,Secreção nasofaríngea,RT-PCR,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECNAS,Secreção Nasofaríngea,Teste Rapido - Ant?geno,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECNAS,Secreção nasofaríngea,Teste Rapido - Ant?geno,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECNAS,Secreção Nasofaríngea,PCR EM TEMPO REAL,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECNAS,Secreção Nasofaríngea,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECNAS,Secreção nasofaríngea,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECOC,Secreção ocular,RT-PCR em tempo real,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,null,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,NEGATIVO PÁRA COVID 19,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,Método empregado no exame realizado não foi informado.,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção Orofaríngea e Nasofaríngea,NEGATIVO,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,negativo para covid 19,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,Teste Covid positivo,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,positivo para covid 19,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,POSITIVO 19,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,teste Covid negativo,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,POSITIVO PARA COVID 19,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,POSITIVO,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção orofaringe e nasofaringe,Negativo para covid 19,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
Concept,coronavirusnCoV,Novo coronavírus (2019-nCoV),SECONF,Secreção Orofaríngea e Nasofaríngea,NR,,,por,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,text,Misc,BRNomeExameGAL,,,,,,,,,,,,,,,,,,,Fully Specified,por
