"id";"name";"location";"name_eng"
A02BA04;nizatidina;por;"nizatidine; systemic"
A02BA05;niperotidina;por;niperotidine
A02BA06;roxatidina;por;"roxatidine; oral"
A02BA07;ranitidina e citrato de bismuto;por;"ranitidine bismuth citrate; oral"
A02BA08;lafutidina;por;"lafutidine; oral"
A02BA51;cimetidina, associações contendo;por;"cimetidine, combinations; systemic"
A02BA53;famotidina, associações contendo;por;"famotidine, combinations; systemic"
A02BB;prostaglandinas;por;Prostaglandins
A02BB01;misoprostol;por;"misoprostol; oral"
A02BB02;emprostila;por;"enprostil; oral"
A02BC;inibidores da bomba de prótons;por;Proton pump inhibitors
A02BC01;omeprazol;por;"omeprazole; systemic"
A02BC02;pantoprazol;por;"pantoprazole; systemic"
A02BC03;lansoprazol;por;"lansoprazole; oral"
A02BC04;rabeprazol;por;"rabeprazole; oral"
A02BC05;esomeprazol;por;"esomeprazole; systemic"
A02BD;associações para erradicação da helicobacter pylori;por;Combinations for eradication of Helicobacter pylor
A02BD01;omeprazol, amoxicilina e metronidazol;por;"omeprazole, amoxicillin and metronidazole; systemi"
A02BD02;lansoprazol, tetraciclinas e metronidazol;por;"lansoprazole, tetracycline and metronidazole; syst"
A02BD03;lansoprazol, amoxicilina e metronidazol;por;"lansoprazole, amoxicillin and metronidazole; syste"
A02BD04;pantoprazol, amoxicilina e claritromicina;por;"pantoprazole, amoxicillin and clarithromycin; syst"
A02BD05;omeprazol, amoxicilina e claritromicina;por;"omeprazole, amoxicillin and clarithromycin; system"
A02BD06;esomeprazol, amoxicilina e claritromicina;por;"esomeprazole, amoxicillin and clarithromycin; syst"
A02BD08;subcitrato de bismuto coloidal, tetraciclina e metronidazol;por;bismuth subcitrate, tetracycline and metronidazole
A02BX;outros medicamentos para úlcera péptica e doença de refluxo gastro-esofágico;por;Other drugs for peptic ulcer and gastro-oesophagea
A02BX01;carbenoxolona;por;"carbenoxolone; oral"
A02BX02;sucralfato;por;"sucralfate; oral"
A02BX03;pirenzepina;por;"pirenzepine; systemic"
A02BX04;cloreto de metiosulfônio;por;"methiosulfonium chloride; systemic"
A02BX05;subcitrato de bismuto;por;"bismuth subcitrate; oral"
A02BX06;proglumida;por;"proglumide; oral"
A02BX07;gefarnato;por;"gefarnate; oral"
A02BX08;sulglicotida;por;"sulglicotide; oral"
A02BX09;acetoxolona;por;"acetoxolone; oral"
A02BX10;zolimidina;por;zolimidine
A02BX11;troxipida;por;"troxipide; oral"
A02BX12;subnitrato de bismuto;por;"bismuth subnitrate; systemic"
A02BX13;ácido algínico;por;"alginic acid; systemic"
A02BX51;carbenoxolona, associações excluindo psicolépticos;por;"carbenoxolone, combinations excl. psycholeptics; o"
A02BX71;carbenoxolona, associações contendo psicolépticos;por;"carbenoxolone, combinations with psycholeptics; or"
A02BX77;gefarnato, associações com psicolépticos;por;"gefarnate, combinations with psycholeptics; oral"
A02X;outros medicamentos para transtornos relacionados à acidez gástrica;por;OTHER DRUGS FOR ACID RELATED DISORDERS
A03;medicamentos para transtornos gastrointestinais funcionais;por;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03A;medicamentos para transtornos funcionais do intestino;por;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03AA;anticolinérgicos terciários, ésteres com grupo amino terciário;por;Synthetic anticholinergics, esters with tertiary a
A03AA01;oxifenciclimina;por;"oxyphencyclimine; oral"
A03AA03;camilofina;por;"camylofin; oral, rectal"
A03AA04;mebeverina;por;"mebeverine; oral"
A03AA05;trimebutina;por;"trimebutine; oral"
A03AA06;rociverina;por;"rociverine; oral"
A03AA07;dicicloverina;por;"dicycloverine; systemic"
A03AA08;diexiverina;por;"dihexyverine; oral, rectal"
A03AA09;difemerina;por;"difemerine; systemic"
A03AA30;piperidolato;por;"piperidolate; oral"
A03AB;anticolinérgicos sintéticos, compostos de amônio quaternário;por;Synthetic anticholinergics, quaternary ammonium co
A03AB01;benzilona;por;"benzilone; oral"
A03AB02;glicopirrônio;por;"glycopyrronium bromide; systemic, rectal"
A03AB03;oxifenônio;por;"oxyphenonium; oral"
A03AB04;pentienato;por;"penthienate; oral"
A03AB05;propantelina;por;"propantheline; systemic"
A03AB06;brometo de otilônio;por;"otilonium bromide; oral"
A03AB07;metantelínio;por;"methantheline; oral"
A03AB08;tridihexetila;por;"tridihexethyl; oral"
A03AB09;isopropamida;por;"isopropamide; oral"
A03AB10;hexocíclio;por;"hexocyclium; oral"
A03AB11;poldina;por;"poldine; oral"
A03AB12;mepenzolato;por;"mepenzolate; oral"
A03AB13;bevônio;por;"bevonium; oral"
A03AB14;pipenzolato;por;"pipenzolate; oral"
A03AB15;difemanila;por;"diphemanil; oral, topical"
A03AB16;iodeto de (2-benzidroxiloxietil)dietil-metilamônio;por;(2-benzhydryloxyethyl)diethyl-methylammonium iodid
A03AB17;iodeto de tiemônio;por;"tiemonium iodide; systemic"
A03AB18;brometo de prifínio;por;"prifinium bromide; systemic"
A03AB19;brometo de timepídio;por;"timepidium bromide; systemic"
A03AB21;fempiverínio;por;"fenpiverinium; systemic"
A03AB53;oxifenônio, associações contendo;por;"oxyphenonium, combinations; ophthalmic, oral"
A03AC;antiespasmódicos sintéticos, amidas com aminas terciárias;por;Synthetic antispasmodics, amides with tertiary ami
A03AC02;dimetilaminopropionilfenotiazina;por;dimethylaminopropionylphenothiazine
A03AC04;nicofetamida;por;nicofetamide
A03AC05;tiropramida;por;"tiropramide; systemic"
A03AD;papaverina e derivados;por;Papaverine and derivatives
A03AD01;papaverina;por;"papaverine; systemic (papaverine and derivatives)"
A03AD02;drotaverina;por;"drotaverine; systemic"
A03AD30;moxaverina;por;"moxaverine; oral"
A03AE;medicamentos com efeito em receptores serotonínicos;por;Serotonin receptor antagonists
A03AE01;alosetrona;por;"alosetron; oral"
A03AE02;tegaserode;por;"[U] tegaserod; oral"
A03AE03;cilansetrona;por;cilansetron
A03AE04;prucaloprida;por;"[U] prucalopride; oral"
A03AX;outros medicamentos para transtornos funcionais do intestino;por;Other drugs for functional gastrointestinal disord
A03AX01;fempiprano;por;fenpiprane
A03AX02;diisopromina;por;"diisopromine; oral"
A03AX03;clorbenzoxamina;por;"chlorbenzoxamine; oral"
A03AX04;pinaverio;por;"pinaverium; oral"
A03AX05;fenoverina;por;"fenoverine; oral"
A03AX06;idampramina;por;idanpramine
A03AX07;proxazol;por;proxazole
A03AX08;alverina;por;"alverine; oral, rectal"
A03AX09;trepibutona;por;"trepibutone; oral"
A03AX10;isometepteno;por;"isometheptene; oral, rectal"
A03AX11;caroverina;por;"caroverine; systemic"
A03AX12;floroglucinol;por;"phloroglucinol; systemic"
A03AX13;silicones;por;"silicones; oral"
A03AX30;trimetildifenilpropilamina;por;"trimethyldiphenylpropylamine; systemic"
A03AX58;alverina, associações contendo;por;"alverine, combinations; oral, rectal"
A03B;beladona e derivados (monodroga);por;BELLADONNA AND DERIVATIVES, PLAIN
A03BA;alcalóides da beladona, aminas terciárias;por;Belladonna alkaloids, tertiary amines
A03BA01;atropina;por;"atropine; systemic"
A03BA03;hiosciamina;por;"hyoscyamine; oral"
A03BA04;alcalóides totais da beladona;por;"belladonna total alkaloids; oral"
A03BB;alcalóides da beladona, semisintéticos, compostos de amônio quaternário;por;Belladonna alkaloids, semisynthetic, quaternary am
A03BB01;butilbrometo de escopolamina;por;"butylscopolamine; systemic, rectal"
A03BB02;metilatropina;por;"methylatropine; oral"
A03BB03;metilescopolamina;por;"methylscopolamine; systemic"
A03BB04;fentônio;por;"fentonium; oral"
A03BB05;brometo de cimetrópio;por;cimetropium bromide
A03C;antiespeasmódicos em associação com psicolépticos;por;ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03CA;agentes anticolinérgicos sintéticos em associação com psicolépticos;por;Synthetic anticholinergic agents in combination wi
A03CA01;isopropamida associada com psicolépticos;por;"isopropamide and psycholeptics; oral"
A03CA02;clidínio associada com psicolépticos;por;"clidinium and psycholeptics; oral"
A03CA03;oxifenciclimina associada com psicolépticos;por;"oxyphencyclimine and psycholeptics; oral"
A03CA04;brometo de otilônio associado com psicolépticos;por;"otilonium bromide and psycholeptics; oral"
A03CA05;glicopirrônio associado com psicolépticos;por;"glycopyrronium bromide and psycholeptics; systemic"
A03CA06;bevônio  associado com psicolépticos;por;bevonium and psycholeptics
A03CA07;ambutônio associado com psicolépticos;por;"ambutonium and psycholeptics; oral"
A03CA08;difemanila associado com psicolépticos;por;"diphemanil and psycholeptics; oral, topical"
A03CA30;emeprônio associado com psicolépticos;por;"emepronium and psycholeptics; oral"
A03CA34;propantelina associada com psicolépticos;por;"propantheline and psycholeptics; oral, rectal, ure"
A03CB;beladona e derivados em associação com psicolépticos;por;Belladonna and derivatives in combination with psy
A03CB01;metilescopolamina associada com psicolépticos;por;"methylscopolamine and psycholeptics; oral, rectal"
A03CB02;alcalóides totais da beladona associados com psicolépticos;por;"belladonna total alkaloids and psycholeptics; syst"
A03CB03;atropina e psicolépticos;por;"atropine and psycholeptics; systemic"
A03CB04;metilhomatropina e psicolépticos;por;"homatropine methylbromide and psycholeptics; syste"
A03CB31;hiosciamina e psicolépticos;por;"hyoscyamine and psycholeptics; systemic"
A03CC;outros antiespasmódicos em associação com psicolépticos;por;Other antispasmodics in combination with psycholep
A03D;antiespasmódicos em associação com analgésicos;por;ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03DA;agentes anticolinérgicos sintéticos em associação com analgésicos;por;Synthetic anticholinergic agents in combination wi
A03DA01;tropenzolina e analgésicos;por;tropenzilone and analgesics
A03DA02;pitofenona e analgésicos;por;"pitofenone and analgesics; systemic"
A03DA03;bevônio associado com analgésicos;por;bevonium and analgesics
A03DA04;ciclônio associado com analgésicos;por;"ciclonium and analgesics; systemic"
A03DA05;camilofina e analgésicos;por;"camylofin and analgesics; systemic"
A03DA06;trospio e analgésicos;por;"trospium and analgesics; systemic"
A03DA07;iodeto de tiemônio associado com analgésicos;por;"tiemonium iodide and analgesics; oral"
A03DB;beladona e derivados em associação com analgésicos;por;Belladonna and derivatives in combination with ana
A03DB04;butilbrometo e analgésicos;por;"butylscopolamine and analgesics; systemic"
A03DC;outros antiespasmódicos em associação com analgésicos;por;Other antispasmodics in combination with analgesic
A03E;antiespasmódicos e anticolinérgicos em associação;por;ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION
A03EA;associações contendo antiespasmódicos, psicolépticos e analgésicos;por;Antispasmodics, psycholeptics and analgesics in co
A03ED;antiespasmódicos em associação com outros fármacos;por;Antispasmodics in combination with other drugs
A03F;propulsivos;por;PROPULSIVES
A03FA;propulsivos;por;Propulsives
A03FA01;metoclopramida;por;"metoclopramide; systemic, rectal"
A03FA02;cisaprida;por;"cisapride; oral, rectal"
A03FA03;domperidona;por;"domperidone; systemic, rectal"
A03FA04;bromoprida;por;"bromopride; systemic"
A03FA05;alizaprida;por;"alizapride; systemic"
A03FA06;cleboprida;por;"clebopride; systemic"
A04;antieméticos e antinauseantes;por;ANTIEMETICS AND ANTINAUSEANTS
A04A;antieméticos e antinauseantes;por;ANTIEMETICS AND ANTINAUSEANTS
A04AA;antagonistas da serotonina (5-ht3);por;Serotonin (5HT3) antagonists
A04AA01;ondansetrona;por;"ondansetron; systemic, rectal"
A04AA02;granisetrona;por;"granisetron; systemic, transdermal"
A04AA03;tropisetrona;por;"tropisetron; systemic"
A04AA04;dolasetrona;por;"dolasetron; systemic"
A04AA05;palonosetrona;por;"palonosetron; systemic"
A04AD;outros antieméticos;por;Other antiemetics
A04AD01;escopolamina;por;"scopolamine; systemic (antiemetics)"
A04AD02;oxalato de cério;por;"cerium oxalate; oral"
A04AD04;clorobutanol;por;"chlorobutanol; systemic"
A04AD05;metopimazina;por;"metopimazine; systemic"
A04AD10;dronabinol;por;"dronabinol; inhalant, nasal, oral, topical"
A04AD11;nabilona;por;"nabilone; oral"
A04AD12;aprepitanto;por;"aprepitant; systemic"
A04AD51;escopolamina, associações contendo;por;"scopolamine, combinations; systemic"
A04AD54;clorobutanol, associações contendo;por;"chlorobutanol, combinations; systemic"
A05;terapia biliar e hepática;por;BILE AND LIVER THERAPY
A05A;terapia biliar;por;BILE THERAPY
A05AA;preparações de bile ácida;por;Bile acids and derivatives
A05AA01;ácido quenodesoxicólico;por;"chenodeoxycholic acid; oral"
A05AA02;ácido ursodesoxicólico;por;"ursodeoxycholic acid; oral"
A05AB;produtos para aterapia do trato biliar;por;Preparations for biliary tract therapy
A05AB01;nicotinil metilamida;por;"nicotinyl methylamide; systemic"
A05AX;outros produtos para terapia biliar;por;Other drugs for bile therapy
A05AX01;piprozolina;por;"piprozolin; oral"
A05AX02;himecromona;por;"hymecromone; systemic"
A05AX03;ciclobutirol;por;"cyclobutyrol; oral"
A05B;terapia biliar, lipotrópicos;por;LIVER THERAPY, LIPOTROPICS
A05BA;terapia hepática;por;Liver therapy
A05BA01;glutamato de arginina;por;"arginine glutamate; systemic"
A05BA03;silimarina;por;"silymarin; systemic"
A05BA04;citiolona;por;"citiolone; oral"
A05BA05;epomediol;por;"epomediol; oral"
A05BA06;oxoglurato de ornitina;por;"ornithine oxoglurate; systemic"
A05BA07;arginina tiadízica;por;"tidiacic arginine; oral"
A05BA08;ácido glicirrízico;por;"glycyrrhizic acid; systemic"
A05C;medicamentos para terapia biliar e lipotrópicos em associação;por;DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINAT
A06;laxantes;por;DRUGS FOR CONSTIPATION
A06A;laxantes;por;DRUGS FOR CONSTIPATION
A06AA;laxantes suavizantes, emolientes;por;Softeners, emollients
A06AA01;parafina líquida;por;"liquid paraffin; oral"
A06AA02;docusato de sódio;por;"docusate sodium; oral"
A06AA51;parafina líquida, associações contendo;por;"liquid paraffin, combinations; topical"
A06AB;laxantes de contato;por;Contact laxatives
A06AB01;oxifenisatina;por;"oxyphenisatine; oral"
A06AB02;bisacodil;por;"bisacodyl; oral, rectal"
A06AB03;dantrona;por;"dantron; oral"
A06AB04;fenoftaleína;por;"phenolphthalein; oral"
A06AB05;óleo de rícino;por;"castor oil; oral"
A06AB06;glicosídios da sene;por;"senna glycosides; systemic"
A06AB07;cáscara sagrada;por;"cascara; systemic"
A06AB08;picossulfato de sódio;por;"sodium picosulfate; oral"
A06AB09;bisoxatina;por;"bisoxatin; oral"
A06AB20;laxantes de contato em associação;por;contact laxatives in combination
A06AB30;laxantes de contato associados com alcalóides da belladonna;por;contact laxatives in combination with belladonna a
A06AB52;bisacodil, associações contendo;por;"bisacodyl, combinations; oral, rectal"
A06AB53;dantrona, associações contendo;por;"dantron, combinations; oral"
A06AB56;glicosídios da sene, associações contendo;por;"senna glycosides, combinations; systemic"
A06AB57;cáscara sagrada, associações contendo;por;"cascara, combinations; systemic"
A06AB58;picossulfato de sódio, associações contendo;por;"sodium picosulfate, combinations; oral, topical"
A06AC;laxantes produtores de volume;por;Bulk-forming laxatives
A06AC01;ispaghula (sementes de psyllium);por;"ispaghula (psylla seeds); oral"
A06AC02;etulose;por;"ethulose; oral"
A06AC03;esterculia;por;"sterculia; oral"
A06AC05;linhaça;por;"linseed; oral, topical"
A06AC06;metilcelulose;por;"methylcellulose; oral"
A06AC07;trítico (fibra de trigo);por;"triticum (wheat fibre); oral"
A06AC08;policarbófilo de cálcio;por;"polycarbophil calcium; oral"
A06AC51;ispaghula, associações contendo;por;"ispaghula, combinations; systemic"
A06AC53;esterculia, associações contendo;por;"sterculia, combinations; oral, topical"
A06AC55;linhaça, associações contendo;por;"linseed, combinations; oral, topical"
A06AD;laxantes com ação osmótica;por;Osmotically acting laxatives
A06AD01;carbonato de magnésio;por;"magnesium carbonate; oral"
A06AD02;óxido de magnésio;por;"magnesium oxide; oral"
A06AD03;peróxido de magnésio;por;"magnesium peroxide; oral"
A06AD04;sulfato de magnésio;por;"magnesium sulfate; oral"
A06AD10;sais minerais em associação;por;"mineral salts in combination; oral"
A06AD11;lactulose;por;"lactulose; oral"
A06AD12;lactitol;por;"lactitol; oral"
A06AD13;sulfato de sódio;por;"sodium sulfate; oral"
A06AD14;pentaeritritilo;por;"pentaerithrityl; oral"
A06AD15;macrogol;por;"macrogol; oral"
A06AD16;manitol;por;"mannitol; oral"
A06AD17;fosfato de sódio;por;"sodium phosphate; oral (osmotically acting laxativ"
A06AD18;sorbitol;por;"sorbitol; oral"
A06AD19;citrato de magnésio;por;"magnesium citrate; oral (osmotically acting laxati"
A06AD21;tartarato de sódio;por;"sodium tartrate; oral"
A06AD61;lactulose, associações contendo;por;"lactulose, combinations; oral"
A06AD65;macrogol, associações contendo;por;"macrogol, combinations; oral"
A06AG;enemas;por;Enemas
A06AG01;fosfato de sódio;por;"sodium phosphate; rectal"
A06AG02;bisacodil;por;"bisacodyl; rectal"
A06AG03;dantrona incluindo associações;por;"dantron, incl. combinations; rectal"
A06AG04;glicerol;por;"glycerol; rectal"
A06AG06;azeite;por;"oil; rectal"
A06AG07;sorbitol;por;"sorbitol; rectal"
A06AG10;docusato de sódio, incluindo associações;por;"docusate sodium, incl. combinations; rectal"
A06AG11;laurilssulfato, incluindo associações;por;"sodium lauryl sulfoacetate, incl. combinations; re"
A06AG20;enemas, associações contendo;por;"combinations; rectal"
A06AX;outros laxantes;por;Other drugs for constipation
A06AX01;glicerol;por;"glycerol; oral, rectal"
A06AX02;fármacos que produzem dióxido de carbono;por;carbon dioxide producing drugs
A06AX03;lubiprostona;por;"lubiprostone; oral"
A07;antidiarréicos, agentes antiinflamatórios/antiinfecciosos intestinais;por;ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIIN
A07A;antiinfecciosos intestinais;por;INTESTINAL ANTIINFECTIVES
A07AA;antiinfecciosos intestinais contendo antibióticos;por;Antibiotics
A07AA01;neomicina;por;"neomycin; oral (antidiarrheals, intestinal antiinf"
A07AA02;nistatina;por;"nystatin; oral"
A07AA03;natamicina;por;"natamycin; oral (antibiotics)"
A07AA04;estreptomicina;por;"streptomycin; oral"
A07AA05;polimixina b;por;"polymyxin B; oral"
A07AA06;paromomicina;por;"paromomycin; oral"
A07AA07;anfotericina b;por;"amphotericin B; oral (antibiotics)"
A07AA08;canamicina;por;"kanamycin; oral"
A07AA09;vancomicina;por;"vancomycin; oral"
A07AA10;colistina;por;"colistin; oral"
A07AA11;rifaximina;por;"rifaximin; oral"
A07AA12;fidaxomicina;por;"fidaxomicin; oral"
A07AA51;neomicina, associações contendo;por;"neomycin, combinations; oral"
A07AA54;estreptomicina, associações contendo;por;"streptomycin, combinations; oral"
A07AB;sulfonamidas;por;Sulfonamides
A07AB02;ftalilsulfatiazol;por;"phthalylsulfathiazole; oral"
A07AB03;sulfaguanidina;por;"sulfaguanidine; oral"
A07AB04;succinilsulfatiazol;por;"succinylsulfathiazole; oral"
A07AC;antiinfecciosos intestinais contendo derivados imidazólicos;por;Imidazole derivatives
A07AC01;miconazol;por;"miconazole; oral (imidazole derivatives)"
A07AX;outros antiinfecciosos intestinais;por;Other intestinal antiinfectives
A07AX01;broxiquinolina;por;"broxyquinoline; oral (intestinal antiinfectives)"
A07AX02;acetarsol;por;"acetarsol; oral"
A07AX03;nifuroxazida;por;"nifuroxazide; oral"
A07AX04;nifurcida;por;"nifurzide; oral"
A07B;adsorventes intestinais;por;INTESTINAL ADSORBENTS
A07BA;produtos contendo carvão;por;Charcoal preparations
A07BA01;carvão medicinal;por;"medicinal charcoal; oral"
A07BA51;carvão medicinal, associações contendo;por;"medicinal charcoal, combinations; oral"
A07BB;preparações contendo derivados do bismuto;por;Bismuth preparations
A07BC;outros adsorventes intestinais;por;Other intestinal adsorbents
A07BC01;pectina;por;"pectin; oral"
A07BC02;caulim;por;"kaolin; oral"
A07BC03;crospovidona;por;"crospovidone; oral"
A07BC04;atapulgita;por;"attapulgite; oral"
A07BC05;diosmectita;por;"diosmectite; oral"
A07BC30;associações de adsorventes instestinais;por;"combinations; oral (intestinal adsorbents)"
A07BC54;atapulgita, associações contendo;por;"attapulgite, combinations; oral"
A07C;eletrólitos com carboidratos;por;ELECTROLYTES WITH CARBOHYDRATES
A07CA;formulações de sais para reidratação oral;por;Oral rehydration salt formulations
A07D;antipropulsivos;por;ANTIPROPULSIVES
A07DA;antipropulsivos;por;Antipropulsives
A07DA01;difenoxilato;por;"diphenoxylate; oral"
A07DA02;ópio;por;"opium; oral"
A07DA03;loperamida;por;"loperamide; oral"
A07DA04;difenoxina;por;"difenoxin; oral"
A07DA05;óxido de loperamida;por;"loperamide oxide; oral"
A07DA52;morfina, associações contendo;por;"morphine, combinations; oral"
A07DA53;loperamida, associações contendo;por;"loperamide, combinations; oral"
A07E;agentes antiinflamatórios intestinais;por;INTESTINAL ANTIINFLAMMATORY AGENTS
A07EA;corticosteróides de ação local;por;Corticosteroids acting locally
A07EA01;prednisolona;por;"prednisolone; rectal"
A07EA02;hidrocortisona;por;"hydrocortisone; rectal"
A07EA03;prednisona;por;"prednisone; rectal"
A07EA04;betametasona;por;"betamethasone; rectal"
A07EA05;tixocortol;por;"tixocortol; rectal"
A07EA06;budesonida;por;"budesonide; oral, local oral"
A07EA07;beclometasona;por;"beclometasone; rectal"
A07EB;agentes antialérgicos excluindo corticosteróides;por;Antiallergic agents, excl. corticosteroids
A07EB01;ácido cromoglícico;por;"cromoglicic acid; oral"
A07EC;ácido aminossalicílico e agentes similares;por;Aminosalicylic acid and similar agents
A07EC01;sulfassalazina;por;"sulfasalazine; oral, rectal"
A07EC02;mesalazina;por;"mesalazine; oral, rectal"
A07EC03;olsalazina;por;"olsalazine; oral"
A07EC04;balsalazida;por;"balsalazide; oral"
A07F;microrganismos antidiarréicos;por;ANTIDIARRHEAL MICROORGANISMS
A07FA;microrganismos antidiarréicos;por;Antidiarrheal microorganisms
A07FA01;organismos produtores de ácido lático;por;"lactic acid producing organisms; oral"
A07FA02;saccharomyces boulardii;por;"saccharomyces boulardii; oral"
A07FA51;organismos produtores de ácido lático, associações contendo;por;"lactic acid producing organisms, combinations; ora"
A07X;outros antidiarréicos;por;OTHER ANTIDIARRHEALS
A07XA;outros antidiarréicos;por;Other antidiarrheals
A07XA01;tanato de albumina;por;"albumin tannate; oral"
A07XA02;ceratonia;por;"ceratonia; oral"
A07XA03;compostos de cálcio usados como antidiarreicos;por;"calcium compounds; oral"
A07XA04;racecadotrila;por;"racecadotril; oral"
A07XA51;tanato de albumina, associações contendo;por;"albumin tannate, combinations; oral"
